Наименование,Номер лицензии,Срок действия,Вид деятельности
"ООО ""Три Кита""",32 МЕ 002286,12/16/2013,Розничная продажа алкогольной продукции
"ООО ""Квартет""",32 МЕ 002296,6/10/2013,Розничная продажа алкогольной продукции
"ООО ""Тамерлан""",32 МЕ 004314,8/8/2013,Розничная продажа алкогольной продукции
"ООО ""Березка""",32 МЕ 003114,3/13/2013,Розничная продажа алкогольной продукции
"ООО ""Виктория""",32 МЕ 002978,3/13/2013,Розничная продажа алкогольной продукции
"ЗАО ""Кафе Витязь""",32 МЕ 001917,3/13/2013,Розничная продажа алкогольной продукции
"ООО ""Ольга""",32 МЕ 003208,5/24/2013,Розничная продажа алкогольной продукции
"ООО ""Визит""",32 МЕ 003524,7/6/2016,Розничная продажа алкогольной продукции
"ООО ""Калинина""",32 МЕ 001923,3/24/2013,Розничная продажа алкогольной продукции
"ООО ""МГБ-Брянск""",32 МЕ 001932,3/26/2013,Розничная продажа алкогольной продукции
"ООО ""Согласие""",32 МЕ 001930,3/27/2013,Розничная продажа алкогольной продукции
"ООО ""САН""",32 МЕ 001931,3/27/2013,Розничная продажа алкогольной продукции
"ООО ""Стингер""",32 МЕ 002717,3/27/2013,Розничная продажа алкогольной продукции
"ЗАО ""Хлебторгсервис""",32 МЕ 002461,4/7/2014,Розничная продажа алкогольной продукции
"ООО ""Русская тройка""",32 МЕ 001947,4/4/2013,Розничная продажа алкогольной продукции
Стародубское горпо,32 МЕ 004004,12/10/2013,Розничная продажа алкогольной продукции
"ООО ""Пальмира""",32 МЕ 004154,6/22/2013,Розничная продажа алкогольной продукции
БООО ВОИ,32 МЕ 001953,4/10/2013,Розничная продажа алкогольной продукции
"ЗАО ""Жуковкаагропромсервис""",32 МЕ 002326,12/24/2013,Розничная продажа алкогольной продукции
"ООО ""Орхидея""",32 МЕ 003260,6/9/2014,Розничная продажа алкогольной продукции
"МУП ""Комбинат школьного питания Фокинского района города Брянска""",32 МЕ 001969,4/21/2013,Розничная продажа алкогольной продукции
"ООО ""Лесная сказка""",32 МЕ 001970,4/21/2013,Розничная продажа алкогольной продукции
"ООО ""Ника""",32 МЕ 001974,4/23/2013,Розничная продажа алкогольной продукции
"ООО ""Тимурлан""",32 МЕ 002014,4/23/2013,Розничная продажа алкогольной продукции
"ООО ""ФастКом""",32 МЕ 002819,4/17/2014,Розничная продажа алкогольной продукции
"ООО ""Агроснабсервис""",32 МЕ 001987,4/29/2013,Розничная продажа алкогольной продукции
"ООО ""Гермес""",32 МЕ 001993,5/5/2013,Розничная продажа алкогольной продукции
"ООО ""Арабелла""",32 МЕ 001994,5/5/2013,Розничная продажа алкогольной продукции
"ООО МК ""Модуль""",32 МЕ 002135,8/28/2013,Розничная продажа алкогольной продукции
"ООО ""Брянский завод ""Турборемонт""",32 МЕ 002005,5/22/2013,Розничная продажа алкогольной продукции
"ООО ""Игма""",32 МЕ 002981,12/15/2013,Розничная продажа алкогольной продукции
"ООО ""Любава""",32 МЕ 002008,5/27/2013,Розничная продажа алкогольной продукции
"ООО ""Городище""",32 МЕ 002009,5/28/2013,Розничная продажа алкогольной продукции
"ООО ""Триумф""",32 МЕ 002010,5/28/2013,Розничная продажа алкогольной продукции
"ООО ""Валентина-1""",32 МЕ 002012,5/28/2013,Розничная продажа алкогольной продукции
"ООО ""Закусочная ""Бистро""",32 МЕ 002017,5/29/2013,Розничная продажа алкогольной продукции
"ООО ""ПарадиЗ""",32 МЕ 002021,6/9/2013,Розничная продажа алкогольной продукции
"ООО ""Дьюти Фри Альянс""",32 МЕ 003182,6/9/2013,Розничная продажа алкогольной продукции
"ООО ""Руно""",32 МЕ 002027,6/10/2013,Розничная продажа алкогольной продукции
"ООО ""Ластон""",32 МЕ 002031,6/10/2013,Розничная продажа алкогольной продукции
"ООО ""Успех""",32 МЕ 002033,6/10/2013,Розничная продажа алкогольной продукции
"ООО ""Встреча""",32 МЕ 002034,6/10/2013,Розничная продажа алкогольной продукции
"ООО ""Сервис""",32 МЕ 002039,6/19/2013,Розничная продажа алкогольной продукции
"ООО ""Коопунивермаг""",32 МЕ 004273,7/24/2013,Розничная продажа алкогольной продукции
"ООО ""Тимко""",32 МЕ 002044,6/24/2013,Розничная продажа алкогольной продукции
"ООО ""Лимон""",32 МЕ 003901,1/19/2013,Розничная продажа алкогольной продукции
"ООО ""Елена""",32 МЕ 003962,8/24/2016,Розничная продажа алкогольной продукции
"ООО ""Благо""",32 МЕ 002047,6/24/2013,Розничная продажа алкогольной продукции
"ООО ""ГЕРМЕС""",32 МЕ 002049,6/24/2013,Розничная продажа алкогольной продукции
"ООО ""Витязь""",32 МЕ 004179,6/28/2013,Розничная продажа алкогольной продукции
"ЗАО ""Империя Вкуса""",32 МЕ 002056,7/1/2013,Розничная продажа алкогольной продукции
"ООО ""БИМ""",32 МЕ 002128,9/11/2013,Розничная продажа алкогольной продукции
"ООО ""Д.торг""",32 МЕ 003657,9/21/2016,Розничная продажа алкогольной продукции
"ООО ""Перекресток +""",32 МЕ 002069,7/24/2013,Розничная продажа алкогольной продукции
"ООО ""Квартет""",32 МЕ 002603,7/24/2013,Розничная продажа алкогольной продукции
"ООО ""ФЕНИКС""",32 МЕ 002076,7/31/2013,Розничная продажа алкогольной продукции
