№ п/п,Наименование и организационно-правовая форма организации,ИНН/ОГРН,Юридический адрес,Фактический адрес объекта лицензирования,Наименование объекта лицензирования,Серия и номер лицензии,Дата начала срока действия лицензии,Дата выдачи лицензии,Дата окончания срока действия лицензии,Текущее состояние лицензии
6366,"Общество с ограниченной ответственностью ""Конус ОГС""",7735518881/ 1067746460077,"124460, г. Москва, Зеленоград, корп. 1116, кв. 125","г. Москва, Зеленоград, корп. 424А, н.п. 1",Магазин,ДПРУ 12210,19.04.2010,26.04.2010,19.04.2015,Действует
6367,"Закрытое акционерное общество ""Торговый дом ""ПЕРЕКРЕСТОК""",7728029110/ 1027700034493,"103473, г. Москва, Суворовская пл., д.1","г. Москва, ул.Плещеева, д.4",Универсам,ДПРУ 11997,20.04.2010,02.04.2010,20.04.2015,Действует
6369,"Общество с ограниченной ответственностью ""БРАВА""",7722622282/ 1077759733732,"111024, г.Москва, ул. Душинская, д.7, стр.1","г.Москва, Краснопресненская наб., д.12",Кафе,ДПРУ 12130,20.04.2010,20.04.2010,20.04.2015,Действует
6370,"Общество с ограниченной ответственностью ""Бразерс и Компания""",7710227312/ 1027700276130,"141400, Московская область, г. Химки, Вашутинское шоссе, д. 4","г. Москва, Манежная пл., д.1, стр.2",Кафе,ДПРУ 12150,20.04.2010,20.04.2010,20.04.2013,Действует
637,,,,,,,,,,
6371,"Общество с ограниченной ответственностью ""КОМЭК""",7734085106/ 1027739387532,"123181, г. Москва, ул.Маршала Катукова, д.11, корп.1","г.Москва, ул. Марксистская, д.38",Универсам,ДПРУ 12141,20.04.2010,20.04.2010,20.04.2015,Действует
6372,"Общество с ограниченной ответственностью ""Мир Вкуса""",7729645994/ 1097746806520,"119517, г.Москва, ул. Нежинская, д.8, корп.4","г.Москва, ул. Нежинская, д.8, корп.4",Магазин,ДПРУ 12058,20.04.2010,21.04.2010,20.04.2013,Действует
6373,"Общество с ограниченной ответственностью ""Радуга""",7704510459/ 1047796018841,"127018, г.Москва, ул. Трифоновская, д.4","г. Москва, проспект Сорок лет Октября, д. 22",Супермаркет,ДПРУ 5574,20.04.2010,20.04.2010,28.09.2014,Действует
6374,"Общество с ограниченной ответственностью ""Радуга""",7704510459/ 1047796018841,"127018, г.Москва, ул. Трифоновская, д.4","г.Москва, пр. Ферганский, д.14, корп.3",Магазин,ДПРУ 6807,20.04.2010,20.04.2010,06.03.2013,Действует
6375,"Общество с ограниченной ответственностью ""Радуга""",7704510459/ 1047796018841,"127018, г.Москва, ул. Трифоновская, д.4","г.Москва, ул. Трифоновская, д.4","Универсам ""Радуга""",ДПРУ 9041,20.04.2010,20.04.2010,03.02.2014,Действует
6376,"Общество с ограниченной ответственностью ""ЭЛЬНА - 1""",7713217792/ 1037700031621,"127644, г.Москва, ул. Лобненская, д.14Б","г.Москва, ул. Лобненская, д.14Б",Кафе,ДПРУ 12016,20.04.2010,21.04.2010,20.04.2015,Действует
6377,"Закрытое акционерное общество ""Алашер""",7715138144/ 1037739461539,"127322, г. Москва, ул. Фонвизина, д. 16/29","г. Москва, Орехово-Зуевский пр-д, д.10",Магазин,ДПРУ 12144,21.04.2010,21.04.2010,21.04.2015,Действует
6378,"Общество с ограниченной ответственностью ""АВЭМ""",7727702580/ 1097746677280,"117042, г.Москва, ул. Адмирала Лазарева, д.24","г.Москва, ул. Адмирала Лазарева, д.24",Ресторан,ДПРУ 12094,21.04.2010,21.04.2010,21.04.2015,Действует
6379,"Общество с ограниченной ответственностью ""АЛЬКОР-1""",7733662431/ 1087746822338,"125362, г.Москва, ул. Свободы, д.11/1","г.Москва, ул. Свободы, д.11/1",Магазин,ДПРУ 12038,21.04.2010,21.04.2010,21.04.2013,Действует
6380,"Общество с ограниченной ответственностью ""ДВИЖЕНИЕ""",7716222303/ 1027716006416,"105187, г. Москва, Измайловское ш., д.71, корп.А","г. Москва, Измайловское ш., д.71, корп. А, 4 эт",Бар,ДПРУ 12133,21.04.2010,21.04.2010,21.04.2016,Действует
638,,,,,,,,,,
6381,"Общество с ограниченной ответственностью ""ДЕМЕТРА ТиГ""",7737050101/ 1037700245967,"115582, г. Москва, ул. Ясеневая, д. 8, корп. 2","г.Москва, ул. Ясеневая, д.8",Кафе,ДПРУ 12054,21.04.2010,23.04.2010,21.04.2013,Действует
6382,"Общество с ограниченной ответственностью ""Локон-Макс""",7737107414/ 1037739254365,"115598, г. Москва, ул. Загорьевская, д.10, стр.2","г. Москва, Старопименовский пер., д.11/6, стр.1",Кафе,ДПРУ 12162,21.04.2010,22.04.2010,21.04.2013,Действует
6383,"Общество с ограниченной ответственностью ""ПРОМИФ Инк""",7706719375/ 1097746246290,"119049, г.Москва, ул. Мытная, д.1, стр.1","г.Москва, ул. Мытная, д.1, стр.1",Кафе,ДПРУ 12139,21.04.2010,21.04.2010,21.04.2013,Действует
6384,"Общество с ограниченной ответственностью ""РД""",7733714440/ 1097746638901,"125310, г.Москва, ул. Муравская, д.1","г.Москва, ул. Муравская, д.1",Ресторан,ДПРУ 12039,21.04.2010,23.04.2010,21.04.2013,Действует
6385,"Общество с ограниченной ответственностью ""Торговое предприятие ""ПИЛИГРИМ""",7709243422/ 1037739149250,"115409, г. Москва, Каширское шоссе, д. 68, корп. 1","г. Москва, Каширское шоссе, д. 68, корп. 1",Магазин,ДПРУ 12037,21.04.2010,21.04.2010,21.04.2013,Действует
6386,"Открытое акционерное общество ""Гостиница ""Украина""",7730118505/ 1027739560771,"121248, г. Москва, Кутузовский пр-т, д.2/1, стр.1","г.Москва, Кутузовский просп., д.2/1, стр.1","Бар ""Диорама""",ДПРУ 12205,21.04.2010,22.04.2010,21.04.2013,Действует
6387,"Открытое акционерное общество ""Гостиница ""Украина""",7730118505/ 1027739560771,"121248, г. Москва, Кутузовский пр-т, д.2/1, стр.1","г.Москва, Кутузовский просп., д.2/1, стр.1","Ресторан ""Фарси""",ДПРУ 12203,21.04.2010,22.04.2010,21.04.2013,Действует
6388,"Открытое акционерное общество ""Гостиница ""Украина""",7730118505/ 1027739560771,"121248, г. Москва, Кутузовский пр-т, д.2/1, стр.1","г.Москва, Кутузовский просп., д.2/1, стр.1","Ресторан ""Веранда""",ДПРУ 12206,21.04.2010,22.04.2010,21.04.2013,Действует
6389,"Открытое акционерное общество ""Гостиница ""Украина""",7730118505/ 1027739560771,"121248, г. Москва, Кутузовский пр-т, д.2/1, стр.1","г.Москва, Кутузовский просп., д.2/1, стр.1",Ресторан,ДПРУ 12204,21.04.2010,22.04.2010,21.04.2013,Действует
6390,"Открытое акционерное общество ""Гостиница ""Украина""",7730118505/ 1027739560771,"121248, г. Москва, Кутузовский пр-т, д.2/1, стр.1","г.Москва, Кутузовский просп., д.2/1, стр.1",Бар,ДПРУ 12207,21.04.2010,22.04.2010,21.04.2013,Действует
639,,,,,,,,,,
6391,"Открытое акционерное общество ""Седьмой Континент""",7705005628/ 1027700093343,"125581, г. Москва, ул.Фестивальная, д.8, стр.1","г.Москва, ул. Татарская Б., д.30",Магазин,ДПРУ 11859,21.04.2010,26.03.2010,21.04.2015,Действует
6392,"Открытое акционерное общество ""Седьмой Континент""",7705005628/ 1027700093343,"125581, г. Москва, ул.Фестивальная, д.8, стр.1","г.Москва, ул. Элеваторная, д.12, корп.1",Магазин,ДПРУ 11858,21.04.2010,26.03.2010,21.04.2015,Действует
