тип решения,организационно правовая форма,наименование,место нахождения,ОГРН,ИНН,КПП,тип,район/город,населенный пункт,"ул,№дома",регистрационный №Лицензии,дата выдачи,начало срока действия,конец срока действия,серия лицензии,номер бланка лицензии,серия перечня,номер бланка перечня,условие,
о выдаче,АПК,Дульдурга,"Забайкальский край, Дульдургинский район, с.Дульдурга, ул.Речная, д.19",1068080020997,8002003033,800101001,"отдел в магазине ""Диана""",Дульдургинский район,с. Дульдурга,"ул. 50 лет Октября, 14 а",0340,20-Aug-12,20-Aug-12,20-Aug-15,75МЕ,003260,,,,
о выдаче,ООО,Чита-универсал,"Забайкальский край, г. Чита, ул.Чкалова, 35",1107536002760,7536110015,753601001,магазин,г. Чита,г. Чита,"ул. 9 Января, д. 20, пом.1",0337,20-Aug-12,20-Aug-12,20-Aug-15,75МЕ,003253,,,,
о выдаче,ООО,Алиса,"Читинская область, Акшинский район, с.Акша, ул.Октябрьская, 8",1067515005579,7501002749,750101001,магазин,Акшинский район,с. Акша,"ул. Карла Маркса, 32",0335,20-Aug-12,20-Aug-12,20-Aug-17,75МЕ,003254,,,,
о выдаче,ООО,Дарья,"Забайкальский край, Оловяннинский район, п. Оловянная, ул. Станционная, 26",1057515014380,7515005884,751501001,"магазин ""Дарья""",Оловяннинский район,п. Ясногорск,"ул. Ленина, 7",0345,21-Aug-12,21-Aug-12,21-Aug-13,75МЕ,003266,,,,
о выдаче,ООО,Бирюса,"Забайкальский край, г. Чита, пр. Фадеева, д.21 а",1127536002142,7536126008,753601001,магазин,г. Чита,г. Чита,"пр.Фадеева, 21 а",0342,21-Aug-12,21-Aug-12,21-Aug-13,75ме,003261,,,,
о продлении,ООО,Светлый,"Заюайкальский край, Борзинский район, г. Борзя, ул. Рабочая, 73",1067505006249,7529010563,752901001,отдел в магазине,Борзинский район,г. Борзя,"ул. Рабочая, 73",0344,21-Aug-12,27-Aug-12,27-Aug-13,75МЕ,003263,,,,
о выдаче,ООО,КАРОЛИНА,"Забайкальский край, г. Балей, ул. Октябрьская, 107 а",1127527000105,7528005779,752801001,магазин,г. Балей,г. Балей,"ул. Октябрьская, д.107 а",0346,22-Aug-12,22-Aug-12,22-Aug-13,75ме,003271,,,,
о продлении,ООО,Империал,"Забайкальский край, Читинский район, пгт. Атамановка, ул. Гагарина, 10-а",1067524006406,7524013384,752401001,"отдел в магазине ""Империал""",Читинский район,пгт. Атамановка,"ул. Гагарина, 10-а",0349,22-Aug-12,07-Sep-12,07-Sep-13,75МЕ,003274,,,,
о выдаче,ООО,Диана,"Читинская область, Карымский район, пгт. Карымское, ул. Нижняя, 8",1077524000245,7508005604,750801001,отдел в магазине,Карымский район,пгт. Карымское,"ул. Нижняя, д.8",0348,22-Aug-12,10-Sep-12,10-Sep-13,75МЕ,003272,,,,
о выдаче,ООО,Темп,"Забайкальский край, Александрово-Заводский район, с. Александровский Завод, пер. Школьный, д. 14",1067505006722,7502002283,750201001,отдел в магазине,Александрово-Заводский район,с. Александровский Завод,"ул. Чернышевского, д.24",0343,22-Aug-12,22-Aug-12,22-Aug-14,75МЕ,003273,,,,
о выдаче,ООО,Фортуна,"Забайкальский край, Тунгокоченский район, п. Вершино-Дарасунский, ул. Лесная, 5",1067527004038,7521003525,752101001,отдел в магазине,Тунгокоченский район,п. Вершино-Дарасунский,"ул. Ленина, 3-а",0352,22-Aug-12,02-Sep-12,02-Sep-15,75МЕ,003268,,,,
о выдаче,ООО,Мега,"Забайкальский край, Агинский район, пгт. Агинское, ул. Юннатская, д. 8, кв.2",1068080021107,8001012821,800101001,"магазин""Мега маркет""",Агинский район,пгт. Агинское,"ул. Базара Ринчино, д. 7",0347,22-Aug-12,22-Aug-12,22-Aug-17,75ме,003267,,,,
о переоформлении,ООО,ТРИ А,"Забайкальский край, г. Чита, ул. Новая, 61 а",1067536043013,7536070394,753601001,магазин,г. Чита,г. Чита,"ул. Новая, 15",0350,22-Aug-12,22-Aug-12,22-Aug-17,75ме,003302,,,,
