тип решения,организационно правовая форма,наименование,место нахождения,ОГРН,ИНН,КПП,тип,район/город,населенный пункт,"ул,№дома",регистрационный №Лицензии,дата выдачи,начало срока действия,конец срока действия,серия лицензии,номер бланка лицензии,серия перечня,номер бланка перечня,условие,
о переоформлении,ООО,Бахус,"Оловяннинский район, п. Ясногорск, ул. Энергетиков, дом 11",1057515018747,7515005919,751501001,"магазин ""Бахус""",Оловяннинский район,пгт. Ясногорск,"ул. Энергетиков, 11",112,19-Nov-10,25-Dec-08,24-Dec-13,75 ме,002840,,,,
о выдаче,ООО,Сапфир,"Забайкальский край, Карымский район, пгт. Дарасун, ул. Лазо, 2 а",1087524001278,7508006020,750801001," отдел в  магазине ""Продукты""",Карымский район,с. Адриановка,"ул. Клубная, 1-б",115,25-Nov-10,31-Mar-09,30-Mar-14,,,,,,
о переоформлении,ООО,Кооператор,"Забайкальский край, Шелопугинский район, с. Шелопугино, ул. Советская, д. 19",1107513000209,7526003092,752601001,отдел в магазине Бонус,Шелопугинский район,с. Шелопугино,"ул. Верхняя, д. 5",123,13-Dec-10,13-Dec-10,13-Dec-15,,,,,,
о переоформлении,ООО,Дионис,"Забайкальский край, п.г.т. Агинское, ул. Мурзина, д. 8",1078080002660,8001014709,800101001,магазин,Могойтуйский район,п. Могойтуй,"ул. Кооперативная, д. 3, пом. 1",0136,21-Dec-10,21-Dec-07,21-Dec-12,75 ме,002825,,,,
о продлении,ООО,Лейла,"Забайкальский край, Карымский район, п.г.т. Карымское, ул. Ленинградская, 69",1057524018573,7508004978,750801001,"отдел в магазине ""Троя""",Карымский район,пгт. Карымское,"ул. Ленинградская, 34-а",144,29-Dec-10,29-Dec-10,29-Dec-15,,,,,,
о выдаче,ООО,О Кей,"Забайкальский край, г. Чита, ул. Трактовая, д. 33",1107536007446,7536114838,753601001,"отдел в Т.Ц.""Карина""",г. Краснокаменск и Краснокаменский район,г. Краснокаменск,"ул. Парковая, 1",186,04-Mar-11,04-Mar-11,04-Mar-16,,,,,,
о продлении,,Усть-карское потребительское общество,"Забайкальский район, сретенский район, п. усть-Карск, ул. Советская, 2",1027500744677,7519001601,751901001,магазин,Сретенский район,с. Нижняя Куэнга,,197,11-Mar-11,19-Mar-11,19-Mar-16,,,,,,
о продлении,ООО,Дэлжээн,"Забайкльский край, Агинский район, с. Сахюрта, ул. Ленина, 28-2",1097580000583,8001016015,800101001,"отдел в магазине ""Олимп""",Агинский район,с. Амитхаша,"ул. 1-ая Дорожная, 62 (действует с 20.04.2010)",0198,15-Mar-11,16-Mar-11,16-Mar-16,,,,,,
о продлении,ООО,Иверия,"Забайкальский край, г. Краснокаменск, 8 мкр., северная сторона жилого дома № 808, кафе с магазином ""Иверия""",1057530021801,7530011064,753001001,магазин,г. Краснокаменск и Краснокаменский район,г. Краснокаменск,северная сторона жилого дома №808,200,15-Mar-11,22-Mar-11,22-Mar-16,,,,,,
о выдаче,ООО,Батоева,"Забайкальский район, п.г.т.Могойтуй, ул. Заводская, 1-а",110758000692,8003039392,800301001,"организация общественного питания (бар в кафе "" Хун-шубуун"")",Могойтуйский район,пгт. Могойтуй,"ул. Заводская, 1-а",210,25-Mar-11,25-Mar-11,06-Feb-13,,,,,,
о продлении,ООО,"Торговая компания ""Маркет""","Забайкальский край, г. Чита, ул.Богомягкова, 24, помещение 4",1057536129936,7536066214,753601001,магазин,г. Чита,г. Чита,"ул. Богомягкова, 24, пом.4",211,28-Mar-11,12-Apr-11,12-Apr-14,,,,,,
о выдаче,ООО,Цзюй Лань,"Забайкальский край, г. Чита, ул. Аргунская, 44, кв. 53",1067536051330,7536075459,753601001,организация общественного питания (бар в кафе),г. Чита,г. Чита,"Центральный район, ул. Забайкальского рабочего, 86",219,04-Apr-11,04-Apr-11,04-Apr-16,,,,,,
о выдаче,ООО,Апшерон,"Забайкальский край, г. Краснокаменск, 4 мкр, д. 409, кв. 14",1067533000262,7530011138,753001001,"павильон ""Апшерон""",г. Краснокаменск и Краснокаменский район,г. Краснокаменск,"4 мкр., д. 476, южная сторона жилого дома 115/2, пом. 3",225,08-Apr-11,08-Apr-11,08-Apr-16,75 ме,002158,,,,
о продлении,ООО,Арбат,"Забайкальский край, г. Краснокаменск, Проспект Шахтеров, 4",1027501068781,7530008375,753001001,"закусочная ""Шашлычная""",г. Краснокаменск и Краснокаменский район,г. Краснокаменск,1 мкр.,230,12-Apr-11,20-Apr-11,20-Apr-13,75 ме,002163,,,,
о продлении,ООО ,Версаль,"Забайкальский край, г. Краснокаменск, Проспект Шахтеров, 4",1057530021427,7530011018,753001001,"магазин ""24 часа"" в магазине ""Супермаркет""",г. Краснокаменск и Краснокаменский район,г. Краснокаменск,1 мкр.,231,12-Apr-11,20-Apr-11,20-Apr-13,,,,,РПАП до 15 %,
о продлении,ООО,ИП Кублякова Н.Г.,"Забайкальский край, г. Чита, ул. Лесозаводская, 1",1067536017768,7536068444,753601001,отдел в магазине,г. Чита,г. Чита,"Железнодорожный район, ул. Новопутейская, 20",243,25-Apr-11,07-May-11,07-May-16,,,,,,
о продлении,ОАО,Федеральная пассажирская компания,"г. Москва, ул. Новорязанская, 12 ( г. Чита, ул. Бутина, д. 2)",1097746772738,7708709686,,вагон-буфет,г. Чита,г. Чита,"094 17585 ул. Профсоюзная, 2",44,10-May-11,28-May-11,28-Dec-12,,,,,,
о продлении,ООО,Сельхозсервис,"Забайкальский край, г.Чита, ул. Тимирязева, 27",1027501160829,7534011740,753401001,"отдел в магазине ""Садко-Диета""",г. Чита,г. Чита,"ул. Красной Звезды, д. 8, пом. 1",261,10-May-11,16-Jun-11,16-Jun-13,,,,,,
о переоформлении,ООО,Арбат,"Забайкальский край, г.Чита, ул. Петровско-Заводская, 20",1067536018813,7536068532,753601001,отдел в магазине,г. Чита,г. Чита,"пер. Речной, 7",260,10-May-11,10-Jun-11,10-Jun-14,75 ме,,,,,
о продлении,ОАО,Продтовары,"Забайкальский край, г.Краснокаменск, 4 мкр. д. 402, кв. 133/134",1027501066526,7530006240,753001001,магазин № 1,г. Краснокаменск и Краснокаменский район,г. Краснокаменск, 3 микрорайон ОТЦ,263,12-May-11,13-May-11,13-May-14,,,,,,
о продлении,ООО,Юлиус,"Забайкальский край, г. Чита, ул.Бутина, 73",1107536005074,7536067088,753601001,"магазин ""Юлиус""",г. Чита,г. Чита,ул. Бутина 73,0268,12-May-11,23-Jun-11,23-Jun-14,,,,,,
о выдаче,ООО,Караван-Сити,"Забайкальский край, г. Чита, ул. Бабушкина, 104, пом. 2",1117536000174,7536115824,753601001,"отдел в ТК ""Караван""",г. Чита,г. Чита,"г. Чита, ул. Бабушкина, 104, пом. 2",269,16-May-11,16-May-11,16-May-16,,,,,,
о выдаче,ООО,Экспресс плюс,"Забайкальский край, г.Чита, ул. Трактовая, 29",1097536004587,7536102960,753601001,"магазин при АЗС  ""Корс""",г. Чита,г. Чита,"Центральный административный район, ул. Богомягкова, 58",274,19-May-11,19-May-11,19-May-16,,,,,,
о выдаче,ООО,Восьмерочка,"Забайкальский край, г. Краснокаменск,д. 820, кв.73",1117530000521,7530013417,753001001,отдел в павильоне,г. Краснокаменск и Краснокаменский район,г. Краснокаменск,д. 801-а,283,25-May-11,25-May-11,25-May-13,,,,,,
о выдаче,ООО,Рубин,"Забайкальский край, Читинский район, п.г.т.Атамановка, ул. Матюгина, 131",1057530020393,7524012937,752401001,магазин,Читинский район,пгт. Атамановка,"ул. Матюгина, д.160 ""б""",0127,25-May-11,29-Jun-12,29-Jun-15,75 ме,002992,,,,
