"Реестр лицензий на розничную продажу алкогольной продукции, выданных на территории Кемеровской области",,,,,,
 № п/п,"Наименование лицензиата, ИНН, ОГРН",Место нахождения лицензиата,Место осуществления деятельности,"Регистрационный № лицензии, дата выдачи",Срок действия лицензии,Примеча ния
687,"ООО Орион, ИНН - 4229000978, ОГРН - 1024201981847","652303, г. Топки, ул. Пионерская, дом.2Б","г. Топки, ул. Пионерская д.2Б (магазин)","лицензия № ОЛ-11385-РПА, 42МЕ № 002850, 09.12.2011",c 09.12.2011 по 08.12.2012,
688,"ООО Орион-Н, ИНН - 4220029108, ОГРН - 1054220025232","654028, г. Новокузнецк, ул. Гончарова, дом.177А","г. Новокузнецк, ул. Гончарова д.177А (магазин)","лицензия № ОЛ-11695-РПА, 42 МЕ № 003029, 28.02.2012",c 28.02.2012 по 27.02.2014,
689,"ООО Остап, ИНН - 4223028102, ОГРН - 1024201886928","653052, г. Прокопьевск, пр-кт. Строителей, дом.75","г. Прокопьевск, пр-кт. Строителей д.75 (кафе)","лицензия № ОЛ-2203-РПА, В № 934220, 31.07.2003",c 31.07.2003 по 31.07.2006 продлена с 02.08.2011 по 01.08.2014,
690,"ООО Отдых, ИНН - 4218100089, ОГРН - 1064218014486","654000, г. Новокузнецк, ул. Косыгина, дом.53А","г. Новокузнецк, ул. Косыгина д.53А (кафе)","лицензия № ОЛ-5734-РПА, Д № 489228, 22.06.2006",c 01.07.2006 по 01.07.2011 продлена с 02.07.2011 по 01.07.2015,
691,"ООО Отель, ИНН - 4205108563, ОГРН - 1064205106206","650903, г. Кемерово, ул. Греческая Деревня, дом.188","г. Анжеро-Судженск, ул. Ленина д.7 (ресторан)","лицензия № ОЛ-11673-РПА, 42 МЕ № 003015, 16.02.2012",c 16.02.2012 по 15.02.2013,
692,"ООО Охота, ИНН - 4252001722, ОГРН - 1114252000873","654201, Новокузнецкий р-н, с. Сосновка, ул. Садовая, дом.1Д","Новокузнецкий р-н, с. Сосновка, ул. Садовая д.1Д (ресторан)","лицензия № ОЛ-11176-РПА, 42МЕ № 002714, 28.09.2011",c 28.09.2011 по 27.09.2014,
693,"ООО Ояна, ИНН - 4202028165, ОГРН - 1064202017406","652612, г. Белово, пер. Почтовый, дом.62","г. Белово, пер. Почтовый д.62 (магазин)","лицензия № ОЛ-5753-РПА, Д № 489265, 28.06.2006",c 01.07.2006 по 01.07.2011 продлена с 02.07.2011 по 01.07.2012,
694,"ООО ПАЛИТРА, ИНН - 4205166942, ОГРН - 1084205019953","650060, г. Кемерово, б-р. Строителей, дом.32/2","г. Кемерово, б-р. Строителей д.32/2 (кофейня)","лицензия № ОЛ-8434-РПА, Д № 488887, 02.03.2009",c 02.03.2009 по 01.03.2011 продлена с 02.03.2011 по 01.03.2013,
695,"ООО ПАЛИТРА, ИНН - 4205207719, ОГРН - 1104205016123","650070, г. Кемерово, пр-кт. Молодежный, дом.9, оф.235","г. Топки, ул. Топкинская д.29 (кафе-клуб)","лицензия № ОЛ-10130-РПА, 42 МЕ № 001929, 27.12.2010",c 27.12.2010 по 26.12.2013,
696,"ООО ПАЛЛАДА, ИНН - 4214023860, ОГРН - 1054214021256","652870, г. Междуреченск, пр-кт. Строителей, дом.2 кв.43","г. Междуреченск, ул. Лазо д.35 оф.1 (магазин)","лицензия № ОЛ-5699-РПА, Д № 489192, 21.06.2006",c 01.07.2006 по 01.07.2011 продлена с 02.07.2012 по 01.07.2013,
697,"ООО ПАРАДИЗ, ИНН - 4205166967, ОГРН - 1084205019931","650060, г. Кемерово, б-р. Строителей, дом.32/2","г. Кемерово, б-р. Строителей д.32/2 (бар)","лицензия № ОЛ-8433-РПА, Д № 488888, 02.03.2009",c 02.03.2009 по 01.03.2011 продлена с 02.03.2011 по 01.03.2013,
698,"ООО ПАРТНЁР, ИНН - 4205168668, ОГРН - 1084205021603","650004, г. Кемерово, ул. Тухачевского, дом.100","г. Кемерово, пр-кт. Ленина д.105 (магазин); г. Кемерово, пр-кт. Октябрьский д.9 (магазин)","лицензия № ОЛ-9448-РПА, 42 МЕ № 002230, 28.04.2010",c 28.04.2010 по 27.04.2011 продлена с 28.04.2011 по 27.04.2014,
699,"ООО ПАРУС, ИНН - 4211021342, ОГРН - 1084211000433","652705, г. Киселевск, ул. Майкопская, дом.3","г. Киселевск, ул. Майкопская д.3 (магазин)","лицензия № ОЛ-7951-РПА, Д № 488553, 30.10.2008",c 30.10.2008 по 29.10.2013,
700,"ООО ПАСТЕРНАК, ИНН - 4214024905, ОГРН - 1064214008770","652870, г. Междуреченск, пр-кт. Коммунистический, дом.3","г. Междуреченск,; г. Междуреченск, пр-кт. Коммунистический д.3 (магазин)","лицензия № ОЛ-5817-РПА, Д № 489359, 05.07.2006",c 05.07.2006 по 05.07.2011 продлена с 06.07.2012 по 05.07.2015,
701,"ООО ПЕРЕКРЕСТОК, ИНН - 4218027907, ОГРН - 1054218014355","654000, г. Новокузнецк, ул. Тореза, дом.26","г. Новокузнецк, ул. Тореза д.26 (магазин)","лицензия № ОЛ-5136-РПА, В № 935756, 23.12.2005",c 23.12.2005 по 23.12.2008 продлена с 24.12.2011 по 23.12.2012,
702,"ООО ПЕРЕКРЕСТОК, ИНН - 4246005510, ОГРН - 1054246021939","652470, г. Анжеро-Судженск, ул. Широкая, дом.2","г. Анжеро-Судженск, ул. Широкая д.2 (магазин)","лицензия № ОЛ-6232-РПА, Д № 489658, 14.09.2006",c 14.09.2006 по 14.09.2011 продлена с 15.09.2011 по 14.09.2012,
703,"ООО ПИВНОЙ СОЮЗ, ИНН - 4221018243, ОГРН - 1054221017080","654032, г. Новокузнецк, ул. Одесская, дом.1","г. Новокузнецк, пер. Бульварный д.4 (магазин); г. Новокузнецк, ул. Одесская д.1 (магазин)","лицензия № ОЛ-5685-РПА, Д № 489183, 16.06.2006",c 01.07.2006 по 01.07.2011 продлена с 02.07.2011 по 01.07.2016,
704,"ООО ПИВТОРГ, ИНН - 4205183793, ОГРН - 1094205015882","650024, г. Кемерово, ул. Патриотов, дом.21А","г. Кемерово, ул. Патриотов д.21А (магазин); г. Кемерово, пр-кт. Советский д.44А (магазин)","лицензия № ОЛ-9070-РПА, 42 МЕ № 001392, 01.12.2009",c 01.12.2009 по 30.11.2014,
705,"ООО ПИПЛС, ИНН - 4217078049, ОГРН - 1054217111970","654080, г. Новокузнецк, ул. Тольятти, дом.44","г. Новокузнецк, ул. Тольятти д.44 (бар)","лицензия № ОЛ-5481-РПА, Д № 489013, 18.04.2006",c 18.04.2006 по 18.04.2011 продлена с 19.04.2012 по 18.04.2013,
706,"ООО ПОИСК-КУЗБАСС, ИНН - 4221018324, ОГРН - 1054221017707","654034, г. Новокузнецк, ул. Ленина, дом.36","г. Новокузнецк, ул. Ленина д.36 (кафе)","лицензия № ОЛ-11690-РПА, 42 МЕ № 003030, 28.02.2012",c 28.02.2012 по 27.02.2013,
707,"ООО ПРАЙД-М, ИНН - 4209028319, ОГРН - 1024200704505","650004, г. Кемерово, ул. Фрунзе, дом.38","г. Кемерово, пр-кт. Кузнецкий д.32 (магазин)","лицензия № ОЛ-11696-РПА, 42 МЕ № 003025, 27.02.2012",c 27.02.2012 по 26.02.2013,
708,"ООО ПРЕЗЕНТ, ИНН - 4223041840, ОГРН - 1064223017935","653033, г. Прокопьевск, ул. Надежды Крупской, дом.12","г. Прокопьевск, ул. Надежды Крупской д.12 (магазин)","лицензия № ОЛ-6174-РПА, Д № 489606, 18.08.2006",c 18.08.2006 по 18.08.2011 продлена с 19.08.2011 по 18.08.2012,
709,"ООО ПРЕСТИЖ, ИНН - 4213005547, ОГРН - 1054213008960","652152, г. Мариинск, ул. Юбилейная, дом.14","Мариинский р-н, с. Красные Орлы, ул. Советская д.10 (магазин); Мариинский р-н, с. Красные Орлы, ул. 60 лет Октября д.3/1 (магазин); Мариинский р-н, с. Красные Орлы, ул. Советская д.66 (магазин); г. Мариинск, ул. Юбилейная д.14 (магазин); г. Мариинск, ул. Юбилейная д.6 (магазин)","лицензия № ОЛ-5082-РПА, В № 935794, 27.12.2005",c 27.12.2005 по 27.12.2008 продлена с 28.12.2011 по 27.12.2012,
710,"ООО ПРИВЕТ, ИНН - 4228008283, ОГРН - 1034228001730","652920, Таштагольский р-н, пгт. Темиртау, ул. Центральная, дом.7А","Таштагольский р-н, пгт. Темиртау, ул. Центральная д.7А (магазин)","лицензия № ОЛ-2667-РПА, В № 935417, 21.09.2005",c 10.02.2004 по 10.02.2007 продлена с 13.02.2012 по 12.02.2013,
711,"ООО ПРИВОЗ, ИНН - 4214027455, ОГРН - 1074214001531","652870, г. Междуреченск, ул. Пушкина, дом.9 кв.17","г. Междуреченск, ул. Вокзальная д.46 оф.пом 1 А (магазин); г. Междуреченск, ул. Пушкина д.9-17 (магазин); г. Междуреченск, пр-кт. Коммунистический д.3 (магазин); г. Междуреченск, пр-кт. Коммунистический д.41-63,64 (магазин)","лицензия № ОЛ-6903-РПА, Д № 489978, 02.07.2007",c 02.07.2007 по 02.07.2012 продлена с 03.07.2012 по 02.07.2017,
712,"ООО ПРИМА, ИНН - 4214026490, ОГРН - 1064214012411","652845, г. Мыски, ул. Кузнецкая, дом.5 пом.1","г. Мыски, ул. Кузнецкая д.5 пом.1(магазин)","лицензия № ОЛ-7097-РПА, МЕ № 002961, 16.11.2011",c 01.11.2007 по 01.11.2012,
713,"ООО ПРИЧАЛ, ИНН - 4212015729, ОГРН - 1064212016736","652560, г. Полысаево, ул. Космонавтов, дом.90/1","г. Полысаево, ул. Космонавтов д.90/1 (бар); г. Полысаево, ул. Космонавтов д.90/1 (кафе); г. Полысаево, ул. Космонавтов д.90/1 (ресторан)","лицензия № ОЛ-6820-РПА, Д № 488091, 04.12.2007",c 07.05.2007 по 07.05.2008 продлена с 09.05.2012 по 08.05.2014,
714,"ООО ПРОСПЕКТ, ИНН - 4217105863, ОГРН - 1084217005366","654000, г. Новокузнецк, пр-кт. Дружбы, дом.45-121","г. Новокузнецк, пр-кт. Советской Армии д.55 (магазин)","лицензия № ОЛ-9139-РПА, 42МЕ № 001435, 15.12.2009",c 15.12.2009 по 14.12.2010 продлена с 15.12.2011 по 14.12.2012,
715,"ООО ПРОТЕЙ, ИНН - 4212009404, ОГРН - 1024201301651","652560, г. Полысаево, ул. Республиканская, дом.11/1","г. Белово, пгт. Грамотеино, ул. Колмогоровская д.34 (магазин); г. Полысаево, ул. Республиканская д.11/1 (магазин); г. Полысаево, ул. Космонавтов д.94 (магазин); г. Полысаево, ул. Крупской д.в районе г (магазин)","лицензия № ОЛ-4884-РПА, Д № 489753, 08.11.2006",c 17.11.2005 по 17.11.2008 продлена с 18.11.2008 по 17.11.2013,
716,"ООО ПЧЕЛКА, ИНН - 4205109831, ОГРН - 1064205113532","650905, г. Кемерово, ул. 2 Квартал, дом.1-7","г. Кемерово, ул. Центральная д.132","лицензия № ОЛ-8363-РПА,  № , 03.02.2009",c  по,
717,"ООО ПЧЕЛКА, ИНН - 4205109831, ОГРН - 1064205113532","650905, г. Кемерово, ул. 2 Квартал, дом.1-7","г. Кемерово, пр-кт. Ленинградский д.7А оф.пом. 87 (магазин)","лицензия № ОЛ-11206-РПА, 42МЕ № 002737, 13.10.2011",c 13.10.2011 по 12.10.2012,
