РЕЕСТР,,,,,,,,,
"действующих лицензий на розничную продажу алкогольной продукции,",,,,,,,,,
"выданных министерством сельского хозяйства, торговли и продовольствия Сахалинской области на  01.10.2012 года ",,,,,,,,,
"№
п/п","Номер 
регистрации","Дата 
выдачи","Название 
организации",Место нахождения организации,"Номер 
лицензии","Срок 
действия",Статус,Условие,Объекты
591,251-12алк/Дол,7/13/2012,"ООО ""Макс""","Долинский р-н, с. Сокол, ул. Железнодорожная, 4",МЕ007077,7/12/2015,действующая,алк> 15%,"магазин ""Валентина"" с. Сокол ул. Железнодорожная, 4"
592,245-12алк/Кор,7/13/2012,"ООО ""Луч""","Корсаковский р-н, с.Новиково, ул. Советская, 37",МЕ007071,7/12/2015,действующая,алк> 15%,"магазин ""Натали"" с.Новиково ул. Советская, 37"
593,246-12алк/Кур,7/13/2012,"ООО ""Меркурий""","Курильский р-н, г. Курильск, ул. Сахалинская, б/н",МЕ007072,7/12/2015,действующая,алк> 15%,"магазин ""Меркурий"" г. Курильск ул. Сахалинская"
594,260-12алк/Тым,7/18/2012,"ООО ""Морозко""","Тымовский р-н, п.г.т. Тымовское, ул. Кировская, 58",МЕ007086,7/17/2015,действующая,алк> 15%,"магазин ""Морозко-1"" п.г.т. Тымовское ул. Кировская, 58; магазин ""Морозко -2"" п.г.т. Тымовское ул. Кировская, 77/А"
595,269-12алк/Дол,7/25/2012,"ООО ""Вила""","Долинский р-н, с. Стародубское, ул. Набережная, 23",МЕ007095,7/24/2015,действующая,алк> 15%,"магазин ""Вила"" с. Стародубское ул. Набережная, 23; кафе ""Вила"" с. Стародубское ул. Набережная, 23"
596,268-12алк/Кур,7/25/2012,"ООО ""Водолей""","Курильский р-н, с. Рейдово, Курильское шоссе, 1/А",МЕ007094,7/24/2015,действующая,алк> 15%,"магазин ""Восход"" с. Рейдово ул. Курильское шоссе, 1/А"
597,283-12алк/ЮС,7/27/2012,"ООО ""Валерия""","г. Южно-Сахалинск, ул. Крайняя, 50 ",МЕ007109,7/26/2015,действующая,алк> 15%,"магазин ""Перчик"" г. Южно-Сахалинск ул. Хабаровская, 81/А"
598,273-12алк/Дол,7/27/2012,"ООО ""Передвижная механизированная колонна-2""","Долинский р-н, г. Долинск, ул. Кирова, 88/А",МE007123,7/26/2015,действующая,алк> 15%,"кафе ""Оля"" г. Долинск ул. Кирова, 88"
599,287-12алк/Пор,7/27/2012,"ООО ""Хон""","Поронайский р-н, г. Поронайск, ул. Молодёжная, 3",МЕ007113,7/26/2015,действующая,алк> 15%,"кафе ""Север"" г. Поронайск ул. Молодежная, 3"
600,272-12алк/Пор,7/27/2012,"ООО ""Дельта""","Поронайский р-н, г. Поронайск, ул. Невельская, 54",МЕ007098,7/26/2015,действующая,алк> 15%,"магазин ""Восток"" г. Поронайск ул. Октябртская. 86; магазин ""Мираж"" г. Поронайск ул. Восточная, 61"
601,276-12алк/Ох,7/27/2012,"ООО ""Радуга""","Охинский р-н, с. Некрасовка, ул. Октябрьская, 1",МЕ007102,7/26/2015,действующая,алк> 15%,"магазин ""Радуга"" с. Некрасовка ул. Октябрьская, 1"
602,296-12алк/ЮС,7/27/2012,"ООО ""Фит Бар""","г. Южно-Сахалинск, пл. р/н Хомутово, ул. 2-я Центральная, 1/Б",МЕ007125,7/26/2015,действующая,алк> 15%,"бар ""Фит Бар"" г. Южно-Сахалинск пл. р/н Хомутово, ул. 2-я Центральная, 1/Б"
603,297-12алк/Хол,7/27/2012,"ООО ""Гермес""","Холмский р-н, г. Холмск, ул.Школьная,54",МЕ007126,7/26/2015,действующая,алк> 15%,"магазин ""Гермес"" г. Холмск ул. Школьная, 54; магазин ""Причал"" г. Холмск ул. Советская, 37; магазин ""Гермес"" с. Костромское ул. Центральная, 16"
604,300-12алк/Кур,8/3/2012,"ООО ""Стимул""","Курильский р-н, с. Рейдово, ул.Юбилейная,1а",МЕ007130,8/2/2015,действующая,алк> 15%,"магазин ""Арина"" с. Рейдово ул. Юбилейная, 1/А"
605,313-12алк/Хол,8/17/2012,"ООО ""ДРУЖБА""","Холмский р-н, с. Пионеры, ул.Вокзальная,2",МЕ007143,8/16/2015,действующая,алк> 15%,"магазин ""Дружба"" с. Пионеры ул. Вокзальная, 2"
606,316-12алк/ЮК,8/18/2012,"ООО ""Миллион""","Южно-Курильский р-н, п.г.т. Южно-Курильск, кв.Рыбников,4",МЕ007144,8/17/2015,действующая,алк> 15%,"магазин ""Приморье"" п.г.т. Южно-Курильск ул. Океанская"
607,69-11алк/ЮС,8/19/2011,"ООО ""Феникс""","г. Южно-Сахалинск, пл. р-н Луговое, ул. Дружбы, 98",МЕ006642,8/18/2015,действующая,алк> 15%,"магазин ""Феникс"" г. Южно-Сахалинск пл. р-н Луговое, ул. Дружбы, 98"
608,309-12алк/Угл,8/21/2012,"ООО ""Радуга""","Углегорский р-н, г. Углегорск, ул.Бумажная,11",МЕ007139,8/20/2015,действующая,алк> 15%,"магазин ""Радуга"" г. Углегорск ул. Бумажная, 11"
609,322-12алк/ЮС,8/24/2012,"ООО ""Тайм""","г. Южно-Сахалинск, пер.Алтайский, 10",МЕ007153,8/23/2015,действующая,алк> 15%,"кафе ""Тайм"" г. Южно-Сахалинск пре. Алтайский, 10"
610,323-12алк/ЮС,8/24/2012,"ООО ""ТАМЕРЛАН""","г. Южно-Сахалинск, ул. Колхозная, 11",МЕ 007154,8/23/2015,действующая,алк> 15%,"магазин ""Татьяна"" г. Южно-Сахалинск ул. Пограничная, 58"
611,329-12алк/ЮС,9/3/2012,"ООО ""Три Толстяка""","г. Южно-Сахалинск, ул. Ленина, 69/А",МЕ007161,9/2/2015,действующая,алк> 15%,"магазин ""Три Толстяка"" г. Южно-Сахалинск ул. Ленина, 69/А"
612,331-12/Хол,9/3/2012,"ООО ""Михайлова""","Холмский р-н, с. Правда, ул.Центральная,32",МЕ007163,9/2/2015,действующая,алк> 15%,"магазин № 56 г. Холмск ул. Первомайская, 2; магазин № 23 с. Правда ул. Центральная, 32"
613,342-12алк/ЮС,9/10/2012,"ООО ""Веранда""","г. Южно-Сахалинск, ул. Ленина, 219",МЕ007175,9/9/2015,действующая,алк> 15%,"бар ""Веранда"" г. Южно-Сахалинск ул. Ленина, 219"
614,349-12алк/ЮС,9/17/2012,"ООО ""Неолит""","г. Южно-Сахалинск, пр. Мира, 192/В",МЕ007188,9/16/2015,действующая,алк> 15%,"магазин ""Эксклюзив"" г. Южно-Сахалинск ул. Тихоокеанская, 31"
615,351-12алк/Ан,9/17/2012,"ООО ""Черёмушки""","Анивский р-н, г. Анива, ул. Октябрьская, 29",МЕ007190,9/16/2015,действующая,алк> 15%,"магазин ""Черемушки"" г. Анива ул. Октябрьская, 29"
616,356-12алк/ЮС,9/21/2012,"ООО ""Супериор""","г. Южно-Сахалинск, ул. Чехова, 71",МЕ007197,9/20/2015,действующая,алк> 15%,"магазин ""Нихон Митай"" г. Южно-Сахалинск пр. Победы, 28/В; кафе ""Нихон Митай"" г. Южно-Сахалинск пр. Победы, 28/В; ресторан ""Русское Борокко"" г.Корсаков 14 км Федеральной автомобильной дороги Южно-Сахалинск-Корсаков"
617,357-12алк/Хол,9/21/2012,"ООО ""Оскар""","Холмский р-н, г. Холмск, ул. Советская, 72",МЕ007198,9/20/2015,действующая,алк> 15%,"магазин ""Мой магазин"" г. Холмск ул. Советская, 72"
618,77-11алк/ЮС,10/6/2011,"ООО ""НикО""","г. Южно-Сахалинск, пл./р-н Луговое, ул. 2-я Железнодорожная, 35",МЕ006660,10/5/2015,действующая продленная,алк> 15%,"магазин ""Ольга"" г. Южно-Сахалинск пл. р-он Луговое, ул. 2-я Железнодорожная, 35"
619,89-10алк/Ох,11/25/2010,"ООО ""Фиеста""","Охинский р-н, г. Оха, ул. Блюхера, 2",МЕ005454,11/24/2015,действующая,алк> 15%,"ресторан ""Фиеста"" г. Оха ул. Советская, 21; кафе ""В гостях у Немо"" г. Оха ул. Советская, 21; кафе ""Империя"" г. Оха ул. Комсомольская, 12"
620,118-11алк/ЮС,12/1/2011,"ООО ""Чао-Какао""","г. Южно-Сахалинск, ул. Комсомольская, 135 / А",МЕ006717,11/30/2015,действующая,алк> 15%,"бар ""Чао-Какао"" г. Южно-Сахалинск ул. Комсомольская, 135"
621,141-11алк/ЮС,12/15/2011,"ООО ""Крокус""","г. Южно-Сахалинск, ул. Укринская, 58, лит. 3",МЕ006743,12/14/2015,действующая,алк> 15%,"магазин ""Купец"" г. Южно-Сахалинск ул. Украинская, 58, лит. 3"
622,313-05алк/АС,3/31/2011,"ООО ""Гарант""","Александровский р-н, г. Александровск-Сахалинский, ул. Советская, 23",МЕ005559,12/20/2015,действующая переоформленная,алк> 15%,"магазин № 2 г. Александровск-Сахалинский ул. Школьная - Порта, 4; магазин ""Волна"" г. Александровск-Сахалинский ул. Чехова, 16; магазин № 5 г. Александровск-Сахалинский ул. Дзержинского, 32; магазин № 46 г. Александровск-Сахалинский ул. Советская, 23; магазин ""Кулинария"" г. Александровск-Сахалинский ул. Дзержинского, 11/В; магазин № 31 г. Александровск-Сахалинский ул. Краснофлотская, 27; магазин     с. Хоэ пер. Комсомольский, 1"
623,320-05алк/Кор,8/28/2009,"ООО ""Соната""","Корсаковский р-н, с. Охотское, ул. Набережная, 11",МЕ005117,12/21/2015,действующая продленная,алк> 15%,"магазин ""Остров"" с. Охотское ул. Набережная, 11; магазин ""Айсберг"" с. Охотское ул. Центральная; магазин ""Чайка"" с. Синегорск ул.Коммунистическая,43"
624,108-10алкСм,12/24/2010,"ООО ""Городок""","Смирныховский р-н, п.г.т. Смирных, ул. 8 Марта, 31, пом. 3",МЕ005494,12/23/2015,действующая,алк> 15%,"магазин ""Городок"" п.г.т. Смирных ул. Центральная, 29; магазин ""Вираж - 2"" п.г.т. Смирных ул. Чехова, 2"
625,332-05алк/Угл,9/21/2012,"ООО ""Коммерсант""","Углегорский р-н, г. Углегорск, ул. Победы, 163/А",МЕ007203,12/23/2015,действующая переоформленная,алк> 15%,"магазин ""Черёмушки"" г. Углегорск ул. Войтинского, 1/А; магазин ""Фортуна"" г. Углегорск ул. Победы, 163/А; магазин ""Пятёрочка"" г. Углегорск ул. Красноармейская, 3; магазин ""Абсолют"" г. Углегорск ул. Победы 180/А"
626,335-05алк/ЮС,12/24/2010,"ООО ""Пятачок""","г. Южно-Сахалинск, Спортивный проезд, 17б",МЕ005492,12/26/2015,действующая продленная,алк> 15%,"магазин ""Пятачок"" г. Южно-Сахалинск Спортивный проезд, 17/Б"
627,336-05алк/Ан,12/26/2005,"ООО ""Вертикаль""","Анивский р-н, г. Анива, ул. Калинина, 3",Д633729,12/26/2015,действующая продленная,алк>13%,"магазин ""Сакура"" г. Анива ул. Калинина, 3"
628,352-05алк/Хол,9/28/2007,"ООО ""Элегант""","Холмский р-н, г. Холмск, ул. Героев, 3",МЕ004351,12/26/2015,действующая продленная,алк> 15%,"магазин ""Элегант"" г. Холмск ул. Героев, 3; магазин ""Элегант - 2"" г. Холмск ул. Победы, 2; магазин ""Элегант - 3"" г. Холмск ул. Молодёжная, 6"
629,360-05алк/ЮС,12/24/2010,"ООО ""Пятёрочка""","г. Южно-Сахалинск, ул. Чехова, 72",МЕ005490,12/29/2015,действующая продленная,алк>13%,"магазин ""Пятёрочка"" г. Южно-Сахалинск ул. Чехова, 72"
630,178-07алк/ЮС,12/29/2007,"ООО ""Аленс и Л""","г. Южно-Сахалинск, ул.Есенина, 7/1",МЕ004454,12/29/2015,действующая продленная,алк> 15%,"магазин ""Светлячок"" г. Южно-Сахалинск ул.Есенина,7/1"
631,365-05алк/ЮС,12/30/2005,"ООО ""Сунэ""","г. Южно-Сахалинск, ул. Вокзальная, 68",Д633770,12/30/2015,действующая продленная,алк>13%,"магазин ""Рассвет"" г. Южно-Сахалинск ул. Вокзальная, 68; магазин ""Кристина"" г. Южно-Сахалинск Коммунистический пр. 19"
632,283-06алк/ЮС,3/22/2010,"ООО ""Бермудский  Треугольник""","г. Южно-Сахалинск, ул. Сентябрьская, 16",МЕ005330,12/31/2015,действующая продленная,алк> 15%,"кафе ""Бермудский Треугольник"" г. Южно-Сахалинск ул. Сахалинская, 131; кафе ""Опера"" г. Южно-Сахалинск Коммунистический пр. 21"
633,01-06алк/Тым,2/3/2012,"ООО ""Кристалл""","Тымовский р-н, п.г.т. Тымовское, ул. Кировская, 52",МЕ006800,1/12/2016,действующая переоформленная,алк> 15%,"магазин ""Тамара  №4"" п.г.т. Тымовское ул. Кировская, 117; магазин ""Тамара  №5"" с.  Кировское ул. Центральная, 67; магазин ""Тамара  №6"" п.г.т. Тымовское ул. Криворучко, 36; магазин ""Тамара  №8"" п.г.т. Тымовское ул. Красноармейская, 44а; магазин ""Тамара  №12"" п.г.т. Тымовское ул. Красноармейская, 38а; магазин ""Тамара  №13"" с. Воскресеновка ул. Юбилейная, 3; магазин ""Тамара  №1"" п.г.т. Тымовское ул. Кировская,74"
634,20-06алк/ЮС,1/26/2006,"ООО ""Фиант""","г. Южно-Сахалинск, пр. Победы, 88",Д633798,1/26/2016,действующая продленная,алк> 15%,"магазин ""Фиант"" г. Южно-Сахалинск пр. Победы, 88"
635,28-06алк/ЮС,12/6/2010,"ООО ""Сахалинская Торговая Компания""","г. Южно-Сахалинск, ул. Украинская, 123",МЕ005467,1/31/2016,действующая продленная,алк> 15%,"магазин ""Островной"" г. Южно-Сахалинск ул. Украинская, 123; магазин ""Островной - 2"" г. Южно-Сахалинск ул. Емельянова, 19б; магазин ""Островной - 3"" г. Южно-Сахалинск ул. Емельянова, 34"
636,32-06алк/ЮС,2/2/2006,"ООО ""Хе и К""","г. Южно-Сахалинск, пл. р/н Новоалександровск, ул. Советская, 8б",Д633813,2/2/2016,действующая продленная,алк> 15%,"магазин ""Орфей"" г. Южно-Сахалинск пл. р/н Новоалександровск, ул. Науки, 10; магазин ""Орион"" г. Южно-Сахалинск пл. р/н Новоалександровск, ул. Советская, 8б"
637,18-11алк/ЮС,3/3/2011,"ООО ""РАДУЖНЫЙ""","г. Южно-Сахалинск, ул. Пролетарская, 8",МЕ005547,3/2/2016,действующая,алк> 15%,"бар ""Радужный"" г. Южно-Сахалинск ул. Пролетарская, 8"
638,19-08алк/Тым,3/6/2008,"ООО ""Людмила""","Тымовский р-н, п.г.т. Тымовское, пер. Деповской,11/3",МЕ004482,3/6/2016,действующая продленная,алк> 15%,"магазин ""Людмила"" п.г.т. Тымовское ул.Зелёная, 16"
639,71-06алк/Хол,6/8/2012,"ООО ""ОКЕАН""","Холмский р-н, г. Холмск, ул. Советская, 136",МЕ006996,3/14/2016,действующая переоформленная,алк> 15%,"магазин ""Океан"" г. Холмск ул. Советская, 136; магазин ""Луч"" г. Холмск ул. Матросова, 6"
641,29-08алк/ЮС,4/3/2008,"ООО ""Весна""","г. Южно-Сахалинск, пл.р/н Новоалександровск, ул.Советская, 137",МЕ004499,4/3/2016,действующая продленная,алк> 15%,"магазин ""Весна"" г. Южно-Сахалинск пл.р/н Новоалександровск, ул.Советская,137"
642,35-11алк/ЮС,4/14/2011,"ООО ""Семёрочка-2011""","г. Южно-Сахалинск, ул. Курильская, 8",МЕ005570,4/13/2016,действующая,алк> 15%,"магазин ""Семёрочка"" г. Южно-Сахалинск ул. Курильская, 8"
643,36-08алк/ЮС,4/17/2008,"ООО ""Союз""","г. Южно-Сахалинск, ул.Украинская, 14",МЕ004505,4/17/2016,действующая продленная,алк> 15%,"магазин ""Продукты"" г. Южно-Сахалинск ул.Украинская, 14; магазин ""Заходи"" г. Южно-Сахалинск ул.Украинская, 107а"
644,41-08алк/ЮС,4/25/2008,"ООО ""МИФ""","г. Южно-Сахалинск, ул.Хабаровская,58/76",МЕ004512,4/25/2016,действующая продленная,алк> 15%,"магазин ""Миленькая Фея"" г. Южно-Сахалинск ул.Хабаровская,58"
645,46-08алк/ЮС,4/25/2008,"ООО ""Юта""","г. Южно-Сахалинск, ул.Сахалинская,15а",МЕ004520,4/25/2016,действующая продленная,алк> 15%,"магазин ""Юта"" г. Южно-Сахалинск ул.Сахалинская,15а; магазин ""Елена"" г. Южно-Сахалинск ул.Комсомольская,128а"
646,143-06алк/Кор,4/27/2006,"ООО ""Лотос""","Корсаковский р-н, г. Корсаков, ул. Портовая, 10",Д633947,4/27/2016,действующая продленная,алк>13%,"кафе ""Лотос"" г. Корсаков ул. Портовая, 10"
647,160-06алк/ЮС,5/6/2006,"ООО ""Релакс Клуб""","г. Южно-Сахалинск, Коммунистический проспект, 21",Д633966,5/6/2016,действующая продленная,алк>13%,"бар ""Релакс клуб"" г. Южно-Сахалинск Коммунистический проспект, 21"
648,43-11алк/Нев,5/19/2011,"ООО ""Хозяюшка""","Невельский р-н, с.Горнозаводск, ул. Шахтовая, 14",МЕ006599,5/18/2016,действующая,алк> 15%,"магазин ""Хозяюшка"" Вахрушев ул. Шахтовая, 14"
649,54-08алк/АС,5/19/2011,"ООО ""Кристалл""","Александровский р-н, г. Александровск-Сахалинский, ул.Рабочая,1",МЕ006597,5/19/2016,действующая переоформленная,алк> 15%,"магазин ""Селена-2"" г. Александровск-Сахалинский ул. Рабочая, 1; магазин ""Селена-1"" г. Александровск-Сахалинский ул. Кондрашина, 5, пом. 2,4,5,6"
650,188-06алк/ЮС,8/24/2007,"ООО ""Анастасия""","г. Южно-Сахалинск, ул. Поповича, 45/17/19",МЕ004330,6/6/2016,действующая продленная,алк> 15%,"магазин ""Анастасия"" г. Южно-Сахалинск ул. Поповича, 45; магазин ""Колизей"" г. Южно-Сахалинск ул.Ленина,236б"
651,180-12алк/Мак,6/11/2012,"ООО ""Стрелков""","Макаровский р-н, с.Восточное, ул. Привокзальная, 10, кв. 12",МЕ006997,6/10/2016,действующая,алк> 15%,"кафе ""Жемчужина"" с.Восточное ул. Набережная, 57; магазин ""Заря"" с.Восточное ул. Набережная, 4/А; магазин ""Анастасия"" с. Поречье ул. Школьная, 6; магазин ""Амбарчик"" с. Пугачево ул. Центральная, 9"
652,199-12алк/ЮС,6/24/2012,"ООО ""Клара и К""","г. Южно-Сахалинск, пл. р-он Хомутово, ул. 2-ая Центральная, 39/Б",МЕ007015,6/23/2016,действующая,алк> 15%,"магазин ""Белояръ"" г. Южно-Сахалинск пл. р-он  Хомутово, ул. 2-я Центральная, 39/Б; кафе ""Белояръ"" г. Южно-Сахалинск пл. р-он  Хомутово, ул. 2-я Центральная, 39/Б"
653,67-08алк/ЮС,7/1/2010,"ООО ""Ням""","г. Южно-Сахалинск, пр.Победы,51а",МЕ005396,6/25/2016,действующая продленная,алк>15% алк <15%,"магазин ""Ням-Ням"" г. Южно-Сахалинск пр. Победы, 51/А; магазин ""Ням"" г. Южно-Сахалинск ул. Чехова, 7"
654,292-06алк/ЮС,6/29/2006,"ООО ""АгроСахалин""","г. Южно-Сахалинск, пл.р/н.Новоалександровск,ул.Советская,104",МЕ003698,6/29/2016,действующая продленная,алк> 15%,"магазин ""Север"" г. Южно-Сахалинск пл. р/н. Новоалександровск, ул. Советская, д. 104"
655,54-11алк/ЮС,7/7/2011,"ООО ""Роман""","г. Южно-Сахалинск, ул. Амурская, 4/Б",МЕ006600,7/6/2016,действующая,алк> 15%,"магазин ""Роман"" г. Южно-Сахалинск ул. Амурская, 4/Б"
656,281-12алк/ЮС,7/27/2012,"ООО ""Бутлегер""","г. Южно-Сахалинск, ул. Ленина, 553",МЕ007107,7/26/2016,действующая,алк> 15%,"магазин ""Подорожник"" г. Южно-Сахалинск ул. Ленина, 553"
657,341-12алк/ЮС,9/7/2012,"ООО ""Ольга""","г. Южно-Сахалинск, ул. Железнодорожная, 104/А",МЕ007174,9/6/2016,действующая,алк> 15%,"магазин ""Сюрприз"" г. Южно-Сахалинск ул. Железнодорожная, 104/А"
658,74-11алк/ЮС,9/22/2011,"ООО ""Домашняя кухня""","г. Южно-Сахалинск, ул. Хабаровская, 60",МЕ006650,9/21/2016,действующая,алк> 15%,"магазин ""Минимаркет Первый семейный"" г. Южно-Сахалинск ул. Сахалинская, 45"
659,76-11алк/ЮС,12/15/2011,"ООО ""Гагарин""","г. Южно-Сахалинск, ул. Комсомольская, 133",МЕ006745,9/28/2016,действующая переоформленная,алк> 15%,"ресторан ""Гагарин"" г. Южно-Сахалинск ул. Комсомольская, 133; кафе ""Гагарин"" г. Южно-Сахалинск ул. Комсомольская, 133; бар   г. Южно-Сахалинск ул. Комсомольская, 133"
660,85-11алк/ЮС,10/13/2011,"ООО ""Восьмёрочка""","г. Южно-Сахалинск, ул. Железнодорожная, 85",МЕ006670,10/12/2016,действующая,алк> 15%,"магазин ""Восьмёрочка"" г. Южно-Сахалинск ул. Железнодорожная, 85"
661,99-11алк/Ан,11/8/2011,"ООО ""Ольга""  ","Анивский р-н, г. Анива, ул. Кирова, 8/А   ",МЕ006695,11/7/2016,действующая,алк> 15%,"магазин ""Ольга"" г. Анива ул. Кирова, 8/А"
662,105-11алк/Том,11/17/2011,"ООО ""ЮК""","Томаринский р-н, г. Томари, с.Пензенское, ул.Советская,17",МЕ006703,11/16/2016,действующая,алк> 15%,"магазин ""Катюша"" с. Пензенское ул. Советская, 17/8"
663,130-11алк/ЮС,12/8/2011,"ООО ""Твинс""","г. Южно-Сахалинск, ул. Пуркаева, 53/А",МЕ006730,12/7/2016,действующая,алк> 15%,"кафе ""Плаза"" г. Южно-Сахалинск ул. Пуркаева, 53/А"
664,126-11алк/АС,12/8/2011,"ООО ""Узунов и К""","Александровский р-н, г. Александровск-Сахалинский, ул. Дзержинского, 14",МЕ006729,12/7/2016,действующая,алк> 15%,"магазин ""Фермер-1"" г. Александровск-Сахалинский ул. Дзержинского, 14; магазин ""Фермер-2"" г. Александровск-Сахалинский ул. Советская, 38/А"
665,122-11алк/Ног,12/8/2011,"ООО ""Вера""","Ногликский р-н, с. Вал, ул. Строительная",МЕ006722,12/7/2016,действующая,алк> 15%,"магазин ""Вероника"" с. Вал ул. Школьная, 4/А"
666,134-11алк/ЮС,12/26/2011,"ООО ""Эйч Эс Трейд""","г. Южно-Сахалинск, ул.Солнечного света,1",МЕ006766,12/14/2016,действующая переоформленная,алк> 15%,"магазин ""На Земляничных холмах"" г. Южно-Сахалинск ул. Лунного света, 26; магазин ""Синегорье"" г. Южно-Сахалинск ул. Автомобильная, 16 - 2"
667,140-11алк/Пор,12/15/2011,"ООО ""Азалия плюс""","Поронайский р-н, г. Поронайск, ул. Октябрьская, 51 / 41",МЕ006742,12/14/2016,действующая,алк> 15%,"магазин ""Азалия"" г. Поронайск ул. Октябрьская, 110"
668,143-11алк/ЮС,12/22/2011,"ООО ""ВИДО""","г. Южно-Сахалинск, пр. Мира, 247",МЕ006746,12/21/2016,действующая,алк> 15%,"магазин ""Видо"" г. Южно-Сахалинск ул. Мира, 247"
669,151-11алк/ЮС,12/22/2011,"ООО ""Горизонт 2011""","г. Южно-Сахалинск, ул. Карла Маркса, 20",МЕ006754,12/21/2016,действующая,алк> 15%,"кафе ""Шоколадница"" г. Южно-Сахалинск ул. Карла Маркса, 20"
670,162-11алк/ЮС,12/28/2011,"ООО ""Бир Хоф""","г. Южно-Сахалинск, пр-кт Мира, 20",МЕ006769,12/27/2016,действующая,алк> 15%,"бар ""Бир  Хоф"" г. Южно-Сахалинск пр. Мира, 20"
671,166-11алк/ЮС,12/31/2011,"ООО МБЦ ""Лада""","г. Южно-Сахалинск, ул. Комсомольская, 154",МЕ006773,12/30/2016,действующая,алк> 15%,"ресторан ""Лада"" г. Южно-Сахалинск ул. Комсомольская, 154; бар ""Ноа"" г. Южно-Сахалинск ул. Комсомольская, 154; бар    г. Южно-Сахалинск ул. Комсомольская, 154; магазин    г. Южно-Сахалинск ул. Комсомольская, 154"
672,05-12алк/Пор,1/17/2012,"ООО ""Амида""","Поронайский р-н, г. Поронайск, ул. Гагарина, 38",МЕ006784,1/16/2017,действующая,алк> 15%,"магазин ""Новинка"" г. Поронайск ул. Октябрьская, 82, пом. 17; магазин ""Первый"" г. Поронайск ул. Октябрьская, 53; магазин ""Смешанные товары"" г. Поронайск ул. Западная, 4; магазин ""Кофейный бар"" г. Поронайск ул. Гагарина, 38; магазин ""Мир-2"" г. Поронайск ул. Фрунзе, 7, пом. 2"
673,11-12алк/ЮС,1/27/2012,"ООО ""Ищенко""","г. Южно-Сахалинск, ул. Мира, 286/А, пом. 75",МЕ006796,1/26/2017,действующая,алк> 15%,"магазин ""Для Вас"" г. Южно-Сахалинск ул. Поповича, 40, пом. 41"
674,35-12алк/Ан,2/22/2012,"ООО ""Волна""","Анивский р-н, г. Анива, ул.Дъяконова,22",МЕ006826,2/21/2017,действующая,алк> 15%,"магазин ""Калиф"" г. Анива ул. Дьякронова, 22; магазин ""Эдем"" г. Анива ул. Комсомольская, 18/А"
675,40-12алк/ЮС,2/29/2012,"ООО ""Бабье лето""","г. Южно-Сахалинск, ул.Пуркаева,106/1",МЕ006831,2/28/2017,действующая,алк> 15%,"кафе ""Давным давно"" г. Южно-Сахалинск ул. Пуркаева, 106/1"
676,45-12алк/Угл,4/27/2012,"ООО ""Весна""","Углегорский р-н, г. Шахтерск, ул.Мира,18",МЕ006909,3/1/2017,действующая переоформленная,алк> 15%,"магазин ""Весна"" г. Шахтерск ул. Мира, 18; магазин ""Продукты"" г. Шахтерск ул. Мира, 29, пом. 28"
677,41-12алк/Угл,3/2/2012,"ООО ""Вираж""","Углегорский р-н, с. Краснополье, ул. Юбилейная, 24",МЕ006832,3/1/2017,действующая,алк> 15%,"магазин ""Вираж"" с. Краснополье ул. Юбилейная, 24, пом. 1"
678,52-12алк/Кор,3/14/2012,"ООО ""Сэван-Иллэван""","Корсаковский р-н, г. Корсаков, ул. Корсаковская, 40",МЕ006846,3/13/2017,действующая,алк> 15%,"магазин ""Сэван-Иллэван"" г.Корсаков ул. Корсаковская, 40, пом. 1-2"
679,55-12алк/Тым,3/20/2012,"ООО ""Рос-Контакт""","г. Южно-Сахалинск, ул. Украинская, 54/А",МЕ006849,3/19/2017,действующая,алк> 15%,"магазин ""Орлан"" г. Южно-Сахалинск ул. Украинская, 54/А"
680,57-12алк/ЮС,3/20/2012,"ООО ""Странник плюс""","г. Южно-Сахалинск, пл. р-он Новоалександровск, пер. Железнодорожный, 20/Б",МЕ006851,3/19/2017,действующая,алк> 15%,"магазин ""Странник"" г. Южно-Сахалинск пл. р-он Луговое, ул. Дружбы, 56; магазин ""Странник"" г. Южно-Сахалинск пл. р-он Новоалександровск, пер. Железнодорожный, 20/Б; магазин ""Алина"" г. Южно-Сахалинск пл. р-он Новоалександровск, 2-ая Красносельская, 14/Б"
681,75-12алк/ЮС,4/6/2012,"ООО ""Мелодия""","г. Южно-Сахалинск, ул. Ленина, 156",МЕ006875,4/5/2017,действующая,алк> 15%,"бар ""Браво"" г. Южно-Сахалинск ул. Ленина, 156; бар дискотеки г. Южно-Сахалинск ул. Ленина, 156; бар Vip зала г. Южно-Сахалинск ул. Ленина, 156"
682,87-12алк/СК,4/13/2012,"ООО ""Мурад""","Северо-Курильский р-н, г. Северо-Курильск, ул. Сахалинская, 34",МЕ006887,4/12/2017,действующая,алк> 15%,"магазин ""Янтарь"" г. Северо-Курильск ул. Сахалинская, 51; магазин ""Руслан"" г. Северо-Курильск ул. Сахалинская, 63; магазин ""Гидротехник"" г. Северо-Курильск ул. Шутова, 34/Б"
