РЕЕСТР,,,,,,,,,
"действующих лицензий на розничную продажу алкогольной продукции,",,,,,,,,,
"выданных министерством сельского хозяйства, торговли и продовольствия Сахалинской области на  01.10.2012 года ",,,,,,,,,
"№
п/п","Номер 
регистрации","Дата 
выдачи","Название 
организации",Место нахождения организации,"Номер 
лицензии","Срок 
действия",Статус,Условие,Объекты
64,447-09алк/ЮС,12/10/2009,"ООО ""Мега Стайл""","г. Южно-Сахалинск, ул.Есенина, 13",МЕ005222,12/10/2012,действующая,алк> 15%,"ресторан ""Мегаполюс"" г. Южно-Сахалинск ул.Есенина,13"
65,442-09алк/ЮС,12/10/2009,"ООО ""Сегал""","г. Южно-Сахалинск, пр.Мира,280в",МЕ005227,12/10/2012,действующая,алк> 15%,"магазин ""Рай"" г. Южно-Сахалинск ул.МИра,280в"
66,443-09алк/ЮС,12/10/2009,"ООО ""Эдельвейс-Д""","г. Южно-Сахалинск, ул.Ленина, 266б/15",МЕ005226,12/10/2012,действующая,алк> 15%,"магазин ""Пищекомбинат Сахалинский"" г. Южно-Сахалинск ул.Тихая, 104; кафе ""Эдельвейс"" г. Южно-Сахалинск ул.Ленина,266б/15"
67,445-09алк/ЮК,12/10/2009,"ООО ""Эдельвейс""","Южно-Курильский р-н, п.г.т. Южно-Курильск, ул.Океанская,",МЕ005224,12/10/2012,действующая,алк> 15%,"магазин ""Фортуна"" п.г.т. Южно-Курильск ул.Океанская"
68,446-09алк/Ан,12/10/2009,"ООО ""Элат""","Анивский р-н, с. Троицкое, ул.Центральная, 5а",МЕ005223,12/10/2012,действующая,алк> 15%,"магазин ""Славный"" с. Троицкое ул.Центральная, 5а"
69,444-09алк/Ног,12/10/2009,"ООО ""Славутич""","Ногликский р-н, п.г.т.  Ноглики, ул.Строительная, 19б",МЕ005225,12/10/2012,действующая,алк> 15%,"магазин ""Славутич"" п.г.т.  Ноглики ул.Строительная,19б"
70,133-11алк/11,12/28/2011,"ООО ""Центральное""","Невельский р-н, г. Невельск, ул. Советская, 1/А",МЕ006781,12/14/2012,действующая переоформленная,алк> 15%,"магазин ""Стимул"" г. Невельск ул. Советская, 1/А; магазин ""Центральный"" г. Невельск ул. Победы, 15; магазин ""Центральный - 1"" г. Невельск ул. Советская, 30; магазин ""Рассвет"" г. Невельск ул. Советская, 18/В"
71,137-11алк/ЮС,12/15/2011,"ООО ""КОЛИБРИ""","г. Южно-Сахалинск, пл. р/н Луговое, ул. Железнодорожная, 2/43",МЕ006739,12/14/2012,действующая,алк> 15%,"магазин ""Колибри"" г. Южно-Сахалинск пл. р-н Луговое, ул. 2-я Железнодорожная, 43"
72,135-11алк/Нев,12/15/2011,"ООО ""Парус""","Невельский р-н, г. Невельск, г. Невельск, ул. Казакевича, 29",МЕ006737,12/14/2012,действующая,алк> 15%,"магазин ""Магнит"" г. Невельск ул. Казакевича, 29"
73,138-11алк/Дол,12/15/2011,"ООО ""Эталон""","Долинский р-н, г. Долинск, ул. Макарова, 62",МЕ006740,12/14/2012,действующая,алк> 15%,"магазин ""Эталон"" г. Долинск ул. Горького, 9"
74,139-11алк/Кор,12/15/2011,"ООО ""Семейный очаг""","Корсаковский р-н, г.Корсаков, ул. Корсаковская, 4",МЕ006741,12/14/2012,действующая,алк> 15%,"магазин ""Мир желаний"" г. Корсаков ул. Советская, 18, пом. 13, 14"
75,454-09алк/Хол,5/19/2011,"ООО ""Лотос""","Холмский р-н, с. Яблочное, ул, Центральная, 88/В",МЕ006595,12/17/2012,действующая переоформленная,алк> 15%,"магазин ""Лотос"" г. Южно-Сахалинск пр. Мира, 163 / А; магазин ""Лотос-1"" с. Яблочное ул. Центральная, 116; магазин ""Лотос-2"" с. Яблочное ул. Центральная, 11"
76,455-09алк/ЮС,2/18/2010,"ООО ""Корсар""","г. Южно-Сахалинск, ул.Железнодорожная, 20б",МЕ005311,12/17/2012,действующая переоформленная,алк> 15%,"магазин ""Елань"" г. Южно-Сахалинск ул.Авиационная, 74; магазин ""Эдем"" г. Южно-Сахалинск пр.Мира, 45; ресторан ""Сайгон"" г. Южно-Сахалинск ул.К.Маркса, 29а"
