                  Государственный реестр выданных лицензий  за май 2012 г. по  Хабаровскому краю,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
№ пп,Организация - заявитель ,,,,, Объект,Место осуществления деятельности                                           ,Общая площадь,Арендуемая площадь,"Площадь торг зала, кол-во посадочных мест ",Время работы ,Примечание,Номер и срок действия лицензии,
,ОПФ,нименование организации,юридический адрес,"ИНН, КПП, ОГРН","Вид деятельности, заявленный срок в годах",,,,,,,,,
г. Хабаровск,,,,,,,,,,,,,,
45,ООО,"""Верба""","п.г.т.Ванино, линия 4-я д.3, тел. (42-137) 70-760",2709011341/270901001/1062709002641,розничная продажа АП 2 года,магазин,"п.г.т.Ванино, линия 4-я д.3",50,50,8,9-21,продление,ХБ 001101 № 270 15.05.2012 - 15.05.2014,
46,ООО,"""Ждан""","п.г.т.Октябрьский, ул.Юбилейная д.4, 7, тел. (42-137) 2-41-1",2709011503/270901001/1062709008207,розничная продажа АП 1 год,магазин,"п.г.т.Октябрьский, ул.10 Пятилетки д.3",25,25,13,7.30-23,продление,ХБ 001105 № 306 15.05.2012 - 15.05.2013,
Вяземский р-н,,,,,,,,,,,,,,
47,ООО,"""Оазис""","г.Вяземский, пер.Хасанский д.12, 1, тел. 8-909-806-42-91",2711007984/271101001/1102713001412,розничная продажа АП 1 год,павильон,"с.Красицкое, ул.Центральная д.17б",36,36,12,8-22,продление,ХБ 001078 № 2352 15.05.2012 - 15.05.2013,
48,ООО,"""Прогресс""","г.Вяземский, ул.Л.Чайкиной д.7, тел. 8 (42-153) 3-17-83",2711001421/271101001/1112713000784,розничная продажа АП 1 год,магазин,"г.Вяземский, ул.Стоцкого д.42",70.9,70.9,51.2,8-23,впервые,ХБ 001067 № 2567 15.05.2012 - 15.05.2013,
49,ООО,"""Максим""","с.Аван, ул.Шоссейная д.4а, тел. 8-962-151-44-24",2711000989/271101001/1112713000070,розничная продажа АП 1 год,магазин,"с.Аван, ул.Шоссейная д.4а",37.1,37.1,27.9,8-23,продление,ХБ 001099 № 2348 15.05.2012 - 15.05.2013,
Комсомольскийр-н,,,,,,,,,,,,,,
50,ООО," ""Елена""","с.Галичный, ул.Школьная д.13а, тел. 8-924-229-78-00",2712006937/271201001/1062712003001,розничная продажа АП 2 года,магазин,"с.Галичный, ул.Школьная д.13а",250,250,43,7-23,продление,ХБ 001056 № 425 15.05.2012 - 15.05.2014,
51,ООО,"""Интеркрафт""","г.Комсомольск-на-Амуре, ул.Дикопольцева д.37, 54, ",2703033814/270301001/1062703000700,розничная продажа АП 5 лет,закусочная,д.п.Транспорт,69.9,,16,круглосуточно,продление,ХБ 001050 № 222 15.05.2012 - 15.05.2017,
,,,,,,магазин,"с.Хурба, садоводчество ""Транспорт""",45.5,,31.7,08-23,,,
