"Выписка из реестра  выданных лицензий на розничную продажу алкогольной продукции, 
лицензий, действие которых приостановлено, и и аннулированнных лицензий 
на территории Петрозаводского городского округа",,,,,,,,,
,Лицензирующий орган:  с 01.05.10 г,,,,,,,,
№,,Дата ,,Реквизиты лицензии,,Срок действия лицензии,,Продление лицензии,Разграничение реализации по % спирта
," ОФПР, название, место нахождения, телефон, 
ФИО руководителя","приема
 док-тов",выдачи лицензии,серия ,"рег.
номер ",начало ,конец,на срок по ,
1,5,22,23,24,25,26,27,28,36
122,"ООО,Сретенка,Петрозаводск,Труда,4,71-88-56,",14/05/03,26/05/03,930,,26/05/03,26/05/06,26/05/11,вся АП
123,"ООО,Сулажгорское,Петрозаводск,Жуковского,8,56-75-85",28/02/07,12/03/07,Б393174,19,12/03/07,12/03/12,,вся АП
124,"ООО,Славянская трапеза,Петрозаводск,Шотмана,32,78-99-99,",13/09/07,13/09/07,Б393355,69,14/09/07,14/09/12,,вся АП
125,"ООО,Санаторий""Дворцы"",Петрозаводск,Титова,11,Шереметьев О.В.",06/03/06,21/03/06,903,,21/03/06,21/03/11,,вся АП
126,"ООО,Тайка,Петрозаводск,Гвардейская,27,74-52-29,",29/12/06,12/01/07,Б393168,1,12/01/07,12/01/12,,вся АП
127,"ООО,Трансавто,Петрозаводск,пр.А.Невского,67-3,76-81-81",23/07/07,06/08/07,Б393079,62,06/08/07,06/08/12,,вся АП
128,"ООО,Терция,Петрозаводск,Судостроительная,12,67-00-88,",18/02/03,19/03/08,Б393156,104,19/03/08,19/03/13,,вся АП
129,"ООО,Трэйдинг,Петрозаводск,пер.Хвойный,5,72-28-29,",14/04/08,18/04/08,Б393171,108,18/04/08,18/04/13,,вся АП
130,"ООО,Звезда плюс,Петрозаводск,Первомайский пр,36,",21/09/06,04/10/06,1005,,04/10/06,04/10/11,,вся АП
131,"ООО,ТД Ленторг,Лодейное поле,Володарского,48,офис Петрозаводск,Нойбранденбургская,5/8,",26/03/04,21/04/04,Б393356,29,04/05/04,04/05/07,24/04/12,"до 15 % -в городах, общая S < 50 кв.м"
132,"ООО,ТД Омега,Петрозаводск,Шуйское шоссе,16,",22/10/04,01/11/04,Б393111,76,01/11/04,01/11/07,01/11/12,вся АП
133,"ООО,ТД Славмо,Петрозаводск,Антонова,1,",11/01/05,17/01/05,Б393140,93,17/01/05,17/01/08,17/01/13,вся АП
134,"ООО,ТД Эмилия,Петрозаводск,Лисицыной,23,",09/12/03,22/12/03,Б393006,5,22/12/03,22/12/06,23/12/11,"до 15 % - вокз., аэроп.,объекты воен.назн., киоски, ларьки и т.д."
135,"ООО,Торговый дом Интерторг,Санкт-Петербург,Ушинского,35,кор.1,литА,ком.9,",11/08/09,14/08/09,Б393363,186,14/08/09,14/08/14,,"вся АП, более 15 % - с 8 до 23"
136,"ООО,Торговый Дом Северный путник,Петрозаводск,пр.К.Маркса,22,",29/10/09,10/11/09,Б393353,189,10/11/09,10/11/14,,вся АП
137,"ООО,Тема,Петрозаводск,Первомайский пр,44,",11/06/03,18/06/03,934,,19/06/03,19/06/06,19/06/11,вся АП
138,"ООО,ТехноСтрой,Петрозаводск,Халтурина,13,",28/12/05,29/12/05,Б393276,155,29/12/05,29/12/08,29/12/13,вся АП
139,"ООО,ТК Петротранссервис,Петрозаводск,пл.Гагарина,2,",23/12/05,28/12/05,Б393284,159,01/01/06,31/12/08,31/12/13,"до 15 % - вокз., аэроп.,объекты воен.назн., киоски, ларьки и т.д."
140,"ООО,Товары для Вас,Петрозаводск,Кирова,10,",18/11/05,25/11/05,Б393263,99,25/11/05,18/02/08,18/02/13,вся АП
141,"ООО,ТД Благо,Петрозаводск,Державина,",28/12/06,23/01/07,393007,6,23/01/07,23/01/12,,вся АП
142,"ООО,Торговый холдинг Лотос,Петрозаводск,пр. Лесной,47.,719700",01/12/04,07/12/04,Б393115,80,07/12/04,21/11/07,21/11/12,вся АП
143,"ООО,фирмаТоргцентр,Петрозаводск,Пионеров,7,",01/12/06,06/12/06,1044,,06/12/06,06/12/11,,вся АП
144,"ООО,ТСК Зодиак,Петрозаводск,Лососинское шоссе,23/3-",30/12/03,31/12/03,Б393290,4,31/12/03,31/12/06,31/12/11,"до 15 % - вокз., аэроп.,объекты воен.назн., киоски, ларьки и т.д."
145,"ООО,Торг-Успех,Петрозаводск,Коммунистов,13а",21/11/06,30/11/06,Б393391,201,01/12/06,01/12/11,,"до 15 % - вокз., аэроп.,объекты воен.назн., киоски, ларьки и т.д."
146,"ООО,ТФ Водолей-2,Петрозаводск,Ровио,3,51-97-12,",20/01/04,28/01/04,Б393354,9,02/02/04,02/02/07,03/02/12,вся АП
147,"ООО,ТКМ,Петрозаводск,пр.Первомайский,2,70-19-97,",01/11/07,08/11/07,Б393113,78,08/11/07,08/11/12,,вся АП
148,"ООО,Торговая компания Карелторг,Петрозаводск,Коммунистов,40",31/10/08,07/11/08,Б393238,135,07/11/08,07/11/13,,вся АП
149,"ООО,Торнадос,Петрозаводск,Заводская,26,",09/12/08,12/12/08,Б393260,145,12/12/08,12/12/13,,вся АП
150,"ООО,Территория,Петрозаводск,наб.Варкауса,12,",02/03/09,06/03/09,Б393303,172,06/03/09,06/03/14,,вся АП
151,"ООО,ТДА,Петрозаводск,пр.Лесной,7-29,",07/12/09,14/12/09,Б393365,190,14/12/09,14/12/14,,вся АП
152,"ООО,Уникс,Петрозаводск,Грибоедова,14а-",25/10/07,01/11/07,Б393110,75,01/11/07,01/11/12,,вся АП
