"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""Нижнеилимский район""",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
,"""ЛУЧ""",выдано МИ ФНС России №11 по,с 16.06.2008 г.,"м/р ""Звездный"", д.8 ""а"", отдел в магазине ""Луч""",,,,,,
,ИНН 3834010795,Ирк. обл. и УО БАО от 6.12.05 г.,по 16.06.2013 г.,,,,,,,
57,ООО,Св-во сер..38 №002472493,38 МЕ 006483,"п.Видим, ул.Трактовая,д.40, запкусочная;",,,,,Комитет экономического развития,
,"""Наш регион""",выдано МИ ФНС России №15 по,с 22.05.2012 г,"г.Железногорск-Илимский, 1 квартал, д.88, отдел в ",,,,,администрации города Братска,
,ИНН 3805703964,Ирк. обл. УО БАО от 24.05.06 г.,по 07.12.2012 г.,"магазине ""Успех""",,,,,,
58,ООО,Св-во сер.№002790288,38 МЕ 006367,"г.Железногорск-Илимский,",,,,,Комитет потребительского,
,"""Развитие""",выдано МИ ФНС России №15 по,с 27.07.2011 г.,"ул.Янгеля, д.6, офис 20, отдел в магазине ""Алькор""",,,,,рынка товаров и услуг,
,ИНН 3805707800,Иркутской области от 11.03.2008 г.,по 04.09.2013 г.,,,,,,администрации г.Братска,
59,ООО,Св-во сер.38 №002830882,38 МЕ 006379,"п.Новая Игирма, ул.Кильдерова, д.41, отдел в",,,,,Комитет экономики и труда ,
,"""Вектор Север""",выдано МИ ФНС России №15 по,с 08.08.2011 г.,"магазине; г.Железногорск-Илимский, 7 квартал, д. ""а"",",,,,,администрации города Братска,
,ИНН 3805710496,Иркутской области от 16.09.2009 г.,по 27.05.2012 г.,"отдел в магазине ""Байкал""",,,,,,
60,ООО,Св-во сер.38 №002801097,А 178944,"п.Дальний, ",,,,,Администрация,
,"""ИЛИМ""",выдано МИ ФНС России №9 по,с 11.06.2008 г.,"ул.Саратовская, д.2, магазин ""Илим""",,,,,"МО ""Усть-Илимский район""",
,ИНН 3817031763,Ирк. обл. и УО БАО от 15.11.07 г.,по 11.06.2013 г.,,,,,,,
61,ООО,Св-во сер.38 №002455683,38 МЕ 007880,"п.Радищев,",,,,,Администрация Усть-Кутского,
