тип_реш,опф,наим,место_нах,ОГРН,ИНН,КПП,тип,район/город,нас_пункт,"ул,№дома",рег№Лиц,дата переоф,дата_выдачи,начало,конец,серия_лиц,номер_бл_лиц,серия_перечня,номер_бл_перечня,условие,статус,E-mail,Тел,Руководитель
о переоформлении,ООО,Славянка,"Забайкальский край, Красночикойский район, с. Красный Чикой, ул. Первомайская, 86",1027500600126,7509003624,750901001,отдел в магазине,Красночикойский район,с. Красный Чикой,"ул. Западная, 1",0498,09-Nov-11,04-Aug-11,10-Aug-11,10-Aug-12,75МЕ,002705,,,,прекращена,,"89144378811, 21509",
о продлении,ООО,Элина,"Забайкальский край, Каларский  район, п. Новая Чара,  ул. Магистральная, 1-б",1067524006550,7506004098,750601001,"отдел в магазине ""Элина""",Каларский район,п. Новая Чара,"ул. Магистральная, 1 Б",397,,30-Jun-11,10-Aug-11,10-Aug-12,,,,,,Прекращена,,,
о продлении,ООО,Аргус,"Забайкальский край, Красночикойский район, с. Красный Чикой, ул. Первомайская, 78",,7509004145,750901001,"магазин ""Зимушка""",Красночикойский район,с. Красный Чикой,"ул. Первомайская, 120",0477,,21-Jul-11,11-Aug-11,11-Aug-12,75МЕ,002422,ВВ,001293,,Прекращена,,,
о продлении,ООО,Встреча,"Забайкальский край, г. Чита, ул. Ярославского, 19, помещение 1",1057530022175,7530011071,753001001,отдел в торговом центре,г. Чита,г. Чита,"ул. Ярославского, 19, помещение 1",0528,,10-Aug-11,11-Aug-11,11-Aug-12,75МЕ,002473,,,,Прекращена,,,
о переоформлении,ОАО,"ОАО  ""Российские железные дороги"" филиал "" Читинская дистанция гражданских сооружений""","г. Москва, ул. Новая Басманная, 2 ( г. Чита, ул. Горбунова, 8)",1037739877295,7708503727,,"организация общественного питания (кафе-бар ""Диалог"")",г. Чита,г. Чита,"ул. Магистральная, 11-а",18,08-Apr-10,14-Aug-07,14-Aug-07,13-Aug-12,,,,,,Прекращена,,,
о выдаче,ООО,Саша,"Читинская область, Читинский район, пгт. Атамановка, ул. Матюгина, д.48",,7524014236,752401001,отдел в магазине,Читинский район,пгт. Атамановка,"ул. Матюгина, д. 48",822,,15-Aug-07,15-Aug-07,14-Aug-12,75МЕ,000946,В,000980,,Прекращена,,,
о выдаче,ООО,Тополёк,"Читинская область, Чернышевский район, с. Укурей, ул. Транспортная, д.9",,7525005139,752501001,"отдел в магазине ""Тополек""",Чернышевский район,с. Укурей,"ул. Транспортная, д. 9, кв.1",823,,15-Aug-07,15-Aug-07,14-Aug-12,75МЕ,000948,В,000983,,Прекращена,,,
о продлении,ООО,Волна,"Забайкальский край, Красночикойский район, с. Красный Чикой, ул. Комсомольская, д. 1-г, кв. 1",,7509004177,750901001,отдел в магазине,Красночикойский район,с. Красный Чикой,"ул. Октябрьская, 25",0447,,14-Jul-11,15-Aug-11,15-Aug-12,75МЕ,002396,ВВ,001265,,прекращена,,,
о переоформлении,ООО,Колос,"Забайкальский край, г. Чита, ул. Украинский бульвар, д 13",1067536044256,7536071197,753601001,павильон,г. Чита,г. Чита,"мкр.Северный, 60-в",0539,,28-Apr-12,16-Aug-11,16-Aug-12,75МЕ,002948,,,,прекращена,,89242751463,Клочкова Татьяна Александровна
о продлении,ООО,ВЕРА,"Забайкальский край, Читинский район, с. Преображенка, ул. Арахлейская, 40а",1067524006945,7524013578,752401001,отдел в магазине ,Читинский район,с. Преображенка,"ул. Арахлейская, 40а",0538,,12-Aug-11,16-Aug-11,16-Aug-12,75МЕ,002483,,,,Прекращена,,89145291934,
о продлении,ООО,Триад,"Забайкальский край, г. Чита, ул. Амурская, д. 7 а",1057536112171,7536064489,753601001,отдел в павильоне,г. Чита,г. Чита,"ул. Амурская, д. 7 а",0524,,10-Aug-11,16-Aug-11,16-Aug-12,75МЕ,002469,ВВ,001338,,Прекращена,,89145223345,
