"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО Киренский район",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
,ответственностью,"Киренский район,",от 22.12.10г.,,,,,,,
,торгово-,"д.Коммуна,",до 22.12.2011г.,,,,,,,
,производственное,"ул.Западная, 8",,,,,,,,
,предприятие,,,,,,,,,
,"""Триумф""",,,,,,,,,
,,,,,,,,,,
,ИНН 3818028241,,,,,,,,,
34,Общество с,"666701,",Г 117149,"маг. ""Погребок"",",,,,,,
,ограниченной,"Иркутская область,",№68,"г.Киренск, ул.Зайцева, 2.",,,,,,
,ответственностью,"Киренский район,",от 02.02.2012 г.,,,,,,,
,торгово-,"д.Коммуна,",до 02.02.2012 г.,,,,,,,
,производственное,"ул.Западная, 8",,,,,,,,
,предприятие,,,,,,,,,
,"""Триумф""",,,,,,,,,
,,,,,,,,,,
,ИНН 3818028241,,,,,,,,,
35,Общество с,"666701,",Г 117139,"маг. ""Коробейник"",",,,5/17/2012,,,
,ограниченной,"Иркутская область,",№59,"г.Киренск, ул.П.Осипенко, 18;",,,,,,
,ответственностью,"г.Киренск,",от 17.05.2011г.,"маг. ""Коробейник"",",,,,,,
,"""Скоробей""","ул.Гостелло, д.9,  ",до 17.05.2012г.,"г.Киренск, ул.Портовая, 16",,,,,,
,,кв. 3,,,,,,,,
,ИНН 3818027960,,,,,,,,,
36,Общество с,"666720,",Г 117140,"маг. ""Ивушка"", ",,,,,,
,ограниченной,"Иркутская область,",№60,"Киренский район,",,,,,,
,ответственностью,"Киренский район,",от 01.07.2011г.,"с.Петропавловское,",,,,,,
,"""Ивушка""","с.Петропавловское,",до 01.07.2012г.,"ул.Советская, 25а;",,,,,,
,,"ул.Советская, 25а",,"маг. ""Ивушка"", ",,,,,,
,ИНН 3818028227,,,"Киренский район,",,,,,,
,,,,"с.Петропавловское,",,,,,,
,,,,"пер.Конторский, 8",,,,,,
37,Общество с,"666705,",Г 117142,"маг. ""У Елены"",",,,,,,
