№ п/п,"Полное и сокращённое наименование, организационно-правовая форма юридического лица",ОГРН,ИНН,Местонахождение юридического лица,Места нахождения обособленных подразделений и условия осуществления деятельности,Срок действия лицензии,Регистрационный номер и дата выдачи лицензии,Сведения о продлении срока действия лицензии,Основание и дата переоформления лицензии,Основание и дата приостановления и возобновления действия лицензии,Основание и дата прекращения действия лицензии,Основание и дата аннулирования лицензии
,"(ООО ""Петушок"")",,,,закусочная,,"29.12.2008 г., ",,"(5)-код 1,2",,,
542,"Общество с ограниченной ответственностью ""ПИК""",1.0376E+12,7605004074,"150000, Россия, г. Ярославль, ул. Салтыкова - Щедрина, 7а, 5.","1. Ярославская область, Ярославский р-н,265 км Северной железной дороги, д.6",с 11.06.2008 г. по 11.06.2013 г.,"76202708/Л0158,",,,,,
,"(ООО ""ПИК"")",,,,магазин,,"11.06.2008 г., ",,,,,
,,,,,(Продажа а/п до 15%),,,,,,,
,,,,,"2. г. Ярославль, Московский пр., у д.163",,,,,,,
,,,,,мини-магазин,,,,,,,
,,,,,"3. г. Ярославль, Московский пр., у д. 94 - кафе-бистро",,,,,,,
,,,,,кафе,,,,,,,
543,"Общество с ограниченной ответственностью ""ПилоЛес""",1.0976E+12,7602071033,"г.Ярославль, Тутаевское шоссе, д.24","1. г.Ярославль, Тутаевское шоссе, д.24",с 14.06.2012 г. по 14.06.2013 г.,"76202712/Л0262,",,,,,
,"(ООО ""ПилоЛес"")",,,,магазин (отдел),,"14.06.2012 г., ",,,,,
544,"Общество с ограниченной ответственностью ""Пилот""",1.0576E+12,7604083267,"Российская Федерация, Ярославская область, г.Ярославль, ул.Малая Пролетарская, д.18а, каб.304","1. г.Ярославль, пр.Авиаторов, у д.104",с 07.02.2011 г. по 07.02.2016 г.,"76202711/Л0023,",,,,,
,"(ООО ""Пилот"")",,,,магазин,,"07.02.2011 г., ",,,,,
,,,,,"2. г.Ярославль, ул. Курчатова, д.18",,,,,,,
,,,,,магазин с кафетерием,,,,,,,
,,,,,"3. г.Ярославль, ул. Первомайская, д.47",,,,,,,
,,,,,магазин,,,,,,,
545,"Общество с ограниченной ответственностью ""ПИР-СЕРВИС""",1.0676E+12,7604085190,"г.Ярославль, Московский пр., д.130.","1. г.Ярославль, Московский пр., д.130",с 13.10.2008 г. по 13.10.2013 г.,"76202708/Л0282,",,,,,
,"(ООО ""Пир-Сервис"")",,,,магазин,,"13.10.2008 г., ",,,,,
546,"Общество с ограниченной ответственностью ""ПИТ СТОП""",1.0376E+12,7606047497,"150043, г.Ярославль, ул.Добрынина,д.5, кв.11","1. Ярославская область, г. Рыбинск, пр. Революции, д.9",с 28.04.2008 г. по 28.04.2013 г.,"76202708/Л0100,",,,,,
,"(ООО ""ПИТ СТОП"")",,,,кафе,,"28.04.2008 г., ",,,,,
547,"Общество с ограниченной ответственностью ""Пиццерия ""Мариола""",1.0276E+12,7610030432,"Россия, Ярославская обл., г.Рыбинск , ул.Крестовая, д.77","1. Ярославская область, г. Рыбинск, ул. Крестовая, д.77/ул. Бородулина, д.8",с 14.08.2012 г. по 14.08.2013 г.,"76202712/Л0391,",,,,,
,"(ООО ""Пиццерия ""Мариола"")",,,,кафе,,"14.08.2012 г., ",,,,,
548,"Общество с ограниченной ответственностью ""Производственно - коммерческое предприятие ""Лакита""",1.0676E+12,7604085360,"Россия, г.Ярославль, ул.Чкалова, д.65","1. г. Ярославль, ул.Чкалова, д.65",с 19.04.2011 г. по 19.04.2016 г.,"76202711/Л0137,",,,,,
,"(ООО ""ПКП ""Лакита"")",,,,магазин,,"19.04.2011 г., ",,,,,
549,"Общество с ограниченной ответственностью ""ПРОИЗВОДСТВЕННО-ФИНАНСОВАЯ КОМПАНИЯ ""ПАЛАДИН""",1.0276E+12,7610055606,"Россия,г.Рыбинск, ул.Крестовая, д.4-10.","1. г.Рыбинск, ул.Крестовая, д.4-10",с 22.11.2008 г. по 22.11.2013 г.,"76202708/Л0338,",,Предыдущее переоформление 19.11.2009 г.,,,
,"(ООО ""ПКФ ""Паладин"")",,,,магазин,,"21.11.2008 г., ",,(4)-открытие объекта код 2,,,
,,,,,"2. Ярославская область, г.Рыбинск, ул. 50 лет ВЛКСМ, д.44",,,,,,,
,,,,,магазин,,,,,,,
550,"Общество с ограниченной ответственностью ""Плаза""",1.0676E+12,7604086652,"Российская Федерация, г.Ярославль, Ленинградский пр-т, д.85а","1. г.Ярославль, Ленинградский проспект, д.85а",с 17.08.2012 г. по 17.08.2017 г.,"76202712/Л0394,",,,,,
,"(ООО ""Плаза"")",,,,ресторан,,"16.08.2012 г., ",,,,,
551,"Общество с ограниченной ответственностью ""ПЛАНЕТА-А""",1.0276E+12,7627008594,"г.Ярославль, ул.Кудрявцева,д.24/38","1. г.Ярославль, ул.Кудрявцева,д.24/38",с 30.04.2010 г. по 30.04.2013 г.,"76202710/Л0121,",,,,,
,"(ООО ""Планета-А"")",,,,магазин,,"30.04.2010 г., ",,,,,
552,"Общество с ограниченной ответственностью ""Пластилин плюс""",1.12761E+12,7613001863,"Российская Федерация, Ярославская область, Большесельский район, село Большое село, улица Сурикова, дом 47, пом.1","1. Ярославская область, Большесельский район, с.Большое Село, ул.Сурикова, д.47",с 15.08.2012 г. по 15.08.2013 г.,"76202712/Л0393,",,,,,
,"(ООО ""Пластилин плюс"")",,,,магазин,,"15.08.2012 г., ",,,,,
553,"Общество с ограниченной ответственностью Переславское Такси ""Плюс""",1.09761E+12,7608015525,"Ярославская область, г.Переславль-Залесский, ул. Ростовская, д.4, оф.2","1. Ярославская область, г.Переславль-Залесский, ул. Советская, д.10",с 30.11.2011 г. по 30.11.2013 г.,"76202711/Л0702,",,,,,
,"(ООО Переславское Такси ""Плюс"")",,,,кафе,,"30.11.2011 г., ",,,,,
554,"Общество с ограниченной ответственностью ""Победа""",1.1076E+12,7604189496,"Россия, г.Ярославль, ул.Чайковского, д.8, кв.1","1. г.Ярославль, ул.Большая Октябрьская, д.92/63",с 20.10.2011 г. по 20.10.2012 г.,"76202711/Л0629,",,,,,
,"(ООО ""Победа"")",,,,магазин кулинарии,,"20.10.2011 г., ",,,,,
,,,,,"2. г.Ярославль, ул.Большая Октябрьская, д.92/63",,,,,,,
,,,,,кафе,,,,,,,
555,"Общество с ограниченной ответственностью ""Подкова""",1.0676E+12,7604088120,"Россия, г.Ярославль, ул.Кривова, д.51а","1. г.Ярославль, ул.Кривова, д.51а",с 07.06.2011 г. по 07.06.2016 г.,"76202711/Л0239,",,Предыдущее переоформление 05.05.2012 г.,,,
,"(ООО ""Подкова"")",,,,закусочная,,"07.06.2011 г., ",,(4) - код 3,,,
,,,,,"2. г.Ярославль, просп. Фрунзе, д. 3",,,,,,,
,,,,,кафе,,,,,,,
556,"Общество с ограниченной ответственностью ""ПОДОРОЖНИК""",1.06761E+12,7619004050,"Ярославская область г.Мышкин, ул. Угличская, д.45/1","1. Ярославская область, г.Мышкин, ул. Угличская, д.45/1",с 28.07.2011 г. по 28.07.2016 г.,"76202711/Л0492,",,,,,
,"(ООО ""ПОДОРОЖНИК"")",,,,магазин,,"28.07.2011 г., ",,,,,
557,"Общество с ограниченной ответственностью ""Поиск""",1.0576E+12,7621006512,"Ярославская область, Некрасовский район, Р.п. Некрасовское, ул. Космонавтов, д.8","1. Ярославская область, Некрасовский район, Рп Некрасовское, ул. Космонавтов,д.8",с 23.12.2010 г. по 23.12.2015 г.,"76202710/Л0361,",,Предыдущее переоформление 23.07.2012 г.,,,
,"(ООО ""Поиск"")",,,,магазин,,"23.12.2010 г., ",,"(2), (5) - код 12",,,
,,,,,"2. Ярославская область, Некрасовский район, Рп Некрасовское, ул. Кооперативная, д.1",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"3. Ярославская область, Некрасовский район, с.Левашово, ул. Молодежная, д.10",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"4. Ярославская область, Некрасовский район, д.Осиновая Слобода, д.72",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"5. Ярославская область, Некрасовский район, с. Новодашково, ул. Центральная, д.72",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"6. Ярославская область, Некрасовский район, с. Черная Заводь, ул. Сарафоново, д.1.",,,,,,,
,,,,,магазин,,,,,,,
,,,,,"7. Ярославская область, Некрасовский район, Рп Некрасовское, ул. Кооперативная, д.1",,,,,,,
,,,,,столовая,,,,,,,
558,"Общество с ограниченной ответственностью ""Поиск""",1.0276E+12,7610017054,"Россия, Ярославская область, г.Рыбинск, ул.Чкалова, д.24 ""А""","1. Ярославская область, г.Рыбинск, ул. Чкалова, 24а",с 25.07.2011 г. по 25.07.2016 г.,"76202711/Л0454,",,Предыдущее переоформление 29.05.2012 г.,,,
