                  Государственный реестр выданных лицензий  за март 2012 г. по  Хабаровскому краю ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
№ пп,Организация - заявитель ,,,,, Объект,Место осуществления деятельности                                           ,Общая площадь,Арендуемая площадь,"Площадь торг зала, кол-во посадочных мест ",Время работы объекта,Примечание,Номер и срок действия лицензии,,,
,ОПФ,нименование организации,юридический адрес,"ИНН, КПП, ОГРН","Вид деятельности, заявленный срок в годах",,,,,,,,,,,
г. Хабаровск,,,,,,,,,,,,,,,,
48,ООО,"""Надежда""","г.Комсомольск-на-Амуре, ул.Васянина д.6, 50, тел. 55-03-92",2703042777/270301001/1072703005451,розничная продажа АП 1 год,магазин,"г.Комсомольск-на-Амуре, аллея Труда д.25",113.4,113.4,85.3,8-23,продление,ХБ 000949 № 2149 13.03.2012 - 13.03.2013,,,
49,ООО,"""Людмила""","г.Комсомольск-на-Амуре, пр-кт.Ленина д.21, тел. 54-57-33",2727023484/270301001/1022700523020,розничная продажа АП 1 год,магазин,"г.Комсомольск-на-Амуре, пр-кт.Ленина д.21",311.1,311.1,73,8-23,продление,ХБ 000970 № 186 13.03.2012 - 13.03.2013,,,
50,ООО,"""Сезам""","г.Комсомольск-на-Амуре, мкр.Таежный, ДОС-3, тел. 53-85-33",2703032627/270301001/1052740253917,розничная продажа АП 1 год,магазин,"г.Комсомольск-на-Амуре, мкр.Таежный, ДОС-3",78.2,78.2,36.1,8-23,продление,ХБ 000978 № 137 13.03.2012 - 13.03.2013,,,
Комсомольский р-н,,,,,,,,,,,,,,,,
51,ООО,"""Янтарь""","п.Ягодный, ул.Школьная д.8, тел. 562-106",2712010066/271201001/1022700758850,розничная продажа АП 1 год,магазин,"п. Ягодный, ул.Школьная д.8",532.6,,79,9-23,продление,ХБ 000919 № 140 13.03.2012 - 13.03.2013,,,
,,,,,,магазин,"с.Новоильиновка, ул.Школьная д.32б",22,22,22,9-18,,,,,
,,,,,,"магазин ""Рассвет""","п.с.т.Черный Мыс, ул.Зеленая д.12",33,33,19,9-20,,,,,
Район имени Лазо,,,,,,,,,,,,,,,,
52,ООО,"""Алина""","р.п.Переяславка, ул.Ленина д.39, тел. 24-5-99",2713013510/271301001/1062713009215,розничная продажа АП 1 год,магазин,"р.п.Переяславка, ул.Ленина д.39",46,46,26,8-22,продление,ХБ 000948 № 94 13.03.2012 - 13.03.2013,,,
,,,,,,магазин,"р.п.Переяславка, ул.Октябрьская д.76",101.3,101.3,73.4,8-22,,,,,
53,ООО,"""Арго""","р.п.Хор, ул.Некрасова д.8, тел. 8-909-840-94-80",2713011496/271301001/1032700190533,розничная продажа АП  2 года,павильон,"р.п.Хор, ул.Пушкина д.20",74.3,74.3,34.9,круглосуточно,продление,ХБ 000930 № 93 13.03.2012 - 13.03.2014,,,
54,ООО,"""Астория""","р.п.Мухен, ул.Ленина д.34а, тел. 41-5-79",2713013750/271301001/1062713013208,розничная продажа АП 3 года,магазин,"р.п.Мухен, ул.Ленина д.34а",52.2,52.2,36,9-20,продление,ХБ 000920 № 202 13.03.2012 - 13.03.2015,,,
55,ООО,"""Наше""","городок Переяславка Вторая д.69, 12, тел. 8-962-675-48-30",2713016737/271301001/1102713001159,розничная продажа АП в розлив 1 год,закусочная," городок Переяславка Вторая, 59 км трассы Хабаровск-Владивосток",160.6,160.6,28,9-23,продление,ХБ 000946 № 2313 13.03.2012 - 13.03.2013,,,
56,ПО,Переяславское ,"р.п.Переяславка, ул.Постышева д.15, тел. 21-7-47",2713009289/271301001/1022700778330,розничная продажа АП 5 лет,магазин № 1,"р.п.Переяславка, ул.Индустриальная д.21",130.2,,57.4,8-22,продление,ХБ 000922 № 1231 13.03.2012 - 13.03.2017,,,
,,,,,,магазин № 10,"с.Соколовка, ул.Центральная д.13а",135.8,,48.2,8-22,,,,,
,,,,,,магазин № 11,"с.Гродеково, ул.Гагарина д.10",143.5,,62.1,8-23,,,,,
,,,,,,магазин № 12,"р.п.Переяславка, ул.Постышева д.15",68.5,,37.4,8-22,,,,,
,,,,,,магазин № 19,"с.Киинск, ул.Набережная д.27",104.8,,51.7,8-21,,,,,
,,,,,,магазин № 22,"с.Могилевка, ул.Советская д.21а",159.5,,62,8-23,,,,,
,,,,,,магазин № 23,"с.Черняево, ул.Бульвар Лазо д.15а",166.5,,57.8,8-23,,,,,
,,,,,,магазин № 3,"с.Екатеринославка, ул.Новикова д.45",166.3,,93.7,8-22,,,,,
,,,,,,магазин № 4," р.п.Переяславка, ул.Центральная д.18",102,,35,8-22,,,,,
,,,,,,магазин № 5," с.Георгиевка, ул.Центральная д.88",212,,76.8,8-23,,,,,
,,,,,,магазин № 7,"р.п.Переяславка, ул.Октябрьская д.80",168.8,,79.2,8-23,,,,,
57,ООО,"""Сим""","р.п.Хор, ул.Менделеева д.2, тел. 8-914-316-50-45",2713003248/271301001/1022700780310,розничная продажа АП 1 год,магазин,"р.п.Хор, ул.Менделеева д.2",86.5,86.5,58.1,8-22,продление,ХБ 000927 № 123 13.03.2012 - 13.03.2013,,,
,,,,,,магазин,"р.п.Хор, ул.Менделеева д.19а",56,56,30,круглосуточно,,,,,
58,ООО,"""Талисман""","р.п.Хор, ул.Вокзальная д.10, тел. 8-909-841-17-51",2713013574/271301001/1062713009336,розничная продажа АП 1 год,павильон,"р.п.Хор, пер.Кооперативный д.8а",65.8,,31.3,8-22,продление,ХБ 000928 № 133 13.03.2012 - 13.03.2013,,,
Нанайский район ,,,,,,,,,,,,,,,,
59,ООО,"""Весна""","с.Троицкое, ул.Центральная д.19, тел. 4-19-08",2714009605/271401001/1072720000374,розничная продажа АП 3 года,магазин,"с.Троицкое, ул.Калинина д.145",25,25,15,9-22,продление,ХБ 000940 № 1276 13.03.2012 - 12.03.2015,,,
,,,,,,магазин ,"с.Троицкое, ул.Лазо д.17А",112,112,64,9-23,,,,,
,,,,,,магазин ,"с.Троицкое, ул.Центральная д.19",25,25,15,9-22,,,,,
Николаевский район ,,,,,,,,,,,,,,,,
60,ООО,"""Николаевскхлеб""","г.Николаевск-на-Амуре, ул.Благовещенская д.3, тел. 8 (42-135) 215-",2705092075/270501001/1062705006594,розничная продажа АП 5 лет,магазин,"г.Николаевск-на-Амуре, ул.Советская д.61",27450%,27450%,7760%,8-20,продление,ХБ 000936 № 1238 13.13.2012 - 13.03.2017,,,
,,,,,,магазин № 1,"г.Николаевск-на-Амуре, ул.Благовещенская д.3",51.7,,30.3,7-30-20-00,,,,,
,,,,,,магазин № 10,"с.Константиновка, ул.Амурская д.5",80.1,80.1,23.1,8-20,,,,,
,,,,,,магазин № 14,"г.Николаевск-на-Амуре, ул.Кантера д.31",50.2,50.2,24.7,8-20,,,,,
,,,,,,магазин № 16,"г.Николаевск-на-Амуре, ул.Советская д.126",53.6,53.6,22,8-20,,,,,
,,,,,,магазин № 18,"с.Красное, ул.Дарбиняна д.5",115.2,115.2,51.7,8-20,,,,,
,,,,,,магазин № 2,"г.Николаевск-на-Амуре, ул.Наумова д.8",114.1,,51.4,8-20,,,,,
,,,,,,магазин № 4,"г.Николаевск-на-Амуре, ул.Чихачева д.4",50.4,50.4,47.3,8-20,,,,,
,,,,,,магазин № 6," г.Николаевск-на-Амуре, ул.Красноармейская д.61",58.3,,34.2,8-20,,,,,
,,,,,,магазин № 9,"г.Николаевск-на-Амуре, ул.Советская д.95",52.5,52.5,28.9,8-20,,,,,
,,,,,,отдел в ТЦ,"г.Николаевск-на-Амуре, ул.Гоголя д.25",50,50,25.1,8-20,,,,,
,,,,,,павильон,"г.Николаевск-на-Амуре, ул.Орджоникидзе, в районе дома №4",50,50,13.1,8-20,,,,,
61,ООО,"""Зенит""","г.Николаевск-на-Амуре, ул.Школьная д.173, тел. 2-01-32",2705094001/270501001/1112705000286,розничная продажа АП 1 год,магазин,"г.Николаевск-на-Амуре, ул.Ленина д.12",70.1,70.1,35,8-22,доп. объекты ,ХБ 000535 № 2416 16.08.2011 - 16.08.2012,,,
62,ООО,"""Союз К""","г.Николаевск-на-Амуре, ул.Хабаровская д.4, 20, тел. 8 (42-135) 2-07",2705093833/270501001/1102705000672,розничная продажа АП 1 год,магазин,"г.Николаевск-на-Амуре, ул.Читинская д.6",370,370,66.1,8-21,продление,ХБ 000974 № 2342 13.03.2012 - 13.03.2013,,,
63,ООО,"""Тисс"""," г.Николаевск-на-Амуре, ул.Кантера д.13, тел. 2-93-50",2705091917/270501001/1062705006077,"розничная продажа АП, розничная продажа АП в розлив 5 лет",бар,"г.Николаевск-на-Амуре, ул.Сибирская д.117",50,50,5,19-03,продление,ХБ 000975 № 1228 13.03.2012 - 13.03.2017,,,
,,,,,,закусочная ,"г.Николаевск-на-Амуре, ул.Кантера д.13",50,50,4,9-02,,,,,
,,,,,,кафе ,"г.Николаевск-на-Амуре, ул.Кантера д.4",50,50,4,9-02,,,,,
,,,,,,магазин,"г.Николаевск-на-Амуре, ул.Кантера д.4",50,50,5,9-02,,,,,
Охотский район ,,,,,,,,,,,,,,,,
64,ООО,"МП ""Аэлита"""," р.п.Охотск, ул.Карпинского д.37, тел. 8 (42-141) 9-28",2715004487/271501001/1042700086813,розничная продажа АП 5 лет,магазин,"р.п.Охотск, ул.Заводская д.13",68.6,68.6,42,10-18,впервые,ХБ 000925 № 2537 13.03.2012 - 13.03.2017,,,
Советско-Гаванский район ,,,,,,,,,,,,,,,,
