,12980,23/12/10,23/12/10,22/12/13,11МЕ003102коп,"ООО «Ухтинский общепит», по адресу:  г. Ухта,пр. Ленина, д.9, кв.22. ОГРН 1091102000440,в лице Акимцева Ирина Александровна. Тел.(8216)73-55-89. ИНН : 1102061710/110201001","кафе-пиццерия «Синьор Помидор» г. Ухта,ул. Первомайская, д.5",  
,12980,23/12/10,23/12/10,22/12/13,11МЕ003102коп,"ООО «Ухтинский общепит», по адресу:  г. Ухта,пр. Ленина, д.9, кв.22. ОГРН 1091102000440,в лице Акимцева Ирина Александровна. Тел.(8216)73-55-89. ИНН : 1102061710/110201001","кафе-пиццерия «Синьор Помидор» г. Ухта,пр. Ленина, д.22 «в»",  
,12980,23/12/10,23/12/10,22/12/13,11МЕ003102коп,"ООО «Ухтинский общепит», по адресу:  г. Ухта,пр. Ленина, д.9, кв.22. ОГРН 1091102000440,в лице Акимцева Ирина Александровна. Тел.(8216)73-55-89. ИНН : 1102061710/110201001","кафе «Золото Флинта» г. Ухта,ул. 30 лет Октября, д.12",  
,12980,23/12/10,23/12/10,22/12/13,11МЕ003102коп,"ООО «Ухтинский общепит», по адресу:  г. Ухта,пр. Ленина, д.9, кв.22. ОГРН 1091102000440,в лице Акимцева Ирина Александровна. Тел.(8216)73-55-89. ИНН : 1102061710/110201001","кафе «Дворянское гнездо» г. Ухта,пр. Ленина, д.2/15",  
,12980,23/12/10,23/12/10,22/12/13,11МЕ003102осн,"ООО «Ухтинский общепит», по адресу:  г. Ухта,пр. Ленина, д.9, кв.22. ОГРН 1091102000440,в лице Акимцева Ирина Александровна. Тел.(8216)73-55-89. ИНН : 1102061710/110201001", ,  
,12988,31/12/10,31/12/10,30/12/13,11МЕ003131,"ООО «Снабсервис», по адресу:  г. Ухта,проезд Пионергорский, д. 3, ОГРН 1081102000649,в лице Курилин Сергей Владимирович. ИНН : 1102057569/110201001","ресторане ""Кристалл"" г. Ухта,проезд Пионергорский, д. 3",  
,13014,20/05/11,20/05/11,19/05/16,11МЕ003472коп,"ООО «ТД «Вологодский», по адресу:  Вологодская область,Тотемский район, п. Царева, д. 34. ОГРН 1103535000612,в лице Русинов Юрий Вениаминович. Тел.88173957326. ИНН : 3518008798/351801001","магазин №2 г. Ухта,проезд Строителей, д. 6",  
,13018,18/06/12,17/06/11,16/06/13,11МЕ004264,"ООО ""Анар"", по адресу:  г. Ухта,пр. Ленина, д.15. Тел.89129497397. ОГРН 1061102002356,в лице Адилова Светлана Мирсейбовна. Тел.4-57-79. ИНН : 1102050620/110201001","магазин «Анар» г. Ухта,пр. Ленина, д.15",  
,13019,21/06/11,21/06/11,20/06/16,11МЕ003521,"ООО «Волга», по адресу:  г. Ухта,пгт. Водный, ул. Торопова, д.2а. ОГРН 1111102000756,в лице Соловьева Ольга Викторовна. ИНН : 1102068225/110201001","кафе-бар «Волга» г. Ухта,пос. Водный, ул. Торопова, д.2а",  
,13027,17/08/11,17/08/11,16/08/12,11МЕ003791,"ООО ""Варяг"", по адресу:  г. Ухта,п. Водный, ул. Гагарина, д.12, кв.2. ОГРН 1051100660786,в лице Бабаев Камал Бабакиши оглы. Тел.4-91-63. ИНН : 1102050210/110201001","магазин «Юля» г. Ухта,ул. Сенюкова, д.47",  
,13028,18/08/11,18/08/11,17/08/12,11МЕ003794,"ООО «Кристалл», по адресу:  г. Ухта,Пионергорский проезд, д.3. ОГРН 1101102000603,в лице Кулькова Елена Витальевна. Тел.9-81-49. ИНН : 1102064975/110201001","кафе г. Ухта,Пионергорский проезд, д.3",  
,13030,25/07/12,19/08/11,18/08/13,11МЕ004404,"ООО «Бикей-1», по адресу:  г. Ухта,ул. 30 лет Октября, д.9«а», магазин «Бикей-1». ОГРН 1111102001240,в лице Кашин Сергей Витальевич. Тел.74-68-82. ИНН : 1102068377/110201001","магазин «Бикей-1» г. Ухта,ул. 30 лет Октября, д.9 «а»",  
,13031,31/08/11,31/08/11,30/08/12,11МЕ003710,"ООО ""Амина"", по адресу:  г. Ухта,ул. Авиационная, д.2А, кв.20. ОГРН 1051100652162,в лице Чебыкин Александр Сергеевич. Тел.89129468095,8214756131. ИНН : 1102049470/110201001","торговый павильон «Аяз» г. Ухта,проезд Строителей, район дома №37",  
,13033,30/05/12,16/09/11,15/09/12,11МЕ003735,"ООО ""Гудвин"", по адресу:  г. Ухта,ул. Чернова,  д.23. ОГРН 1101102002430. Тел.8-82167-707-22, 89042793650,в лице Кучеренко Владимир Иванович. ИНН : 1102066789/110201001","магазин  «Колос» г. Ухта,ул. Чернова,  д.23",Приостановлена  30.05.12  до 16.09.12 (решение №1099/02-16 от 30.05.12)
,13034,02/12/11,19/09/11,18/09/13,11МЕ003830осн,"ООО ""Логика"", по адресу:  г. Ухта,ул. Куратова, д. 11, кв. 77. ОГРН 1111102003418. Тел.8-8216-75-97-15, 72-40-89,в лице Маргарян Юрик Самсонович. ИНН : 1102068850/110201001", ,  
,13034,27/10/11,19/09/11,18/09/13,11МЕ003830коп,"ООО ""Логика"", по адресу:  г. Ухта,ул. Куратова, д. 11, кв. 77. ОГРН 1111102003418. Тел.8-8216-75-97-15, 72-40-89,в лице Маргарян Юрик Самсонович. ИНН : 1102068850/110201001","магазин «Арин-Берд» г. Ухта,ул.Портовая, д.9",  
,13034,27/10/11,19/09/11,18/09/13,11МЕ003830коп,"ООО ""Логика"", по адресу:  г. Ухта,ул. Куратова, д. 11, кв. 77. ОГРН 1111102003418. Тел.8-8216-75-97-15, 72-40-89,в лице Маргарян Юрик Самсонович. ИНН : 1102068850/110201001","магазин «Арин-Берд» г. Ухта,ул.Сенюкова, д.35",  
,13034,27/10/11,19/09/11,18/09/13,11МЕ003830коп,"ООО ""Логика"", по адресу:  г. Ухта,ул. Куратова, д. 11, кв. 77. ОГРН 1111102003418. Тел.8-8216-75-97-15, 72-40-89,в лице Маргарян Юрик Самсонович. ИНН : 1102068850/110201001","магазин «Арин-Берд» г. Ухта,п.Ярега, ул. Советская, д.41",  
,13034,27/10/11,27/10/11,18/09/13,11МЕ003830коп,"ООО ""Логика"", по адресу:  г. Ухта,ул. Куратова, д. 11, кв. 77. ОГРН 1111102003418. Тел.8-8216-75-97-15, 72-40-89,в лице Маргарян Юрик Самсонович. ИНН : 1102068850/110201001","магазин «Арин-Берд» г. Ухта,ул. Бушуева, д.14а",  
,13036,23/09/11,23/09/11,22/09/13,11МЕ003746,"ООО «Аверс», по адресу:  г. Сосногорск,ул. Комсомольская, 1. ОГРН 1111108000123. Тел.5-45-95,в лице Шмидт Светлана Анатольевна. ИНН : 1108020621/110801001","магазин «Любимый» г. Ухта,п.г.т. Шудаяг, ул. Тимирязева, 7",  
,13037,28/09/11,28/09/11,27/09/12,11МЕ003851,"ООО «Галеон», по адресу:  г. Ухта,ул. Молодёжная, 19, кв.1. ОГРН 1111102000570,в лице Завольский Дмитрий Анатольевич. Тел.75-80-06. ИНН : 1102068183/110201001","продуктовый магазин «Рядышком» г. Ухта,пр-кт А.И. Зерюнова, д.6",  
,13049,23/11/11,23/11/11,22/11/12,11МЕ003819,"ООО «Изобилие», по адресу:  г. Ухта,ул. Октябрьская, д.1, кв.16. ОГРН 1111102001658. ИНН : 1102068465/110201001","магазин  «Огонёк» г. Ухта,ул. 40 лет Коми АССР, д.11/13",  
,13052,06/12/11,06/12/11,05/12/13,11МЕ003835,"ООО ""Меркурий"" , по адресу:  г. Ухта,ул.Бушуева, д.12, кв.82. Тел.89129476424ОГРН 1101102000790. ИНН : 1102065168/110201001","магазин ""Продукты"" г. Ухта,ул.Набережная Нефтяников, д.4",  
,13062,22/12/11,22/12/11,21/12/14,11МЕ003981,"ООО «РК «АвтоГАЗкомплект», по адресу:  г. Ухта,пгт. Водный, ул. Торопова, д.4, кв.24. ОГРН 1111102004100,в лице Молов Руслан Русланович. Тел.73-19-59. ИНН : 1102069081/110201001","магазин «Максим» г. Ухта,пгт. Водный, пер. Пионерский, д.3",  
,13065,21/06/12,26/12/11,25/12/16,11МЕ004276осн,"ООО «БНН», по адресу:  г. Ухта,п. Водный, ул. Гагарина, д. 26А, ОГРН 1101102003188. ИНН : 1102067550/110201001", ,  
,13065,21/06/12,21/06/12,25/12/16,11МЕ004276коп,"ООО «БНН», по адресу:  г. Ухта,п. Водный, ул. Гагарина, д. 26А, ОГРН 1101102003188. ИНН : 1102067550/110201001","магазин «Березка» г. Ухта,ул. Печорская, д. 29А",  
,13067,26/12/11,26/12/11,25/12/12,11МЕ003902,"ООО КФ «Северяночка», по адресу:  г. Ухта,ул. Пионерская, д. 12. ОГРН 1021100738240,в лице Передериева Ольга Юрьевна. Тел.3-14-70. ИНН : 1102041600/110201001","кафе «Старая Русса» г. Ухта,Комсомольская площадь, д.7/10",  
,13096,12/03/12,12/03/12,11/03/17,11МЕ004077осн,"ООО «Виклеон», по адресу:  г. Ухта,ул.Печорская, д.36а, стр.5. ОГРН 1111102005211,в лице Виктор Леонидович Притыченко. Тел. 75-97-25. ИНН : 1102069540/110201001", ,  
,13096,12/03/12,12/03/12,11/03/17,11МЕ004077коп,"ООО «Виклеон», по адресу:  г. Ухта,ул.Печорская, д.36а, стр.5. ОГРН 1111102005211,в лице Виктор Леонидович Притыченко. Тел. 75-97-25. ИНН : 1102069540/110201001","магазин «Фаворит» г. Ухта,пр.Ленина, д.33",  
,13096,12/03/12,12/03/12,11/03/17,11МЕ004077коп,"ООО «Виклеон», по адресу:  г. Ухта,ул.Печорская, д.36а, стр.5. ОГРН 1111102005211,в лице Виктор Леонидович Притыченко. Тел. 75-97-25. ИНН : 1102069540/110201001","коммерческий отдел магазина «Печора» г. Ухта,пр.Ленина, д.75",  
,13120,23/05/12,23/05/12,22/05/13,11МЕ004217,"ООО «КОЗЕРОГ», по адресу:  г. Ухта,ул. Советская, д. 6. ОГРН 1121102001107,в лице Лариса Александровна Колосова. Тел. 72-04-30. ИНН : 1102070432/110201001","магазин «Стрелец» г. Ухта,ул. Советская, д. 6",  
,13128,18/06/12,18/06/12,17/06/17,11МЕ004269коп,"ООО «Деметра», по адресу:  г. Ухта,ул. 30 лет Октября, д. 4. ОГРН 1121102000755,в лице Наталья Талагатовна Недилько. Тел.89129472692.. ИНН : 1102070143/110201001","магазин «Горка» г. Ухта,ул. Интернациональная, д. 45",  
,13128,18/06/12,18/06/12,17/06/17,11МЕ004269осн,"ООО «Деметра», по адресу:  г. Ухта,ул. 30 лет Октября, д. 4. ОГРН 1121102000755,в лице Наталья Талагатовна Недилько. Тел.89129472692.. ИНН : 1102070143/110201001", ,  
,13134,28/06/12,28/06/12,27/06/13,11МЕ004301,"ООО «РУБИН», по адресу:  г. Ухта,ул. Печорская, д.10 г, кв.51. ОГРН 1111102004639,в лице Анатолий Михайлович Луцюк. Тел. 89048616296. ИНН : 1102069324/110201001","магазин «Рубин» г. Ухта,набережная Нефтяников, д.12",  
,13137,04/07/12,04/07/12,03/07/13,11МЕ004327,"ООО ""Бикей"", по адресу:  г. Ухта,ул. 30 лет Октября, д.9а. Тел. 8-82147-3-13-65, 3-62-77,в лице Литовченко Игорь Васильевич. ИНН : 1102051415/110201001","магазин «Бикей» г. Ухта,ул. 30 лет Октября, д.9а",  
,13140,12/07/12,12/07/12,11/07/13,11МЕ004361осн,"ООО ""Туран"", по адресу:  г. Ухта,переулок Чибьюский, д. 8, кв.13. ОГРН 1051100652130,в лице Мамедов Абильфаз Асаф оглы. Тел.5-19-03. ИНН : 1102049448/110201001", ,  
,13140,12/07/12,12/07/12,11/07/13,11МЕ004361коп,"ООО ""Туран"", по адресу:  г. Ухта,переулок Чибьюский, д. 8, кв.13. ОГРН 1051100652130,в лице Мамедов Абильфаз Асаф оглы. Тел.5-19-03. ИНН : 1102049448/110201001","магазин «Туран» г. Ухта,ул. Тиманская, д.11",  
,13140,12/07/12,12/07/12,11/07/13,11МЕ004361коп,"ООО ""Туран"", по адресу:  г. Ухта,переулок Чибьюский, д. 8, кв.13. ОГРН 1051100652130,в лице Мамедов Абильфаз Асаф оглы. Тел.5-19-03. ИНН : 1102049448/110201001","магазин «Продукты» г. Ухта,ул. Куратова,  д.16",  
,13141,16/07/12,16/07/12,15/07/13,11МЕ004366,"ООО ""Каприз"", по адресу:  г. Ухта,ул. Оплеснина, д.7, кв.16. Тел.8-8216-744220. ОГРН 1101102002539,в лице Ген.директор Поладов А.Н.о.. ИНН : 1102066884/110201001","магазин «Продукты» г. Ухта,пр. Космонавтов, д. 23",  
,13148,25/07/12,25/07/12,24/07/14,11МЕ004398коп,"ООО ""СЕВАН"", по адресу:  г. Ухта,ул. Интернациональная, д.9, кв.4. Тел.8-8216-727461.  ОГРН 1121102001140. ИНН : 1102070471","ресторан «Тиман» г. Ухта,пр. Ленина, д.4",  
,13148,25/07/12,25/07/12,24/07/14,11МЕ004398коп,"ООО ""СЕВАН"", по адресу:  г. Ухта,ул. Интернациональная, д.9, кв.4. Тел.8-8216-727461.  ОГРН 1121102001140. ИНН : 1102070471","буфет г. Ухта,пр. Ленина, д.4",  
,13148,25/07/12,25/07/12,24/07/14,11МЕ004398осн,"ООО ""СЕВАН"", по адресу:  г. Ухта,ул. Интернациональная, д.9, кв.4. Тел.8-8216-727461.  ОГРН 1121102001140. ИНН : 1102070471", ,  
Ижемский,,,,,,,,
,11738,24/12/10,28/01/06,27/01/16,11МЕ003109коп,"ООО ""Гранд"", по адресу:  Ижемский район,с. Ижма, ул. Чупрова, д.83. ОГРН 1051100750018,в лице Семяшкин Иорген Владимирович. Тел.94-4-67. ИНН : 1119005022/111901001","магазин ""Слобода"" Ижемский район,с. Сизябск, ул. Чупрова, д.6",  
,11738,24/12/10,28/01/06,27/01/16,11МЕ003109коп,"ООО ""Гранд"", по адресу:  Ижемский район,с. Ижма, ул. Чупрова, д.83. ОГРН 1051100750018,в лице Семяшкин Иорген Владимирович. Тел.94-4-67. ИНН : 1119005022/111901001","магазин ""Слобода"" Ижемский район,д. Бакур, ул. Центральная, д.29",  
,11738,24/12/10,28/01/06,27/01/16,11МЕ003109осн,"ООО ""Гранд"", по адресу:  Ижемский район,с. Ижма, ул. Чупрова, д.83. ОГРН 1051100750018,в лице Семяшкин Иорген Владимирович. Тел.94-4-67. ИНН : 1119005022/111901001", ,  
,11738,24/12/10,28/01/06,27/01/16,11МЕ003109коп,"ООО ""Гранд"", по адресу:  Ижемский район,с. Ижма, ул. Чупрова, д.83. ОГРН 1051100750018,в лице Семяшкин Иорген Владимирович. Тел.94-4-67. ИНН : 1119005022/111901001","магазин ""Олеся"" Ижемский район,с. Ижма, ул. Ластинская, д.14 ""Б""",  
,11738,24/12/10,28/01/06,27/01/16,11МЕ003109коп,"ООО ""Гранд"", по адресу:  Ижемский район,с. Ижма, ул. Чупрова, д.83. ОГРН 1051100750018,в лице Семяшкин Иорген Владимирович. Тел.94-4-67. ИНН : 1119005022/111901001","магазин ""Гранд"" Ижемский район,с. Ижма, ул. Чупрова, д.83",  
,11738,24/12/10,28/01/06,27/01/16,11МЕ003109коп,"ООО ""Гранд"", по адресу:  Ижемский район,с. Ижма, ул. Чупрова, д.83. ОГРН 1051100750018,в лице Семяшкин Иорген Владимирович. Тел.94-4-67. ИНН : 1119005022/111901001","магазин ""Слобода"" Ижемский район,с. Мохча, ул. Центральная, д.142",  
,11738,24/12/10,09/06/09,27/01/16,11МЕ003109коп,"ООО ""Гранд"", по адресу:  Ижемский район,с. Ижма, ул. Чупрова, д.83. ОГРН 1051100750018,в лице Семяшкин Иорген Владимирович. Тел.94-4-67. ИНН : 1119005022/111901001","магазин «Гамма» Ижемский район,д. Гам, ул. Лесная, д.27",  
,11771,11/02/11,15/02/06,14/02/14,11МЕ003271осн,"ООО ""Север""., по адресу:  Ижемский район,с. Щельяюр, ул. Дорожная, д.33. ОГРН 1051100750106,в лице Бабаев Имран Баба-оглы. Тел.91-1-63. ИНН : 1119005030/111901001", ,  
,11771,11/02/11,15/02/06,14/02/14,11МЕ003271коп,"ООО ""Север""., по адресу:  Ижемский район,с. Щельяюр, ул. Дорожная, д.33. ОГРН 1051100750106,в лице Бабаев Имран Баба-оглы. Тел.91-1-63. ИНН : 1119005030/111901001","магазин ""Тулыс"" Ижемский район,с. Щельяюр, ул. Пристанская, д.4а",  
,11771,11/02/11,15/02/06,14/02/14,11МЕ003271коп,"ООО ""Север""., по адресу:  Ижемский район,с. Щельяюр, ул. Дорожная, д.33. ОГРН 1051100750106,в лице Бабаев Имран Баба-оглы. Тел.91-1-63. ИНН : 1119005030/111901001","магазин ""Дружба"" Ижемский район,с. Щельяюр, ул. Рабочая, 17А",  
,11771,11/02/11,15/02/06,14/02/14,11МЕ003271коп,"ООО ""Север""., по адресу:  Ижемский район,с. Щельяюр, ул. Дорожная, д.33. ОГРН 1051100750106,в лице Бабаев Имран Баба-оглы. Тел.91-1-63. ИНН : 1119005030/111901001","магазин ""Северянин"" Ижемский район,с. Краснобор, ул. Центральная, д.107",  
,11776,16/02/12,22/02/06,21/02/13,11МЕ004039,"ООО ""ТД ""Аннушка"", по адресу:  Ижемский район,с. Ижма, ул. Советская, д.51. ОГРН 1051100749875,в лице Филип Анна Юрьевна. ИНН : 1119005015/111901001","магазин ""Аннушка"" Ижемский район,с. Ижма, ул. Советская, д.51",  
,11860,16/12/11,24/04/06,23/04/16,11МЕ003850коп,"ООО ""Северяночка"", по адресу:  Ижемский район,д. Диюр, ул. Школьная, д.8. ОГРН 1021101096455,в лице Латкина Ольга Федоровна. Тел.91-0-56. ИНН : 1119002790/111901001","магазин «Колос» Ижемский район,д. Диюр, ул. Школьная, д. 8",  
,11860,16/12/11,11/07/06,23/04/16,11МЕ003850коп,"ООО ""Северяночка"", по адресу:  Ижемский район,д. Диюр, ул. Школьная, д.8. ОГРН 1021101096455,в лице Латкина Ольга Федоровна. Тел.91-0-56. ИНН : 1119002790/111901001","магазин «Парус» Ижемский район,п. Щельяюр, ул. Советская, д. 87",  
,11860,16/12/11,24/04/06,23/04/16,11МЕ003850коп,"ООО ""Северяночка"", по адресу:  Ижемский район,д. Диюр, ул. Школьная, д.8. ОГРН 1021101096455,в лице Латкина Ольга Федоровна. Тел.91-0-56. ИНН : 1119002790/111901001","магазин «Черемушки» Ижемский район,с. Краснобор, ул. Центральная, д. 113",  
,11860,16/12/11,24/04/06,23/04/16,11МЕ003850осн,"ООО ""Северяночка"", по адресу:  Ижемский район,д. Диюр, ул. Школьная, д.8. ОГРН 1021101096455,в лице Латкина Ольга Федоровна. Тел.91-0-56. ИНН : 1119002790/111901001", ,  
,11860,16/12/11,24/04/06,23/04/16,11МЕ003850коп,"ООО ""Северяночка"", по адресу:  Ижемский район,д. Диюр, ул. Школьная, д.8. ОГРН 1021101096455,в лице Латкина Ольга Федоровна. Тел.91-0-56. ИНН : 1119002790/111901001","магазин ""Пелысь"" Ижемский район,п. Щельяюр, ул. Рабочая, д.1",  
,11860,16/12/11,24/04/06,23/04/16,11МЕ003850коп,"ООО ""Северяночка"", по адресу:  Ижемский район,д. Диюр, ул. Школьная, д.8. ОГРН 1021101096455,в лице Латкина Ольга Федоровна. Тел.91-0-56. ИНН : 1119002790/111901001","магазин «Рябинушка» Ижемский район,п. Щельяюр, ул. Заводская, д. 16",  
,11860,16/12/11,24/04/06,23/04/16,11МЕ003850коп,"ООО ""Северяночка"", по адресу:  Ижемский район,д. Диюр, ул. Школьная, д.8. ОГРН 1021101096455,в лице Латкина Ольга Федоровна. Тел.91-0-56. ИНН : 1119002790/111901001","магазин «Парма» Ижемский район,п. Щельяюр, ул. Дорожная, д. 10г",  
,11860,16/12/11,14/01/08,23/04/16,11МЕ003850коп,"ООО ""Северяночка"", по адресу:  Ижемский район,д. Диюр, ул. Школьная, д.8. ОГРН 1021101096455,в лице Латкина Ольга Федоровна. Тел.91-0-56. ИНН : 1119002790/111901001","магазин «Восход» Ижемский район,д. Вертеп, ул. Школьная, д.36",  
,11880,11/04/11,28/04/06,27/04/16,11МЕ003306осн,"ООО ""Родник"", по адресу:  Ижемский район,п. Щельяюр, ул. Дорожная, д.1,в лице Семяшкин Алексей Николаевич. Тел.9-11-35, 9-19-42. ИНН : 1119002818", ,  
,11880,11/04/11,28/04/06,27/04/16,11МЕ003306коп,"ООО ""Родник"", по адресу:  Ижемский район,п. Щельяюр, ул. Дорожная, д.1,в лице Семяшкин Алексей Николаевич. Тел.9-11-35, 9-19-42. ИНН : 1119002818","магазин ""Ивушка"" Ижемский район,п. Щельяюр, ул. Лесозаводская, д.14а",  
,11880,11/04/11,28/04/06,27/04/16,11МЕ003306коп,"ООО ""Родник"", по адресу:  Ижемский район,п. Щельяюр, ул. Дорожная, д.1,в лице Семяшкин Алексей Николаевич. Тел.9-11-35, 9-19-42. ИНН : 1119002818","магазин ""Труд"" Ижемский район,п. Щельяюр, ул. Советская, д. 83",  
,11880,11/04/11,28/04/06,27/04/16,11МЕ003306коп,"ООО ""Родник"", по адресу:  Ижемский район,п. Щельяюр, ул. Дорожная, д.1,в лице Семяшкин Алексей Николаевич. Тел.9-11-35, 9-19-42. ИНН : 1119002818","магазин «Маяк» Ижемский район,д. Диюр, ул. Клубная, д. 54",  
,11880,11/04/11,28/04/06,27/04/16,11МЕ003306коп,"ООО ""Родник"", по адресу:  Ижемский район,п. Щельяюр, ул. Дорожная, д.1,в лице Семяшкин Алексей Николаевич. Тел.9-11-35, 9-19-42. ИНН : 1119002818","магазин «Плот» Ижемский район,с. Краснобор, ул. Братьев Семяшкиных, д. 106",  
,11880,11/04/11,28/04/06,27/04/16,11МЕ003306коп,"ООО ""Родник"", по адресу:  Ижемский район,п. Щельяюр, ул. Дорожная, д.1,в лице Семяшкин Алексей Николаевич. Тел.9-11-35, 9-19-42. ИНН : 1119002818","магазин «Плот» Ижемский район,п. Щельяюр, ул. Заводская, д. 1а",  
,11908,13/05/11,17/05/06,16/05/13,11МЕ003457,"ООО ""ВОЯЖ"", по адресу:  Ижемский район,с. Ижма, ул. Чупрова, д.79. ОГРН 1061105008392,в лице Бастрова Елена Михайловна. Тел.94-3-64, 98-2-93. ИНН : 1119005311/111901001","магазин  ""Вояж"" Ижемский район,с. Ижма, ул. Чупрова, д.79",  
,12117,04/07/12,06/07/06,05/07/13,11МЕ004326коп,"ООО ""Провианта"", по адресу:  Ижемский район,с. Мохча, ул. Центральная, д. 176. ОГРН 1061105009822,в лице Кожевина Дарья Егоровна. ИНН : 1119005375/111901001","магазин «Гулливер» Ижемский район,с. Мохча, ул. Центральная, д. 176",  
,12117,04/07/12,06/07/06,05/07/13,11МЕ004326коп,"ООО ""Провианта"", по адресу:  Ижемский район,с. Мохча, ул. Центральная, д. 176. ОГРН 1061105009822,в лице Кожевина Дарья Егоровна. ИНН : 1119005375/111901001","магазин «Шик» Ижемский район,с. Мохча, ул. Центральная, д. 105",  
,12117,04/07/12,06/07/06,05/07/13,11МЕ004326осн,"ООО ""Провианта"", по адресу:  Ижемский район,с. Мохча, ул. Центральная, д. 176. ОГРН 1061105009822,в лице Кожевина Дарья Егоровна. ИНН : 1119005375/111901001", ,  
,12168,01/07/11,17/07/06,16/07/14,11МЕ003664коп,"ООО ""Одиннадцатый регион"", по адресу:  Ижемский район,с. Ижма, ул. Чупрова, д.93. ОГРН 1061105009448,в лице Баранова Светлана Сергеевна. ИНН : 1119005329/111901001","магазин «Бонус» Ижемский район,с. Ижма, ул. Советская, д. 53",  
,12168,01/07/11,17/07/06,16/07/14,11МЕ003664осн,"ООО ""Одиннадцатый регион"", по адресу:  Ижемский район,с. Ижма, ул. Чупрова, д.93. ОГРН 1061105009448,в лице Баранова Светлана Сергеевна. ИНН : 1119005329/111901001", ,  
,12168,01/07/11,17/07/06,16/07/14,11МЕ003664коп,"ООО ""Одиннадцатый регион"", по адресу:  Ижемский район,с. Ижма, ул. Чупрова, д.93. ОГРН 1061105009448,в лице Баранова Светлана Сергеевна. ИНН : 1119005329/111901001","магазин «Пятерка» Ижемский район,с. Ижма, ул. Чупрова, д. 93",  
,12246,20/07/11,09/08/06,08/08/12,11МЕ003630,"ООО ""Дива"", по адресу:  Ижемский район,с. Ижма, ул. Чупрова, д.126а. ОГРН 1061105009624,в лице Барладян Ирина Федоровна. Тел.94-2-55. ИНН : 1119005336/111901001","магазин «Дива» Ижемский район,с. Ижма, ул. Чупрова, 126а",  
,12260,02/02/12,02/02/12,17/08/13,11МЕ004013коп,"ООО  ""Ксюша"", по адресу:  Ижемский район,д. Бакур, ул. Центральная, д.49. ОГРН 1061105009811,в лице Терентьева Екатерина Александровна. Тел.96-1-46. ИНН : 1119005368/111901001","магазин «У Ксюши» Ижемский район,д. Бакур, ул. Центральная, д. 49",  
,12260,02/02/12,18/08/06,17/08/13,11МЕ004013коп,"ООО  ""Ксюша"", по адресу:  Ижемский район,д. Бакур, ул. Центральная, д.49. ОГРН 1061105009811,в лице Терентьева Екатерина Александровна. Тел.96-1-46. ИНН : 1119005368/111901001","магазин ""У Ксюши"" Ижемский район,д. Варыш, ул. Ручейная, 66",  
,12260,02/02/12,18/08/06,17/08/13,11МЕ004013коп,"ООО  ""Ксюша"", по адресу:  Ижемский район,д. Бакур, ул. Центральная, д.49. ОГРН 1061105009811,в лице Терентьева Екатерина Александровна. Тел.96-1-46. ИНН : 1119005368/111901001","магазин ""У Ксюши"" Ижемский район,с. Сизябск, ул. Школьная, 44",  
,12260,02/02/12,18/08/06,17/08/13,11МЕ004013осн,"ООО  ""Ксюша"", по адресу:  Ижемский район,д. Бакур, ул. Центральная, д.49. ОГРН 1061105009811,в лице Терентьева Екатерина Александровна. Тел.96-1-46. ИНН : 1119005368/111901001", ,  
,12312,31/01/12,31/01/12,24/09/12,11МЕ004002коп,"Потребительское общество ""Шонди"", по адресу:  Ижемский район,с. Мохча, ул. Центральная, д.131. ОГРН 1021101096697,в лице Филиппова Надежда Андреевна. тел. 9-52-36, 9-52-32. ИНН : 1119002832/111901001","магазин ТПС №4 Ижемский район,д. Гам, ул. Центральная, д. 35",  
,12312,31/01/12,25/09/06,24/09/12,11МЕ004002коп,"Потребительское общество ""Шонди"", по адресу:  Ижемский район,с. Мохча, ул. Центральная, д.131. ОГРН 1021101096697,в лице Филиппова Надежда Андреевна. тел. 9-52-36, 9-52-32. ИНН : 1119002832/111901001","магазин ТПС № 1 Ижемский район,с. Мохча, ул. Центральная, д.131",  
,12312,31/01/12,25/09/06,24/09/12,11МЕ004002осн,"Потребительское общество ""Шонди"", по адресу:  Ижемский район,с. Мохча, ул. Центральная, д.131. ОГРН 1021101096697,в лице Филиппова Надежда Андреевна. тел. 9-52-36, 9-52-32. ИНН : 1119002832/111901001", ,  
,12312,31/01/12,25/09/06,24/09/12,11МЕ004002коп,"Потребительское общество ""Шонди"", по адресу:  Ижемский район,с. Мохча, ул. Центральная, д.131. ОГРН 1021101096697,в лице Филиппова Надежда Андреевна. тел. 9-52-36, 9-52-32. ИНН : 1119002832/111901001","магазин ТПС № 2 Ижемский район,с. Мохча, ул. Центральная, д.200",  
,12312,31/01/12,25/09/06,24/09/12,11МЕ004002коп,"Потребительское общество ""Шонди"", по адресу:  Ижемский район,с. Мохча, ул. Центральная, д.131. ОГРН 1021101096697,в лице Филиппова Надежда Андреевна. тел. 9-52-36, 9-52-32. ИНН : 1119002832/111901001","магазин ТПС № 6 Ижемский район,д. Мошьюга, д.67",  
,12326,26/12/11,05/10/06,04/10/12,11МЕ003986осн,"ООО «Веста», по адресу:  Ижемский район,п. Том, ул. Ручейная, д. 25. ОГРН 1021101097170,в лице Александра Николаевна Горчакова. Тел. 93-1-97. ИНН : 1119002864/111901001", ,  
