№ п/п,Наименование организации,ИНН организации,ОГРН организации,Адрес места нахождения организации (юридический адрес),Адрес осуществления вида деятельности ,Регистраци-онный номер организации Серия лицензии Номер лицензии,"Дата выдачи лицензии (месяц, число, год)","Дата окончания действия лицензии (месяц, число, год)",Продление   лицензии ,Основание и дата переоформления лицензии,"Дата приоста-новления действия лицензии (месяц, число, год)","Дата возобно-вления действия лицензии (месяц, число, год)","Дата прекра-щения действия лицензии (месяц, число, год)","Дата аннули-рования (месяц, число, год)",Дата прове-дения последней проверки,Примечание
52,"ООО ""Акваклуб""",6714027030,1066714006226,"214550, Смоленская область, Смоленский район, дер. Жуково, т/б ""Хвойная""","214550, Смоленская область, Смоленский район, дер. Жуково, т/б ""Хвойная"" (бар)",№ 1305               Г 254944,12 сентября 2006,по 12 сентября 2011,,,,,,,,
53,"ООО ""ЛАРЕЦ""",6714027023,1066714006237,"214530, Смоленская область, Смоленский район, пос. Печерск, ул. Смоленская, 16","214530, Смоленская область, Смоленский район, пос. печерск, ул. Смоленская, д. 16 (торговый отдел магазина)",№ 1301               Г 254945                     № 2058                              Г 301791,12 сентября 2006                  04 октября 2011,по 12 сентября 2011                   до 04 октября 2016,,,,,,,,
,,,,,"214006,Смоленская область, г. Смоленск, пос. 430 км, д. 15 (отдел в магазине)",,,,,,,,,,,
54,"ООО ""ТРАКТИР""",6714027954,1076714001000,"214560, Смоленская область, Смоленский район, д. Ермаки, 4058 км. Автомагистрали Москва-Минск","214560, Смоленская область, Смоленский район, д. Ермаки, 408 км. Автомагистрали Москва-Минск (кафе-бар)",№ 1531                     Г 679533,25 июля 2007,по 25 июля 2012,,,,,,,,
,,,,,"216023, Смоленская область, Смоленский район, д. Архиповка, ул. Центральная, д. 2-а (бар-кафетерий)",,,,,,,,,,,
55,"ЗАО ""Лавис-Транзит""",6730021477,1026700669478,"216032, Смоленская область, Смоленский район, 386 км автодороги Москва-Минск","216032, Смоленская область, Смоленский район, 386 км автодороги Москва-Минск (кафе)",№ 1523               Г 679521,11 июля 2007,по 11 июля 2012,,,,,,,,
56,"ООО ""Сатурн""",6714011792,1026700673636,"214530, Смоленская область, Смоленский район, п. Печерск, ул. Смоленская, д. 20","214530, Смоленская область, Смоленский район, п. Печерск, ул. Школьная, д. 2-б (магазин)",№ 1512               Г 679507,22 июня 2007,по 22 июня 2012,,,,,,,,
57,ООО  им. Мичурина,6714024375,1046729300970,"214532, Смоленская область, Смоленский район, д. Дивасы, ул. Мичурина, д. 23","214532, Смоленская область, Смоленский район, д. Дивасы (закусочная)",№ 1465                     Г 679451,29 марта 2007,по 29 марта 2012,,,,,,,,
,,,,,"214032, Смоленская область, г. Смоленск, п. Анастасино (закусочная)",,,,,,,,,,,
58,"ООО ""Ромашка""",6714028570,1086714000097,"214530, Смоленская область, Смоленский район, с. Печерск, ул. Минская, 32-а","214530, Смоленская область, Смоленский район, с. Печерск, п. АЗС-1, 384 км., ф/д Москва-Минск (магазин)",№ 1696               Г 679742,28 июля 2008,по 28 июля 2013,,,,,,,,
59,"ООО ""Веста""",6714028813,1086714000405,"214506, Смоленская область, Смоленский район, д. Сметанино, ул. Ветеренов, д. 10","214506, Смоленская область, Смоленский район, д. Сметанино, ул. Ветеранов, д. 10 (магазин)",№ 1694                  Г 679737,28 июля 2008,по 28 июля 2013,,,,,,,,
60,"ООО ""АССА""",6713004489,1026700645993,"216041, Смоленская область, Смоленский район, д. Пындино, АЗС ""АССА""","216740, Смоленская область, Руднянский район, п. Голынки, ул. Витебская, д. 1-а (кафе)",№ 1667               Г 679687,08 мая 2008,по 08 мая 2013,,,,,,,,
,,,,,"Смоленская область, Шумячский район, д. Дубовичка (кафе)",,,,,,,,,,,
,,,,,"Смоленская область, Смоленский район, д. Пындино, АЗС ""АССА"" (закусочная)",,,,,,,,,,,
61,"ООО ""ПЛАТОНОВА""",6714028690,1086714000262,"214518, Смоленская область, Смоленский район, с. Пригорьское, ул. Мира, 3, 63","214515, Смоленская область, Смоленский район, д. Моготово, ул. Школьная, д. 10 (закусочная)",№ 1657               Г 679678,17 апреля 2008,по 17 апреля 2013,,,,,,,,
