"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО Куйтунский район",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
32.,"ООО ""Сибирский Бизнес Регион""     ИНН 3814012138  переоформление     ","Иркутская область, г. Зима, ул. Ульяны Громовой, 56",А 002290 № 2 от 28.02.2012г. до 01.01.2013г.,"п. Харик, ул. К.Маркса, 45 - отдел",,,,,,
,,,,"с. Харик, ул. Молодежная, 18-1 – отдел",,,,,,
33.,ООО «Старт»                         ИНН 3812120956,"г.Иркутск, ул.Ракитная,14",38 МЕ 003422 АН00636Пр18 от 09.09.2010г.,"с.Большой Кашелак, ул.Совхозная,5 - отдел",,,,,г. Иркутск,
,,,,"с.Карымск, ул.Ленина,4а - отдел",,,,,,
34.,ООО «Заряд» переоформление ИНН  3812102153,"г.Иркутск, ул.Ракитная,14",38 МЕ 003452 АН00494Пр20 от 28.10.2010г. до 07.07.2013г. Взамен АН00494Пр21 от 24.11.10 до 07.07.2013г.   Взамен: АН00494Пр22 от 31.12.2010 г. до 07.07.2013 г.,"ст.Тулюшка, ул.Комсомольская, 1 - отдел",,,,,г. Иркутск,
35.,ООО «Пять капель»                       ИНН 3808155025,"г.Иркутск, пер.Черемховский,7б", взамен А 154366 №15 от 25.09.2010г. по 20.12.2012г.                        Взамен: А 154362 №9 от 18.07.2010г.  по 20.12.201 г.  ,"р.п. Куйтун, ул.Карла Маркса, 55 – отдел",,,,,г. Зима,
,,,,"р.п. Куйтун, ул.Вокзальная, 29 – отдел",,,,,,
36.,"ООО ""Вектор Север""                   ИНН 3805710496   переоформление","г. Братск, ул. Гайнулина, № 1А/1","38МЕ 006514 от 09.07.2012 взамен 38 МЕ 006254 № 686 от 24.12.2010г. до 27.05.2011г. Взамен 38 МЕ 006263 № 696 от 04.02.11 до 27.05.2011г. Взамен 38МЕ006271 № 702 от 22.02.2011г.  До 27.05.2011 г.       
Взамен   38 МЕ 006276 № 709 от 21.03.2011 г.  До 27.05.2011г. Взамен:  38 МЕ 006292 № 722 от 22.04.2011 г. до 27.05.2011 г.","Иркутская область,Куйтунский район,с.Тулюшка,ул.Ленина,42А",,,,,г. Братск,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,"Взамен 38 МЕ 006263 № 696 от 04.02.11 до 27.05.2011г.     Взамен 38МЕ 006271 № 702 от 22.02.2011г.  До 27.05.2011 г.      
Взамен   38 МЕ 006276 № 709 от 21.03.2011 г.  До 27.05.2011г. Взамен:  38 МЕ 006292 № 722 от 22.04.2011 г. до 27.05.2011 г.  Взамен 38 МЕ 006379 № 806 от 08.08.2011 до 27.05.2012          Взамен 38 МЕ 006500 № 925 от 18.06.2012 до 27.05.2013",,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
