Выписка из реестра действующих лицензий,,,,,,,,,,
 за период с  начала работы по 01.10.12,,,,,,,,,,
,,,,,,,,,,
,Лицензиат,ИНН,Срок действия,,Рег.ном,Бланк,Юридический адрес,Адрес осуществления деятельности,Дата приостановления,Дата возобновления
538,"ООО ""Узбекистан""",2420001018,10.03.09,10.03.14,6361-АР,106621,"663491, Кежемский район, г.Кодинск, ул.Гайнулина, 9 А","магазин Кежемский район, г.Кодинск, ул.Гайнулина, 9 А (продажа всей алкогольной продукции.)", , 
539,"ООО ""Хоум""",2466216224,10.03.09,10.03.14,6362-АР,106628,"660017, г. Красноярск, ул. Красной Армии, д. 16 А","Ресторан ""Хоум"" г. Красноярск, ул.Красной Армии, 16 А, пом. 1 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
540,"ООО ""ЯМС""",2464079861,10.03.09,10.03.14,6363-АР,106629,"660079, г. Красноярск, ул. Семафорная,  д.189 А","Павильон г.Красноярск, ул.Семафорная, 189 А (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
,,,,,,,,"Павильон г.Красноярск, ул.Матросова, 26 (продажа всей алкогольной продукции, кроме спирта питьевого.)",,
541,"ООО ""Мир продовольствия +""",2443035246,11.03.09,11.03.14,6364-АР,106630,"662150, г. Ачинск,  шоссе Байкал, строение 3","магазин г.Ачинск,  микрорайон 1,  42 А, пом.39 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
542,"ООО ""Светофор""",2411011549,10.03.09,10.03.14,6367-АР,106623,"663035, Емельяновский район, пос.Арей, ул.Центральная, 21","Магазин Емельяновский район, пос.Арей, ул.Центральная, 21 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
543,"ООО ""У Аслана""",2460014670,11.03.09,11.03.14,6369-АР,106631,"660028, г. Красноярск, ул.Баумана, 26","предприятие общественного питания г. Красноярск, ул.Баумана, 26, пом.7 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
544,"ООО ""Визави""",2463076709,13.03.09,13.03.14,6370-АР,106636,"660028, г. Красноярск, ул. Телевизорная,  д. 1","Магазин г. Красноярск, ул.Телевизорная, 1, стр. 31, корп. 1, пом. 2 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
545,"ООО ""ДАМТЭЗ""",2462000094,10.03.09,10.03.14,6371-АР,106668,"660013, г. Красноярск, ул. Кишиневская,  д.10","Магазин г.Красноярск, ул.Кишиневская, 10 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
546,"ООО ""Светлана""",2404007252,12.03.09,12.03.14,6372-АР,106638,"662520, Березовский район, пос. Березовка, ул. Солнечная, д. 14","Магазин Березовский район, пос.Березовка, ул.Солнечная, 14 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
547,"ООО ""Альянс-С""",2453000228,16.03.09,16.03.14,6375-АР,106634,"663690, г.Зеленогорск, ул.8 Марта, 10","магазин г.Зеленогорск, ул.8 Марта, 10 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
548,"ООО ""Медео""",2460055838,11.03.09,11.03.14,6376-АР,106635,"660028, г. Красноярск, ул.8 Марта, 20","магазин г. Красноярск, ул.8 Марта, 20, пом.193 (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
549,"ООО ""Экспресс""",2428004758,11.03.09,23.10.12,6377-АР,106639,"663840, Нижнеингашский район, п.Нижняя Пойма, ул.Трактовая, 179 Б","Магазин Нижнеингашский район, п.Нижняя Пойма, ул.Трактовая, 179 Б (продажа всей алкогольной продукции, кроме спирта питьевого.)", , 
