"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО города Братска",,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,
,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями)
,,,,"Магазин

г.Братск, ул. Мира, 51","
",,,,
,,,,"Магазин

г.Братск,ул. Рябикова, 27","
",,,,
,,,,"Магазин

г.Братск,  ул. Гагарина, 95а","
",,,,
,,,,"Магазин

г.Братск,ул. Ленина, 3","
",,,,
,,,,"Отдел в магазине

г.Братск,ж.р. Центральный, ул. Южная, 103","
",,,,
,,,,"Торговый отдел
в универсальном магазине
г.Братск,ул. Крупской, 44","
",,,,
,,,,"Магазин

г.Братск,ул.Ленина, 22а","
",,,,
210,"ООО фирма ""Вершина""
ИНН: 3823050034","Межрайонная ИМНС России №15 по Иркутской обл
Постановление(св-во) от 27.11.2002","38МЕ006061 496 от 17.04.2009
 срок действия с 17.04.2009 по 03.11.2013;     ","Магазин

ул. Пихтовая, 30а","
",,,,
,,,,"Магазин

ул. Геофизическая, 4","
",,,,
,,,,"Магазин

ж.р. Центральный, ул Рябикова, 36, пом. 1001","
",,,,
211,"ООО фирма ""ЛАВР""
ИНН: 3805204002","Межрайонная ИМНС России № 15 по Иркутской области
Постановление(св-во) от 18.10.2002","38МЕ006012 453 от 08.12.2008
 срок действия с 08.12.2008 по 07.12.2013;     ","Бар

ж.р. Гидростроитель, ул. Вокзальная, 12б","
",,,,
,,,,"Бар

ж.р. Гидростроитель, ул. Сосновая, 10б","
",,,,
,,,,"Бар

ж.р. Энергетик, ул. Наймушина, 32","
",,,,
212,"ООО Фирма ""ОВИ""
ИНН: 3805401836","Межрайонная ИМНС России № 15 по Иркутской области
Постановление(св-во) от 11.12.2002","38МЕ006303 734 от 24.05.2011
 срок действия с 25.05.2011 по 24.05.2014;     ","Магазин
""На троих""
г. Братск, ул. Холоднова, 2/29","
",,,,
,,,,"Отдел в магазине
""Москва""
г. Братск, П 26 214 01 00","
",,,,
,,,,"Торговый отдел

г. Братск, ж.р. Центральный, ул. Коммунальная ,11, здание № 27,склад № 4","
",,,,
,,,,"Магазин
""На здоровье""
г. Братск, ул. Енисейская, 48","
",,,,
,,,,"Торговый отдел

г. Братск, П 19 02 03 01, № 03, помещение 01","
",,,,
,,,,"Магазин
""Три поросенка""
г. Братск, ул. Наймушина, 5а","
",,,,
213,"ООО Фирма ""СПЛАВ""
ИНН: 3804012530","ИМНС России по Центр. Округу г. Братска Иркут. Обл
Постановление(св-во) от 27.11.2002","38 МЕ006277 710 от 23.03.2011
 срок действия с 23.03.2011 по 22.03.2012","Магазин
"" Лимон""
г. Братск, ж.р. Центральный, ул. Советская, 2, 1","
",,22.03.2012,,
214,"ООО фирма ""Формула Компьютер Компани""
ИНН: 3804019215","ИМНС РФ по Центральному округу г.Братска Ирк. обл.
Постановление(св-во) от 28.07.1997","38МЕ006011 452 от 05.12.2008
 срок действия с 06.12.2008 по 05.12.2013;     ","Ресторан

ж.р. Центральный, ул. Комсомольская, 37","
",,,,
,,,,"Бар
1 этаж
ж.р. Центральный, ул. Комсомольская, 37","
",,,,
,,,,"Бар
2 этаж
ж.р. Центральный, ул. Комсомольская, 37","
",,,,
,,,,"Бар
при бильярдной 2 этаж
ж.р. Центральный, ул. Комсомольская, 37","
",,,,
,,,,"Бар
при бильярдной 3 этаж
ж.р. Центральный, ул. Комсомольская, 37","
",,,,
,,,,"Бар
ночного клуба на 3 этаже
ж.р. Центральный, ул. Комсомольская, 37","
",,,,
,,,,"Бар
ВИП зал 3 этаж
ж.р. Центральный, ул. Комсомольская, 37","
",,,,
,,,,"Кафе
1 этаж
ж.р. Центральный, ул. Комсомольская, 37","
",,,,
,,,,"Кафе
2 этаж
ж.р. Центральный, ул. Комсомольская, 37","
",,,,
215,"ООО фирма ""ЦЕНТР""
ИНН: 3805208624","МИМНС  России №15 по Иркутской обл
Постановление(св-во) от 22.11.2002","38МЕ005991 434 от 22.10.2008
 срок действия с 22.10.2008 по 21.10.2013;     ","Магазин

ж.р. Гидростроитель, ул. Гайнулина, 1а","
",,,,
216,"ООО ""Вектор Север""
ИНН: 3805710496","Межрайонная ИФНС № 15 по Иркутской области
Постановление(св-во) от 16.09.2009","38МЕ006514 939 от 09.07.2012
 срок действия с 09.07.2012 по 27.05.2013;     взамен: 38МЕ006500 рег.№ 925 от 18.06.2012 с 18.06.2012 до 08.07.2012","Бар
""Триумф""
Братский район, с. Покосное, ул. О. Кошевого, 39","
",,,,
,,,,"Отдел в магазине

г. Братск, ж.р. Чекановский, ул. Почтовая, 46А","
",,,,
,,,,"Отдел в магазине
""Сюзанна""
Братский район, с. Покосное, ул. Южная, 27 А","
",,,,
,,,,"Отдел в магазине

Братский район, с Тангуй, ул. Кутузова, 7","
",,,,
,,,,"Отдел в магазине
""Пятерочка""
г. Нижнеудинск, ул. Транспортная, 9","
",,,,
,,,,"Отдел в магазине

г. Братск, ж.р. Гидростроитель, ул. Енисейская, 110 А","
",,,,
,,,,"Отдел в магазине

г. Братск, ж.р. Падун, переулок 3-й Химлесхозовский, 1","
",,,,
,,,,"Торговый отдел
в кафе ""Кристина""
Куйтунский район, с.Тулюшка, ул. Ленина, 42 А","
",,,,
,,,,"Магазин

г. Братск, ж.р. Центральный, проспект Ленина, 40, пом. 1002","
",,,,
217,"ООО ""Крепость""
ИНН: 3805712341","Межрайонная ИФНС № 15 по Иркутской области
Постановление(св-во) от 25.10.2010","38МЕ006516 941 от 10.07.2012
 срок действия с 10.07.2012 по 14.02.2013;     взамен: 38МЕ006503 рег. № 928 от 21.06.2012 с 21.06.2012 до 09.07.2012","Отдел в магазине

г. Братск, ж.р. Центральный, ул. Комсомольская, 51В","
",,,,
,,,,"Отдел в магазине
 № 5 ""Овощи-фрукты""
г. Братск, ж.р. Осиновка, ул. Промышленная, 2","
",,,,
,,,,"Бар
в кафе
г. Братск, ж.р. Энергетик, ул. Холоднова, 2, пом. 1001","
",,,,
,,,,"Отдел в магазине
""Дубок""
Нижнеилимский район, п. Новая Игирма, квартал 3, дом 19-44","
",,,,
,,,,"Кафе
- шашлычная
г. Братск, ж.р. Центральный, ул. Муханова, 11","
",,,,
,,,,"Отдел в магазине

г. Братск, ж.р. Центральный, ул. Коммунальная, 1А, стр. 8, пом. 1011","
",,,,
,,,,"Магазин

г. Братск, ж.р. Гидростроитель, ул. Байкальская, 151А","
",,,,
,,,,"Магазин

г.Братск, ж.р. Центральный, ул. Подбельского, 43 А","
",,,,
,,,,"Магазин
с мини-кафе
г. Братск, ж.р. Центральный, ул. Советская, 1, пом. 1006","
",,,,
,,,,"Отдел в магазине

г. Братск, ж.р. Центральный, ул. Южная, 111, пом. 1001","
",,,,
218,"ООО ""Нике""
ИНН: 3804034580","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 06.04.2006","38МЕ006321 747 от 16.06.2011
 срок действия с 16.06.2011 по 15.06.2012; 16.06.2012-14.06.2013;    ","Магазин
""Романовский""
г. Братск, ул. Рябикова, 57","
",,,,
219,"ООО ""СОВторг""
ИНН: 3804034478","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 30.03.2006","38МЕ006492 917 от 05.06.2012
 срок действия с 05.06.2012 по 04.06.2013;     ","Магазин
""Волна""
г. Братск, ж.р. Центральный, ул. Курчатова, 40, пом. 1001","
",,,,
220,"ООО ""ЭНЕРГЕТИК""
ИНН: 3805704904","Межрайонная ИФНС № 15 по Иркутской обл. и УОБАО
Постановление(св-во) от 22.09.2006","38МЕ006502 927 от 20.06.2012
 срок действия с 20.06.2012 по 19.06.2015;     ","Закусочная
""Энергетик""
г. Братск, ж.р. Энергетик, ул. Гиндина, 13","
",,,,
221,"ООО ""Кузнецова К.Н.""
ИНН: 3804034566","ИФНС по Центральному округу г.Братска Ирк. Обл.
Постановление(св-во) от 06.04.2006","38МЕ006507 932 от 29.06.2012
 срок действия с 30.06.2012 по 29.05.2015;     ","Магазин

г. Братск, ж.р. Центральный, проспект Ленина, 21, пом. 1002","
",,,,
,,,,"Магазин
""Хлеб""
г. Братск, ж.р. Центральный, ул. Мира, 3, пом. 1001","
",,,,
,,,,"Магазин
""Колосок""
г. Братск, ж.р. Центральный, ул. Советская, 27а, пом. 1004","
",,,,
,,,,"Магазин
""Овсень""
г. Братск, ж.р. Центральный, ул. Коммунальная, 15, строение 11","
",,,,
,,,,"Магазин
""Булочная № 14""
г. Братск, ж.р. Центральный, ул. Малышева, 14/33, пом. 1013","
",,,,
,,,,"Магазин
""Каравай""
г. Братск, ж.р. Центральный, ул. Гагарина, 95, пом. 1001","
",,,,
,,,,"Магазин
""Булочная""
г. Братск, ж.р. Центральный,  ул. Металлургов, 21, пом. 1003","
",,,,
,,,,"Магазин

г. Братск, ж.р. Центральный, ул. Энгельса, 29, пом. 1008","
",,,,
,,,,"Магазин
""Нива""
г. Братск, ж.р. Центральный, ул. Советская, 3, пом. 1002","
",,,,
222,"ООО ""Купец""
ИНН: 3805703121","МИФНС № 15 по Иркутской обл. и УОБАО
Постановление(св-во) от 23.12.2005","38МЕ006506 931 от 28.06.2012
 срок действия с 28.06.2012 по 27.06.2015","Отдел в магазине

г. Братск, ж.р. Гидростроитель, ул. Чехова, 21","
",,,,
,,,,"Отдел в магазине

г. Братск, ж.р. Осиновка, ул. Спортивная, 9, кв. 1002","
",,,,
,,,,"Отдел в магазине

г. Братск, ж.р. Гидростроитель, ул. Байкальская, 78, № 1","
",,,,
223,"ООО ""Мельница""
ИНН: 3803000042","ИМНС России по Центральному округу г.Братска Ирк.о
Постановление(св-во) от 10.12.2002","38МЕ006505 930 от 27.06.2012
 срок действия с 29.06.2012 по 28.06.2013","Магазин
""Славянка""
г. Братск, ж.р. Центральный, ул. Муханова, 10, пом. 1001","
",,,,
,,,,"Магазин
""Мельница""
г. Братск, ж.р. Центральный, ул. Рябикова, 30, пом. 1001","
",,,,
224,"ООО ""Миллер""
ИНН: 3804034118","ИФНС по Центральному округу г.Братска Ирк. Обл.
Постановление(св-во) от 16.02.2006","38МЕ006508 933 от 29.06.2012
 срок действия с 29.06.2012 по 28.06.2017","Магазин
""Байкал""
г. Братск, ул. 40 лет Победы, 14, 0001","
",,,,
225,"ООО ""Норма""
ИНН: 3805703322","МИФНС № 15 по Иркутской области и УОБАО
Постановление(св-во) от 11.02.2006","38МЕ006498 923 от 15.06.2012
 срок действия с 15.06.2012 по 01.06.2013;     взамен:38МЕ006491, рег. №916 от 02.06.2012 с 02.06.2012 до 14.06.2012   ","Торговый отдел
в торговом центре ""Пурсей""
г. Братск, ж.р. Энергетик, ул. Наймушина, 32","
",,,,
,,,,"Торговый отдел
в универсальном магазине ""Ангара""
г. Братск, ж.р. Гидростроитель, ул. Енисейская, 56, пом. 1001","
",,,,
,,,,"Торговый отдел
в торговом центре ""Виктория""
г. Братск, ж.р. Падун, ул. Гидростроителей, 47А","
",,,,
,,,,"Торговый отдел
в универсальном магазине ""Каскад""
г. Братск, ж.р. Энергетик, ул. Зверева, 7","
",,,,
226,"ООО ""ПЕШКОВА""
ИНН: 3804033925","ИФНС по Центральному округу г.Братска Ирк. Обл.
Постановление(св-во) от 31.01.2006","38МЕ006504 929 от 27.06.2012
 срок действия с 28.06.2012 по 27.06.2013","Буфет

г. Братск, ж.р. Центральный, ул. Кирова, 27, пом. 1004","
",,,,
227,"ООО ""Тандем""
ИНН: 3805703354","МИФНС № 15 по Иркутской области и УОБАО
Постановление(св-во) от 17.02.2006","38МЕ006501 926 от 18.06.2012
 срок действия с 18.06.2012 по 17.06.2015","Магазин

г. Братск, ж.р. Гидростроитель, П 26540101","
",,,,
,,,,"Отдел в магазине
""Первый""
г. Братск, ж.р. Осиновка, ул. Промышленная, 3","
",,,,
228,"ООО ""АНИ плюс""
ИНН: 3804032992","ИФНС по Центральн. Округу г.Братска Ирк.обл.
Постановление(св-во) от 15.11.2005","38МЕ006510 935 от 02.07.2012
 срок действия с 02.07.2012 по 01.07.2013;     ","Отдел в магазине

г. Братск, ж.р. Центральный, проспект Ленина, 2/73","
",,,,
,,,,"Торговый отдел
в торговом центре ""Багульник""
г. Братск, ж.р. Центральный, ул. Крупской, 8","
",,,,
,,,,"Отдел в магазине

г. Братск, ж.р. Центральный, ул. Карла Маркса, 12","
",,,,
229,"ООО ""ДЮЖИНА""
ИНН: 3805104551","МИМНС России № 15 по Иркутской обл.
Постановление(св-во) от 03.12.2002","38МЕ006358 783 от 12.07.2011
 срок действия с 12.07.2011 по 11.07.2012; 12.07.2012-11.07.2013;    ","Магазин
""Дюжина""
г. Братск, ул. В. Синицы, 8","
",,,,
230,"ООО ""Жемчужина""
ИНН: 3804033273","ИФНС по Центральному округу г. Братска Иркут.обл.
Постановление(св-во) от 01.12.2005","38МЕ006509 934 от 02.07.2012
 срок действия с 02.07.2012 по 01.07.2013;     ","Магазин
""Маркет-S""
г. Братск, ул. Возрождения, 1а","
",,,,
231,"ООО ""Компания ""Вектор""
ИНН: 3805703724","МИФНС № 15 по Иркутской области и УОБАО
Постановление(св-во) от 06.04.2006","38МЕ006520 946 от 23.07.2012
 срок действия с 23.07.2012 по 05.07.2013;     взамен: 38МЕ006513 рег. № 938 от 06.07.2012 с 06.07.2012 до 22.07.2012","Отдел в магазине

г. Братск, ж.р. Энергетик, ул. Наймушина, 40А","
",,,,
,,,,"Отдел в магазине
""Некст""
г. Братск, ж.р. Гидростроитель, ул. Сосновая, 2, пом. 1001","
",,,,
,,,,"Магазин

г. Братск, ж.р. Центральный, ул. Баркова, 13, пом. 1003","
",,,,
,,,,"Отдел в магазине

г. Братск, ж.р. Гидростроитель, ул. Гайнулина, 46","
",,,,
,,,,"Отдел в магазине
""Алина""
г. Братск, ж.р. Гидростроитель, ул. Енисейская, 64б","
",,,,
,,,,"Отдел в магазине
""Крисс""
г. Братск, ул. Гурьевская, 2","
",,,,
232,"ООО ""Сибирь-Алко""
ИНН: 3805705175","Межрайонная ИФНС № 15 по Иркутской области
Постановление(св-во) от 13.11.2006","38МЕ006518 944 от 18.07.2012
 срок действия с 18.07.2012 по 22.03.2017;     взамен: 38МЕ006459 рег.№ 885 от 23.03.2012 с 23.03.2012 до 17.07.2012","Магазин

г. Братск, ж.р. Центральный, ул. Курчатова, 30А, пом. 1001","
",,,,
,,,,"Отдел в магазине

г. Братск, ж.р. Центральный, ул. Цветочная, 3А, пом. 1001","
",,,,
,,,,"Магазин

г. Братск, ж.р. Энергетик, ул. Пирогова, 13","
",,,,
233,"ООО ""Талисман""
ИНН: 3804033570","ИФНС по Центральному округу г.Братска Ирк. Обл.
Постановление(св-во) от 20.12.2005","38МЕ006512 937 от 06.07.2012
 срок действия с 06.07.2012 по 05.07.2013;     ","Отдел в магазине
""Пятерочка""
г. Братск, п. Порожский, ул. 20 Партсъезда, 233/5","
",,,,
234,"ООО ""У Камина""
ИНН: 3805704397","МИФНС № 15 по Иркутской области и УОБАО
Постановление(св-во) от 25.06.2006","38МЕ006369 794 от 26.07.2011
 срок действия с 26.07.2011 по 25.07.2012; 26.07.2012-25.07.2015;    ","Закусочная
""Шашлычная""
г. Братск, ул. Мечтателей, 14","
",,,,
3,"ООО ""ВЕКТОР С""
ИНН: 3805711595","МИФНС № 15 по Ирк. обл.
Постановление(св-во) от 27.04.2010","38МЕ006525 950 от 31.07.2012
 срок действия с 31.07.2012 по 30.07.2013;     ","Магазин

г. Братск, ж.р. Гидростроитель, ул. Гайнулина, 1А, № 11","
",,,,
,,,,"Магазин

г. Тайшет, ул. Пушкина, 6 - 7Н","
",,,,
,,,,"Магазин

г. Усть-Илимск, ул. Братская, 50А","
",,,,
,,,,"Отдел в магазине

г. Братск, ж.р. Центральный, ул. Коммунальная, 11, № 27","
",,,,
,,,,"Торговый отдел
в торговом центре ""Арена""
г. Братск, ж.р. Центральный, ул. Крупской, 56","
",,,,
,,,,"Магазин

г. Братск, ж.р. Гидростроитель, ул. Гайнулина, 1А/2","
",,,,
10,"ООО ""Кировский""
ИНН: 3804034894","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 10.05.2006","38МЕ006519 945 от 20.07.2012
 срок действия с 21.07.2012 по 20.07.2013;     ","Отдел в магазине

г. Братск, ул. Кирова, 8, -62/63, пом. 1001","
",,,,
17,"ООО ""ОНИКС""
ИНН: 3804034559","ИФНС по Центральному округу г. Братска Ирк. обл.
Постановление(св-во) от 04.04.2006","38МЕ006521 947 от 24.07.2012
 срок действия с 24.07.2012 по 23.07.2013;     ","Отдел в магазине

г. Братск, ж.р. Центральный, переулок Новый, 9А, пом. 1003","
",,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
