Городской округ Саранск,,,,,,,,,,,,
К-во,Регис-,Серия,"Наименование организации,",,Адреса,Кол - тво,Срок ,№ ,Дата,,Ф.И.О. ,
ор-,тра-,лицензии,"юридический адрес, почтовый адрес",,торговых объектов,торговых,действия,"телефона,",приоста-,,руководителя (учредителя),
гани,цион-,,,,,объектов,лицензииё,факс,новки и,,,
за,ный,,,ИНН,,,,,возобнов-,,,
ций,№,,,ОГРН,,,,,ления,,,
в,лицен-,,,,,,,,лицензии,,,
р-не,зии,,,,,,,,,,,
,,,,,"магазин ""Марианна 5"", с. Чукалы, ул. Советская, 52, Ардатовский район",,,,,,,
,,,,,"магазин ""Продукты"", с. Каласево, ул. Нижняя, 70, Ардатовский район",,,,,,,
,,,,,"м-н ""Дельфин"" с. Б.Игнатово, ул. Гражданская, 14в",,,,,,,
,,,,,"м-н ""Лариса"", с. Андреевка, ул. Первомайская, 60, Б.Игнатовский",,,,,,,
,,,,,"м-н ""Визит"" п. Ромоданово, ул. Касаткина, 3",,,,,,,
,,,,,"м-н ""Катя"" п. Ромоданово, ул. Заводская, 56 а",,,,,,,
,,,,,"м-н ""Продукты"" п. Садовский, ул. Центральная, 86а, Ромодановский",,,,,,,
,,,,,"м-н ""Катя-2"", п. Ромоданово, ул. Ленина, 214, Ромодановский район",,,,,,,
,,,,,"магазин ""Визит"", п. Ромоданово, ул. Вокзальная, 18",,,,,,,
,,,,,"магазин ""Продукты"", с. Пушкино, ул. Школьная, 3, Ромодановский район",,,,,,,
,,,,,"магазин ""Продукты"", п. Ромоданово, ул. Пушкина, 23",,,,,,,
,,,,,"магазин ""Продукты"", п. Ромоданово, ул. Центральная, 13",,,,,,,
,,,,,"магазин ""Продукты"", п. Ромоданово, ул. А.Лусс, 14",,,,,,,
,,,,,"магазин ""Продукты"", п. Махоркосовхоз, ул. Южная, 10, Ромодановский район",,,,,,,
,,,,,"м-н ""Продукты"" п. Кадошкино, ул. Пушкина, 36",,,,,,,
,,,,,"м-н ""Огонек"" п. Кадошкино, ул. Октябрьская, 7",,,,,,,
,,,,,"м-н ""Гельнур"", с. Б.Поляна, ул. Ленина, 10, Кадошкинский район",,,,,,,
,,,,,"магазин ""Продукты"", с. Паево, ул. Школьная, 20, Кадошкинский район",,,,,,,
,,,,,"магазин ""Продукты"", с. Лямбирь, ул. Большевитская, 54а",,,,,,,
,,,,,"м-н ""Валентина"" с. Первомайск, ул. Жигули, 1, Лямбирс",,,,,,,
,,,,,"м-н ""Садко"" с. Лямбирь, ул. Октябрьская, 102а",,,,,,,
,,,,,"м-н ""Продукты"" с. Лямбирь, ул. Комсомольская, 92а",,,,,,,
,,,,,"магазин ""Умарина"", с. Б.Елховка, ул. Октябрьская, 5а, Лямбирский район",,,,,,,
,,,,,"м-н ""Продукты"" с. Заречное, ул. Кооперативная, 53б, Красн",,,,,,,
,,,,,"магазин ""Продукты 1"", с. Ст. Горяши, ул. Центральная, Краснослободский ",,,,,,,
,,,,,"м-н ""Виктория"", п. З.Поляна, ул. Октябрьская, 38а",,,,,,,
,,,,,"м-н ""Багира"", п. Школа тракторных бригадиров, ул. Студенческая, 4а, З.Полянский",,,,,,,
,,,,,"м-н ""Людмила"", п. З.Поляна, ул. Есенина, 9а",,,,,,,
,,,,,"магазин ""Перекресток"", п. Умет, ул. Озерная, 7, З.Полянский район",,,,,,,
,,,,,"магазин ""Родной"", п. З.Поляна, ул. Комсомольская, 4а",,,,,,,
,,,,,"магазин ""Ночной огонек 1"", п. Умет, ул. Советская, З.Полянский район",,,,,,,
,,,,,"магазин ""Ночной огонек 6"", п. Умет, ул. Московская, 38а, З.Полянский район",,,,,,,
,,,,,"магазин ""Ночной огонек 3"", п. Умет, ул. Советская, 16, З.Полянский район",,,,,,,
,,,,,"магазин ""Продукты"", с. Н. Выселки, ул. Центральная, 159, З.Полянский район",,,,,,,
,,,,,"магазин ""Белая Береза"", с. Н.Выселки, ул. Центральная, 287, З.Полянский район",,,,,,,
,,,,,"магазин ""Продукты"", п. З.Поляна, ул. Горького, 4а",,,,,,,
,,,,,"магазин ""Продукты"", п. Умет, ул. Советская, З.Полянский район",,,,,,,
,,,,,"магазин ""Мария"", п. Умет, ул. Советская, 18 а, З.Полянский район",,,,,,,
,,,,,"магазин ""Юлиан"", п. Чамзинка, ул. Пролетарская, 70б",,,,,,,
