"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""Боханский район""",,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,
,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями)
43,"ООО ""Алмаз""",МИФНС № 17 по Иркутской области ,38МЕ003888 АН00857Пр3 от 30.12.2011г. до 12.08.2012г.,"1. магазин-с.Тараса, ул. Колхозная,19; 2. кафе - с. Тараса, ул. Колхозная, 19",,,,,Администрация г. Иркутска
44,ООО «Пашкова» ИНН 8503006268,МИНФНС России №7 по Иркутской области и УОБАО,"А 195016, рег.№ 26 от 16.12.2011г. до 16.12.2012г.","1. магазин «Антошка» - п. Бохан, ул. Колхозная,73.",,,,,
45,ООО «Меркурий» ИНН 8503006275,МИНФНС России №7 по Иркутской области и УОБАО,"А 195031, рег № 13 от 18.05.2012г. до 16.05.2013г.","1. магазин - п.Бохан, ул. Таежная,2 А; 2. магазин «Меркурий» - д. Херетин, ул. Трактовая,20.",,,,,
46,ООО «Фортуна » ИНН 8503006290,МИНФНС России №7 по Иркутской области и УОБАО,"А 195024, рег. № 6 от 07.03.2012г. до 07.03.2013г.","1. магазин «Фортуна» - п. Бохан ул. Ленина,65.",,,,,
47,ООО «Феникс-Т» ИНН 8503006300,МИНФНС России №7 по Иркутской области и УОБАО,А 195027 № 9 от 14.03.2012 до 15.02.2013г.,"1. магазин «Феникс-Т» - с. Тихоновка, ул. Свердлова,52; 2. магазин - с. Дундай, ул. Центральная,25; 3. магазин «Феникс» - с. Тихоновка, ул. Калинина,12А; 4. магазин - с. Тихоновка, ул. Ленина, 2Б  ",,,,,
48,ООО «Марина» ИНН 8503006317,МИНФНС России №7 по Иркутской области и УОБАО,"А 195021, рег.№ 3 от 15.02.2012г. до 15.02.2013г."," 1. магазин «Марина» - с. Александровск, ул. Усольская,12",,,,,
49,ООО «Багдад» ИНН 8503006405,МИНФНС России №7 по Иркутской области и УОБАО,Д 518647 № 12 30.12.2009 по 09.02.2012г.,"1. магазин «Багдад» - п. Бохан, ул. Карла Маркса,7б; 2. закусочная «Рейс» – п. Бохан, ул. Циолковского,4.",,,09.02.2012г.,,
50,"ООО ""Жемчужина"" ИНН 3849011872",МИФНС № 17 по Иркутской области,"Лицензия Д 518744, № 2 от 15.02.2011г. ","1. магазин ""Олеся"" - Иркутская область, Боханский район, с. Буреть, ул. Космонавтов,17",,,15.02.2012г.,,
51,ООО Селена» ИНН 3827027861,МИНФНС России № 12 по Иркутской области,Д 518757 № 4 от 24.02.11г.,"1. закусочная «У речки» - с. Дундай, ул. Школьная,2а.",,,24.02.2012г.,,
52,ООО «Ника» ИНН 8503006476,МИНФНС России №7 по Иркутской области и УОБАО,38МЕ 000974 08- РАП от 05.03.2007 по 05.03.2012г.,"1. магазин «Ласточка» - п. Бохан, ул. Гагарина.",,,05.03.2012г.,,Лицензионная палата УОБАО
