"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по Шелеховскому району",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
38,"ООО ""Надежда"" 3848004858",Межрайонная инспекция Федеральной налоговой службы№1 по Иркутской области (код 3848),"Г 888867 № 14
от  28.04.2012 
с 28.04.2012 до 28.04.2013
","Иркутская обл., Шелеховский район, с. Введенщина, ул. Мира, д. 32-Б",,,,,Администрация Шелеховского раона,
39,"ООО «ОбЖОРА»
3821013750
",Межрайонная инспекция Федеральной налоговой службы№1 по Иркутской области (код 3848),"Г 888848 № 65
от 27.10.2011
с 27.10.2011 до
27.10.2016
","Иркутская область, Шелеховский район, р.п. Большой Луг, ул. Ленинская, дом № 2 А, кафе-закусочная ""ОбЖОРА"" ",,,,,Администрация Шелеховского раона,
40,"ООО «Промтехсервис»
3821004579
",ИМНС РФ по г. Шелехову и Шелеховскому району (код 3821),"Г 888750 № 6
от 01.04.2009
08.12.2008
08.12.2013
","г.Шелехов, квартал 6, дом 1, магазин-кулинария «Кедр 1»,
4 микрорайон, дом 13,
магазин-кулинария «Кедр 2»
",,,,,Администрация Шелеховского раона,
41,"ООО «Прогресс»
3848000596
",Межрайонная инспекция Федеральной налоговой службы№1 по Иркутской области (код 3848),"Г 888770 № 31
от 24.11.2009
24.11.2009
24.11.2014
","г.Шелехов, ул. Космонавтов, д. 43, магазин № 39",,,,,Администрация Шелеховского раона,
42,"ООО ""Попутчик"" 3821014070",Межрайонная ИФНС России №1 по Иркутской области и УОБАО,"Г 888843 № 59
от 28.09.2011
с 28.09.2011 до
28.09.2012
","Иркутская область, Шелеховский район, 54 км автодороги Иркутск-Чита, кафе-шашлычная ""Святой Источник"".",,,,,Администрация Шелеховского раона,
43,"ООО «Придорожный сервис»
3821013929
",Межрайонная ИФНС России №1 по Иркутской области и УОБАО,"Г 888845 № 62
от 12.10.2011
с 12.10.2011 до
12.10.2012
","Иркутская область, г.Шелехов, Култукский тракт, № 36, кафе ""Централь""",,,,,Администрация Шелеховского раона,
44,"ООО ""Пекарня Большой Луг""  3848004216",Межрайонная инспекция Федеральной налоговой службы№1 по Иркутской области (код 3848),"Г 888850 № 70
от 22.12.2011
с 22.12.2011
до 22.12.2012
","Иркутская область, г.Шелехов, квартал 6, дом 29,  специализированный отдел в ТЦ ""Былина""

",,,,,Администрация Шелеховского раона,
45,ООО «Развитие» 3821013848,Межрайонная ИФНС России №1 по Иркутской области и УОБАО,"Г 888833 № 39
от  04.07.2011
с 04.07.2011
до 04.07.2013
","Иркутская область,     г. Шелехов, 4 микрорайон,  дом 78 А, магазин  «Мистер Твистер»;
г.Иркутск, микрорайон Крылатый, дом 7, магазин ООО «Развитие»
",,,,,Администрация Шелеховского раона,
46,"ООО «Радуга»
3848001840
",Межрайонная инспекция Федеральной налоговой службы№1 по Иркутской области (код 3848),"Г 888844 № 60
от 07.10.2011
с 07.10.2011 до
07.10.2012
","Иркутская область, г.Шелехов, квартал 9, дом 2, продовольственный магазин № 7

",,,,,Администрация Шелеховского раона,
47,"ООО «Родник»
3821013735
",Межрайонная ИФНС России №1 по Иркутской области и УОБАО,"Г 888847 № 64
от 12.10.2011
с 12.10.2011 до
12.10.2012
","Иркутская область, г.Шелехов, квартал 6, дом 25,  магазин ""Гастроном""

",,,,,Администрация Шелеховского раона,
