На 10.10.2012,,,,,,,
,,,,,,,
Наименование,ИНН,Место нахождения,Адрес места осуществления деятельности,Наименование места осуществления деятельности,Серия и номер лицензии,Дата начала,Дата окончания
"ООО ""Александр""",2502003915,"Приморский край, Артем, ул Кирова д.9/1","Приморский край, Артем, ул Ворошилова д.20",Магазин,ПК0059363/2776,06.09.2011,13.09.2016
"ООО ""Александр""",2502003915,"Приморский край, Артем, ул Кирова д.9/1","Приморский край, Артем, ул Рабочая 1-я д.70",Магазин,ПК0059363/2776,06.09.2011,13.09.2016
"ООО ""Александр""",2502003915,"Приморский край, Артем, ул Кирова д.9/1","Приморский край, Артем, ул Фрунзе д.56",Магазин ,ПК0059363/2776,06.09.2011,13.09.2016
"ООО ""Алмаз-ДВ""",2502031542,"Приморский край, Артем, ул Кирова д.72","Приморский край, Артем, ул Кирова д.72",Магазин,ПК0059845/3258,21.02.2012,22.02.2014
"ООО ""Алмикс""",2502026479,"Приморский край, Артем, ул Фрунзе д.48","Приморский край, Артем, ул Фрунзе д.48",Магазин,ПК0056152,04.05.2008,04.05.2013
"ООО ""Апрель""",2502003922,"Приморский край, Артем, ул Фрунзе д.30","Приморский край, Артем, ул Фрунзе д.30",Магазин,ПК0060230/3643,04.06.2012,05.06.2015
"ООО ""Артем""",2502032553,"Приморский край, Артем, ул Пионерская д.1","Приморский край, Артем, ул Кирова д.148а",Магазин,ПК0059398/2811,28.09.2011,05.10.2016
"ООО ""Артем-хлеб""",2502039492,"Приморский край, Артем, ул Норильская д.1","Приморский край, Артем, ул Кирова д.92/1, (помещение 1-6)",Магазин,ПК0060485/3898,03.08.2012,03.08.2013
"ООО ""Артем-хлеб""",2502039492,"Приморский край, Артем, ул Норильская д.1","Приморский край, Артем, ул Норильская д.1",Магазин,ПК0060485/3898,03.08.2012,03.08.2013
"ООО ""Атланта""",2502042199,"Приморский край, Артем, ул Кирова д.150","Приморский край, Артем, ул Кирова д.150",Магазин,ПК0060257/3670,14.06.2012,14.06.2015
"ООО ""Бон-Сам Плюс""",2502008110,"Приморский край, Артем, ул Кирова д.7","Приморский край, Артем, ул Кирова д.7",кафе,ПК0055915,15.10.2008,15.10.2013
"ООО ""Былина""",2502002510,"Приморский край, Артем, ул Михайловская д.3а","Приморский край, Артем, ул Михайловская д.3а",Магазин,ПК0055760,04.08.2008,01.08.2013
"ООО ""Былина""",2502002510,"Приморский край, Артем, ул Михайловская д.3а","Приморский край, Артем, ул Михайловская д.3а",кафе,ПК0055760,04.08.2008,01.08.2013
"ООО ""ВАСТОК""",2502006049,"Приморский край, Артем, ул Заречная д.9/3-7","Приморский край, Артем, ул Ватутина д.16","Магазин ""Кирпичики""",ПК0058755/2168,12.05.2011,13.05.2016
