На 10.10.2012,,,,,,,
,,,,,,,
Наименование,ИНН,Место нахождения,Адрес места осуществления деятельности,Наименование места осуществления деятельности,Серия и номер лицензии,Дата начала,Дата окончания
"ООО ""Карт""",2536174186,"Приморский край, г Владивосток, Проспект Красного Знамени д.94","Приморский край, г Владивосток, Проспект Красного Знамени д.94",Отдел в магазине,ПК0060375/3788,04.07.2012,04.07.2015
"ООО ""Каскад""",2537090429,"Приморский край, г Владивосток, ул Калинина д.49-37","Приморский край, г Владивосток, ул Новожилова д.35",Магазин,ПК0060233/3646,14.06.2012,14.06.2015
"ООО ""Качество-Сервис""",2537083686,"Приморский край, г Владивосток, ул Сафонова д.11","Приморский край, г Владивосток, ул Сафонова д.11",Магазин,ПК0059611/3024,09.12.2011,28.12.2014
"ООО ""Кашелка""",2502031084,"Приморский край, Артем, ул Рабочая 1-я д.68","Приморский край, г Владивосток, ул Верхне-Портовая д.66",Отдел в магазине,ПК0057821/1234,15.04.2010,28.10.2013
"ООО ""Квартал 2010""",2539109611,"Приморский край, г Владивосток, ул Русская д.57ж","Приморский край, г Владивосток, ул Русская д.57ж",Магазин,ПК0059594/3007,01.12.2011,08.12.2013
"ООО ""Квартал""",2536209167,"Приморский край, г Владивосток, ул Тунгусская д.44","Приморский край, г Владивосток, ул Тунгусская д.44",Отдел в магазине,ПК0056397,26.12.2008,05.10.2013
"ООО ""Кинопрокат""",2540088388,"Приморский край, г Владивосток, Проспект Океанский д.111","Приморский край, г Владивосток, Проспект Океанский д.111, на 1-м этаже",бар ,ПК0060664/4077,29.08.2012,30.08.2013
"ООО ""Кирпичики""",2538094458,"Приморский край, г Владивосток, ул Гамарника д.16","Приморский край, г Владивосток, ул Гамарника д.16",Отдел в магазине,ПК0060541/3954,21.09.2012,21.09.2017
"ООО ""Китрос""",2538149971,"Приморский край, г Владивосток, Проспект Красного Знамени д.111 А","Приморский край, г Владивосток, Проспект Красного Знамени д.111 А",кафе,ПК 0060162/3575,17.05.2012,18.05.2017
"ООО ""Классик""",2540073920,"Приморский край, г Владивосток, ул Нижне-Портовая д.1","Приморский край, г Владивосток, ул Нижне-Портовая д.1",закусочная,ПК0060164/3577,17.05.2012,18.05.2013
"ООО ""Клуб ""Монако""",2536145259,"Приморский край, г Владивосток, ул Суханова д.1","Приморский край, г Владивосток, ул Суханова д.1","ресторан ""Клуб Монако""",ПК0058512/1925,01.03.2011,05.03.2016
"ООО ""Ковалева""",2538100486,"Приморский край, г Владивосток, ш Военное д.5-9","Приморский край, г Владивосток, ул Светланская д.85, Лит А",Отдел в магазине,ПК0059785/3197,20.01.2012,21.01.2013
"ООО ""Коктал""",2537029135,"Приморский край, г Владивосток, ул Калинина д.84-88","Приморский край, г Владивосток, ул Полярная д.1/2",Магазин,ПК0057330/743,08.10.2009,20.10.2012
"ООО ""Коктал""",2537029135,"Приморский край, г Владивосток, ул Калинина д.84-88","Приморский край, г Владивосток, ул Надибаидзе д.19",Магазин,ПК0057330/743,08.10.2009,20.10.2012
"ООО ""Коктал""",2537029135,"Приморский край, г Владивосток, ул Калинина д.84-88","Приморский край, г Владивосток, ул Могилевская д.3",Магазин,ПК0057330/743,08.10.2009,20.10.2012
"ООО ""Командор""",2540118360,"Приморский край, г Владивосток, ул Адмирала Фокина д.23б","Приморский край, г Владивосток, ул Адмирала Фокина д.23б","Магазин ""Мир продуктов""",ПК0060006/3419,29.03.2012,30.03.2013
"ООО ""Комаров""",2539073845,"Приморский край, г Владивосток, ул Русская д.68/1","Приморский край, г Владивосток, ул Русская д.68/1",Магазин,ПК0056966/379,03.06.2009,22.06.2014
"ООО ""Компания ""Гепард""",2538046616,"Приморский край, г Владивосток, ул Русская д.17","Приморский край, г Владивосток, ул Русская д.17, стр. 2",Магазин,ПК0058611/2024,28.03.2011,05.02.2013
"ООО ""Компания ""Селкар""",2539002442,"Приморский край, г Владивосток, ул Русская д.17","Приморский край, г Владивосток, ул Давыдова д.20",Магазин ,ПК0060492/3905,26.07.2012,26.07.2015
