"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""Братский район""",,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,
,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями)
,,,,д.Кумейка,,,,,
,,,,"Гагарина, 6",,,,,
,,,,магазин № 10,,,,,
,,,,д.Куватка,,,,,
,,,,Гагарина 18 б,,,,,
,,,,магазин № 12,,,,,
,,,,с.Ключи-Булак,,,,,
,,,,Трактовая 69,,,,,
,,,,магазин № 14,,,,,
,,,,с.Ключи-Булак,,,,,
,,,,ул.Чапаева 14,,,,,
,,,,магазин № 15,,,,,
,,,,д.Леоново,,,,,
,,,,Кооперативная 20-2,,,,,
,,,,магазин № 17,,,,,
,,,,п. Харанжино,,,,,
,,,,ул. Гагарина 3,,,,,
,,,,магазин № 16,,,,,
,,,,г. Братск,,,,,
,,,,ул. Обручева 28              магазин «Кооператор»,,,,,
,,,,г. Братск,,,,,
,,,,ул. Обручева 28,,,,,
,,,,закусочная «Кооператор»,,,,,
,,,,г. Братск,,,,,
,,,,п. Чекановский,,,,,
,,,,ул. Заречная 21б,,,,,
,,,,магазин № 15,,,,,
,,,,г. Братск,,,,,
,,,,п. Чекановский,,,,,
,,,,ул. Ореховая 2,,,,,
,,,,магазин № 17,,,,,
,,,,г. Братск,,,,,
,,,,ул. Юности 17,,,,,
,,,,прод отдел БПО «Кооператор»,,,,,
,,,,п. Новодолоново,,,,,
,,,,ул. Набережная 21-1,,,,,
,,,,магазин № 11,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
31,"ООО «Цезарь»
ИНН
3823031384
","МНС  России № 11 по Иркутской области  
серия 38 № 002423951
","
А-194631, № 167              
27.10.10.
17.10.13.                                         
","г, Вихоревка
ул. Ленина 42
кафе «Цезарь»
",,,,,
32,"ООО «ВИК»
ИНН
3823010779
","МНС России № 11 по Иркутской области 
серия 38 № 002398903
","А-194634, № 174                           17.12.10.                       24.05.13.                                  ","с.Калтук                              ул.Центральная 4 «а»                       магазин «Лена»;
ул.Гагарина 17-1, маг. «Оригинал»;                           ул. Ленина, 25                       магазин ""Копейка""                                  
",,,,,
33,"ООО «Магнит»
ИНН
3823031874
","МНС России № 11 по Иркутской области 
Серия 38 №  002763110
","А-194589, № 85
24.09.08.
24.09.13.
","г. Вихоревка
ул. Монтажников 4а
магазин «Магнит»
",,,,,
