Реестр  действующих лицензии на розничную продажу алкогольной продукции в  Калининградской области (на 01.10.2012 г.),,,,,,,,,,,,,,,,,,,,,
№ лиц.:,До:,ОПФ:,Лицо:,Адрес:,ИНН:,Район:,Город:,Селение:,Улица:,Дом:,Корпус:,Квартира:,Ориентир,Описание,,,,,,,
39/АЛК/12/346,29/06/2013,ООО,"""Балтийский вкус""","236040, Калининградская обл., г. Калининград, пл. Победы, д. 4",3904086423,,,пгт Янтарный,ул. Морская набережная,д. 9,,,,кафе,,,,,,,
39/АЛК/12/302,08/06/2014,ООО,"""Балтийский кооператор""","236000, Калининградская обл., г. Калининград, ул. Комсомольская, д. 41",3904042842,,г. Балтийск,,ул. Ленина,д. 60,,,,,,,,,,,
39/АЛК/08/62,05/03/2013,ООО,"""БАЛТИКА-СОВЕТСК""","238700, Калининградская обл., г. Советск, ул. Победы, д. 28",3911009532,,г. Советск,,ул. Луначарского,д. 2,,,,кафе,,,,,,,
39/АЛК/08/120,23/04/2013,ООО,"""БАЛТИКА-ЦЕНТР""","238750, Калининградская обл., г. Советск, ул. Победы, д. 28",3911009525,,г. Советск,,ул. Победы,д. 26/28,,,,,,,,,,,
39/АЛК/12/248,12/05/2013,ООО,"""Балтиксервис-плюс""","238530, Калининградская обл., г. Зеленоградск, пер. Московский-3, д. 1",3905082848,Зеленоградский р-н,,п. Лесной,ул. Невского,,магазин,,,,,,,,,,
39/АЛК/12/444,10/08/2013,ООО,"""БалтКоммунСервис""","236039, Калининградская обл., г. Калининград, ул. Портовая, д. 32",3908607405,Зеленоградский р-н,,п. Лесной,"турбаза ""Дом рыболова""",,кафе,,,,,,,,,,
39/АЛК/10/151,29/04/2015,ООО,"""Балтрейн""","238300, Калининградская обл., г. Гурьевск, пер. Центральный, д. 2, кв. 35",3917504685,,г. Калининград,,ул. Черняховского,д. 15,,,"помещения 1-го этажа № 4,5,6,7,8,9,15,21,22,23,24",без ограничения содержания этилового спирта в готовой продукции,,,,,,,
39/АЛК/12/122,16/03/2015,ООО,"""Балтторг""","236003, Калининградская обл., г. Калининград, ул. Нансена, д. 43, кв. 2",3908032926,,г. Калининград,,ул. У.Громовой,д. 111-а,,,,,,,,,,,
39/АЛК/12/109,15/03/2013,ООО,"""БалтФорум""","236040, Калининградская обл., г. Калининград, ул. Черняховского, д. 15",3906085841,,г. Калининград,,ул. Черняховского,д. 15,закусочная,,помещение № П-170,литер Н37,,,,,,,
39/АЛК/07/369,11/12/2012,ООО,"""БАЛТЭП""","236030, Калининградская обл., г. Калининград, ул. Ялтинская, д. 66",3906073765,,г. Светлогорск,,пр. Калининградский,д. 70-е,,,,закусочная,,,,,,,
39/АЛК/10/28,28/01/2013,ООО,"""Бальсявичюс и К""","238633, Калининградская обл., Полесский р-н, п. Заливино, ул. Колхозная, д. 2, кв. 1",3922006149,Полесский р-н,,п. Заливино,ул. Морская,д. 17,,,,без ограничения содержания этилового спирта в готовой продукции,,,,,,,
