Реестр выданных лицензий ,,,,,,,,,,
на осуществление розничной продажи алкогольной продукции  действующих на  02.07.2012 г.,,,,,,,,,,
,,,,,,,,,,
№,О лицензиате,ИНН / ОГРН,Дата выдачи лицензии,"Серия, регистр.№",Срок действия лицензии,Адреса территориально обособленных объектов,сведения о действии лицензии,Примечание,Лицензирующий орган,
,,,,,,,,,,
12,"ООО ""Агросервис"", юр.адрес: 626380, Тюменская область, Исетский район, с. Исетское, 123 км автодороги Курган-Тюмень
руков.:Дремин Л.А., тел. (34537) 22-301   22-082",ИНН 7216004748  ОГРН 1027201462518,31/10/2002,72-РАП №1308,30/10/2013,"1)Тюменская область, Исетский район, с. Исетское, ул. 50 лет ВЛКСМ, д. 54, строение 2, магазин ""Продукты"" (открыт 31.10.02)
",продлена реш. №705 от 28/10/2008  до 30/10/2013, Прим: Дата проверки 02.04.2009 (замечание),Управление Л и РПР ТО,
13,"ООО ""Банковский клуб"", юр.адрес: Россия, Тюменская область, г. Тюмень, ул. Камышинская, д. 19
руков.:Калинина И.И., тел. 25-13-19  73-96-65, факс 490-995",ИНН 7204051976  ОГРН 1027200877527,12/11/2002,72-РАП №2765,11/11/2013,"1)г. Тюмень, ул. Камышинская, д. 19, ресторан ""Банковский клуб"" (общепит) (открыт 12.11.05)
",продлена реш. №731 от 06/11/2008  до 11/11/2013, Прим: Дата проверки 03.08.09 (замечание),Управление Л и РПР ТО,
14,"ООО ""Тандем"", юр.адрес: г. Тюмень, ул. 8 Марта 1/57, офис 502
руков.:Лакс М.А., тел. 46-76-52",ИНН 7202089484  ОГРН 1027200821482,23/12/2002,72-РАП №2886,22/12/2013,"1)г. Тюмень, ул. Ямская, д. 87-а, закусочная ""Пиццерия""  (общепит) (открыт 23.12.02)
2)г. Тюмень, ул. Республики, д. 48/5 закусочная ""Пиццерия""  (общепит) (открыт 23.12.02)
",продлена реш. №855 от 18/12/2008  до 22/12/2013, Прим: Дата проверки 29.09.06 (отбор проб) 2.Дата проверки 03.08.09 (замечание),Управление Л и РПР ТО,
,,,,,,,,,,
15,"ОАО ""Викар"", юр.адрес: Тюменская область, Тюменский район, п. Боровский, ул. Герцена, д. 22 ""А""
руков.:Гуро М.П., тел. 723-256, факс 72-21-99",ИНН 7224004075  ОГРН 1027200781607 (дата регистрации 05.06.1995),27/12/2002,72-РАП №1395,31/12/2013,"1)Тюменская область, Тюменский район, п. Боровский, ул. Герцена, д. 22, магазин ""Андреевский"" (открыт 01.01.03)
",продлена реш. №906 от 26/12/2008  до 31/12/2013, Прим: Проверка 01.06.07 (отбор проб)  2.Дата проверки 12.07.10 (замечания),Управление Л и РПР ТО,
16,"ПО ""ДЕМЬЯНСКОЕ ПОТРЕБИТЕЛЬСКОЕ ОБЩЕСТВО"" (ДЕМЬЯНСКОЕ ПО), юр.адрес: Россия, Тюменская область, Уватский район, с. Демьянское, ул. Доронина, д. 33
руков.:Богданова Г.Н., тел. (34561) 27-385",ИНН 7225000524  ОГРН 1027201296484,30/12/2002,72-РАП №2916,30/12/2013,"1)Тюменская область, Уватский район, с. Демьянское, ул. Доронина, д. 26, магазин ""Родничок"" (открыт 31.12.02)
2)Тюменская область, Уватский район, с. Демьянское, НПС, д. 34, магазин ""Каприз"" (открыт 31.12.02)
",продлена реш. №892 от 26/12/2008  до 30/12/2013, Прим: Дата проверки 24.06.2008 (предписание),Управление Л и РПР ТО,
,,,,,,,,,,
17,"ООО ""ОЛИВИН"", юр.адрес: 625048, Российская Федерация, г. Тюмень, ул. М. Горького, д. 44, офис 114
руков.:Ахмедова Л.Н., тел. 25-47-92   73-91-31",ИНН 7202028080  ОГРН  1027200873886,30/12/2002,72-РАП №2774,29/12/2013,"1)г. Тюмень, ул. Б.Заречная, д. 32 В, торговый павильон (открыт 30.12.02)
",продлена реш. №898 от 26/12/2008  до 29/12/2013, Прим: Дата проверки 18.04.07 (отбор проб) 2.Дата проверки 14.05.10 (без нарушений),Управление Л и РПР ТО,
18,"ООО ""Русское поле - 96"", юр.адрес: 625001, Российская Федерация, Тюменская область, г. Тюмень, ул. Ямская, д. 75/4
руков.:Черноземова Г.Е., тел. 43-33-92",ИНН 7204028800  ОГРН 1027200773720 (дата регистрации 09.07.02),15/01/2003,72-РАП №3070,14/04/2016,"1)г. Тюмень, ул. Ямская, д. 75/4, магазин ""Русское поле"" (открыт 24.04.06)
",продлена реш. №154 от 22/03/2011  до 14/01/2016, Прим: Дата проверки 05.12.2008 (без нарушений) 2. Изменение адреса местонахождения реш.154 от 22.03.11,Управление Л и РПР ТО,
19,"ООО ""ЧерноморСервис-МТ"", юр.адрес: 625026, г. Тюмень, ул. Мельникайте, 103 а
руков.:Орлов А.К., тел. (3452) 282-188 20-99-69, факс (3452) 360-325",ИНН 7203130537  ОГРН 1037200552620,06/03/2003,72-РАП №3001,05/03/2014,"1)г. Тюмень, ул. Мельникайте, 103 ""А"", ресторан ""Седьмое небо""  (общепит) (открыт 06.03.06)
2)г. Тюмень, ул. Мельникайте, 103 ""А"", 2-ой этаж, спорт-бар ""Тайм-аут""  (общепит) (открыт 05.06.08)
",продлена реш. №102 от 01/03/2011  до 05/03/2014, Прим: Дата проверки 30.07.09 (замечание),Управление Л и РПР ТО,
,,,,,,,,,,
20,"ООО ""Весна"", юр.адрес: Россия, Тюменская область, Абатский район, с. Абатское, ул. Ленина, д. 25
руков.:Першина Е.Е., тел. (34556) 41-458",ИНН 7208003317  ОГРН 1037200331134 (дата регистрации 21.03.03),08/04/2003,72-РАП №1545,07/04/2016,"1)Тюменская область, Абатский район, с. Абатское, ул. Цукановой, д. 87/2, магазин ""Торговый дом"" (открыт 08.04.03)
2)Тюменская область, Абатский район, с. Абатское, ул. Ленина, д. 18, магазин ""Торговый центр"" (открыт 08.04.03)
",продлена реш. №143 от 22/03/2011  до 07/04/2016, Прим: Дата проверки 21.04.2008 (замечание),Управление Л и РПР ТО,
,,,,,,"3)Тюменская область, Абатский район, с. Абатское, ул. Ленина, д. 25, магазин Торговый центр ""Сибиряк"" (открыт 08.04.03)
4)Тюменская область, Абатский район, с. Абатское, ул. Ленина, д. 92 г/1, магазин ""Абат"" (открыт 08.04.03)
",,,,
,,,,,,"5)Тюменская область, Абатский район, с. Конево, ул. Советская, д. 23, магазин ""Смешанные товары"" (открыт 08.04.03)
6)Тюменская область, Абатский район, с. Банниково, ул. Центральная, д. 7, магазин ""Смешанные товары"" (открыт 08.04.03)
",,,,
,,,,,,"7)Тюменская область, Абатский район, с. Быструха, ул. Новая, д. 32, помещение 2, магазин ""Смешанные товары"" (открыт 08.04.03)
",,,,
