"Реестр выданных лицензий, лицензий, действие которых приостановлено, и аннулированных лицензий на розничную продажу алкогольной продукции, а также зарегистрированных лицензий, выданных на территории иных муниципальных образований Иркутской области, по МО ""Нижнеудинский район"" ",,,,,,,,,,
по состоянию на 1 августа 2012 года,,,,,,,,,,
,,,,,,,,,,
№ п/п ,"Наименование лицензиата, ИНН",Место государственной регистрации лицензиата,"Серия, номер бланка лицензии, 
номер, дата выдачи и 
срок действия лицензии
","Местонахождение территориально обособленных объектов, на которых осуществляется лицензируемый вид деятельности","Дата приостановления лицензии, на какой срок",Дата возобновления действия лицензии,Дата прекращения действия лицензии,Дата аннулирования лицензии,Место выдачи лицензии (в случае выдачи лицензии иными муниципальными образованиями),
1,2,3,4,5,6,7,8,9,10,
41,"ООО ""Лидер"" ИНН 3813002747","г. Нижнеудинск, ул. Кржижановского, 25А",А 209447 № 3 от 02.04.2012г. до 02.03.2013г.,"1. магазин по адресу: г. Нижнеудинск, ул. Кржижановского, 25; 2. магазин ""Градус"" по адресу: г. Нижнеудинск, ул. Петина, 149, пом. 19",,,,,,
42,"ООО ""Крепость Юг"" ИНН 3805712373","г. Братск, ж.р. Энергетик, ул. Наймушина, 24, помещение № 1001",38 МЕ 006489 № 914 от 28.05.2012г. по 27.03.2013г.,"1. отдел в магазине, Нижнеудинский район, с. Солонцы, ул. Центральная, литер А ",,,,,Администрация г. Братска,
43,"ООО ""Метелица-Саяны"" ИНН 3827036256","г. Нижнеудинск, ул. Ленина, 14",А 209451 № 2 от 10.06.2012г. по 10.06.2013г,"1. кафе-бар ""Верона"" по адресу: г. Нижнеудинск, ул. Ленина, 14",,,,,,
44,"ООО ""Вектор Север"" ИНН 3805710496","г. Братск, ул. Гайнулина, 1А/1"," 38 МЕ 006514 рег. № 939 от 09.07.2012г. по 27.05.2013г., взамен 38 МЕ рег. № 925 от 18.06.2012г. по 27.05.2013г., взамен 38 МЕ 006496 рег. № 921 от 14.06.2012г. по 27.05.2013г.","1. отдел в магазине""Пятерочка""по адресу: г. Нижнеудинск, ул. Транспортная, 9.",,,,,Администрация г. Братска,
45,ООО «Бахус» ИНН 3813002313,"г. Нижнеудинск, ул. Осоавиахимовская, 11",А 209452 №13 от 20.06.2012г. по 20.06.2013г.,"1. г.Нижнеудинск, ул. Ленина, 4, отдел в магазине «Двенадцатый»                                                             ",,,,,,
46,ООО «Пульс» ИНН 3813001817,"Нижнеудинский район, г. Алзамай, ул. Первомайская, 106",А 209454 №16 от 29.06.2012г. до 29.06.2015г.,"1. г.Алзамай, ул. Первомайская, 106, магазин; 2. г. Алзамай, ул. Бурмакина, 18,  магазин",,,,,,
47,"ООО ""Ставр"" ИНН 3813002715","г. Нижнеудинск, ул.Масловского, д. 11, кв. 57",А 209455 № 8 от 06.07.2012г. по 06.07.2013г.,"1. магазин, г. Нижнеудинск, ул. Краснопартизанская, 88; ",,,,,,
48,"ООО ""Продсервис"" ИНН 3813002426","Нижнеудинский район, г. Алзамай, ул. Комсомольская, 7;",А 209456 № 27 от 12.07.2012г. по 12.07.2013г,"1.отдел магазина ""Лукошко"" - Нижнеудинский район, г. Алзамай, пер. Базарный, 2; 2.отдел магазина ""Ласточка"" - Нижнеудинский район, г. Алзамай, ул. Комсомольская,7;",,,,,,
,,,,,,,,,,
,,,,,,,,,,
